Generated Text,absID
"| EntityA           | Relationship     | EntityB                            |
|-------------------|------------------|------------------------------------|
| free-ranging lynx | were investigated | gastric mucosa and liver             |
| Helicobacter spp. | were detected in | 17 of the lynx, three of the foxes    |
| Helicobacter spp. | were cultured from | none of the animals                 |
| PCR fragments     | demonstrated close homology to | H. heilmannii and H. salomonis      |
| Helicobacter-like organisms | observed in | gastric mucosa of one fox           |
| lynx             | were closely related (>or=98% homology) to | H. heilmannii                        |
| foxes            | demonstrated close homology to | H.",60336
"| EntityA                               | Relationship            | EntityB                                              |
|---------------------------------------|-------------------------|------------------------------------------------------|
| white-tailed deer (Odocoileus virginianus), serum samples, Georgia (USA) 1979 to 1990 | were surveyed for antibodies | Borrelia burgdorferi                                   |
| Barrier Islands, Coastal Plain, Piedmont, Mountain regions, age classes (0.5, 1.5, > or = 2.5 yr) | were compared with | serologic results of white-tailed deer antibody prevalence |
| Barrier Islands                        | had higher antibody prevalence than | Coastal Plain, Piedmont, Mountain regions              |
| statewide (Georgia), age classes (0.5, 1.5, >",60475
"| EntityA                           | Relationship          | EntityB                                |
|-----------------------------------|-----------------------|----------------------------------------|
| bison (Bison bison), Yellowstone National Park, Montana (USA)      | were collected from    | nasal and pharyngeal swab samples       |
| Pasteurella spp.                   | were recovered from    | 10 of the animals                        |
| Pasteurella haemolytica             | was isolated from      | pharyngeal samples                     |
| biotype T, biotype A, biotype 3     | belonged to           | Pasteurella haemolytica                 |
| serotype 4                         | was agglutinated by    | antisera 3, 4, and 10                   |
| untypable with antisera             | were isolated from",60058
"| EntityA                               | Relationship             | EntityB                                              |
|---------------------------------------|--------------------------|------------------------------------------------------|
| 426 common seals Phoca vitulina        | were assessed for         | presence of Brucella species                          |
| 298 harbour porpoises Phocoena phocoena| were assessed for         | presence of Brucella species                          |
| 34 grey seals Halichoerus grypus       | were assessed for         | presence of Brucella species                          |
| 10 other marine mammals                | were assessed for         | presence of Brucella species                          |
| 47 common seals, 2 harbour porpoises   | were found positive for   | Brucella spp.                                         |
| 1 grey seal                            | was found positive",60289
"| EntityA                 | Relationship         | EntityB                        |
|-------------------------|----------------------|-------------------------------|
| Grizzly bears           | Were collected from  | Alaska, United States of America     |
| Serum samples           | Were collected from  | Grizzly bears and Black bears   |
| Canine viral infections | Tested on           | Grizzly bears and Black bears    |
| Zoonoses                | Tested on           | Grizzly bears and Black bears    |
| Antibody prevalence     | Was different for    | Distemper, Infectious hepatitis, Brucellosis, Tularaemia, Trichinellosis |
| Origin                  | Linked to           | Differences in prevalence        |
| Grizzly bears           | Were detected with   | Antibodies for canine distemper virus and",57739
"| EntityA                            | Relationship             | EntityB                                               |
|------------------------------------|--------------------------|-------------------------------------------------------|
| juvenile female hooded seal        | stranded                 | New Jersey (USA) coast                                 |
| marine mammal rehabilitation center, New Jersey (USA) coast | took in                  | juvenile female hooded seal, juvenile male harp seal   |
| juvenile female hooded seal, juvenile male harp seal     | had                      | dermatitis                                             |
| lethargic, emaciated                | were                     | juvenile female hooded seal, juvenile male harp seal   |
| histologic skin lesions            | consisted of             | epidermal and follicular epithelial hyperplasia,       |
|                                    |                          | hyperker",57006
"| EntityA                       | Relationship                | EntityB                          |
|-------------------------------|------------------------------|----------------------------------|
| Four chimpanzees and one gorilla| died of                     | anthrax-like disease             |
| Bacillus anthracis isolates    | differed from                | classic B. anthracis             |
| Motility, resistance           | differed by                  | classic B. anthracis             |
| Cameroon isolates              | showed resistance to          | penicillin G                     |
| Côte d'Ivoire and Cameroon      | showed slight differences in  | biochemical characteristics       |
| Subclones                      | changed in gene regulation    | classic B. anthracis             |
| Isolates from Côte d'Ivoire   | identical to                 | isolates from",60272
"| EntityA                           | Relationship             | EntityB                            |
|-----------------------------------|--------------------------|------------------------------------|
| Serum samples from black bears    | were analyzed for        | antibodies reactive to HGE agent   |
| Antibody reactivity was detected  | in                       | 21% of the serum samples            |
| Reactive samples were reported   | from                     | 56% of counties where bears collected|
| Endpoint antibody titer ranged   |                          | from 1:8 to 1:16, 192              |
| Antibodies reactive to HGE agent | suggest black bears      | are infected with the HGE agent    |
| Corresponding bear blood clots    | were tested for          | granulocytic ehrlichial DNA        |
| Attempts were unsuccessful",60742
"| EntityA                 | Relationship          | EntityB                        |
|-------------------------|-----------------------|--------------------------------|
| Mycobacterium bovis      | infected              | 36 of 68 brushtail possums     |
| M. bovis                | was diagnosed in       | population of possums          |
| possums                  | were trapped in        | August 1992, forest-scrub margin, Westland, New Zealand |
| tuberculosis             | had prevalence        | 53% brushtail possums         |
| M. bovis                | infected              | stoats                          |
| M. bovis                | infected              | one of six hares                |
| male possums            | had more tuberculous   | lesions than female possums    |
| brushtail",60434
"| EntityA                       | Relationship          | EntityB                            |
|-------------------------------|-----------------------|------------------------------------|
| Paratuberculosis              | diagnosed in         | free-ranging fallow deer           |
| Mycobacterium avium subsp. paratuberculosis, diarrhea  | observed in       | eight animals                      |
| M. avium subsp. paratuberculosis   | cultured from     | two deer                          |
| polymerase chain reaction (PCR)    | identified by         | Mycobacterium avium subsp. paratuberculosis  |
| indirect enzyme-linked immunosorbent assay, immunodiffusion tests   | used to evaluate | sera from 33 adult deer          |
| all fallow deer                     | tested seronegative by    | indirect enzym",60226
