absID,Host,Pathogen
60336,Lynx lynx,Helicobacter heilmannii
60336,Vulpes vulpes,Helicobacter salomonis
60475,Odocoileus virginianus,Borrelia burgdorferi
60058,Bison (Bison bison),Pasteurella spp.
60058,,Pasteurella haemolytica
60058,,Pasteurella multocida
60289,Phoca vitulina,Brucella spp.
60289,Phocoena phocoena,B. pinnipediae
60289,Halichoerus grypus,B. pinnipedialis
57739,Ursus arctos horribilis,Canine distemper virus
57739,Ursus americanus,Infectious hepatitis virus
57739,,Brucellosis (Brucella spp.)
57739,,Tularaemia (Francisella tularensis)
57739,,Trichinellosis (Trichinella spp.)
57006,Cystophora cristata,Morbillivirus
57006,Phoca groenlandica,
60272,Pan troglodytes,Bacillus anthracis
60272,Gorilla spp.,Bacillus cereus
60272,,Bacillus thuringiensis
60742,Ursus americanus,Ehrlichia sp.
60434,Trichosurus vulpecula,Mycobacterium bovis
60434,Mustela erminea,
60434,Lepus europaeus occidentalis,
60226,Dama dama,Mycobacterium avium subsp. paratuberculosis
60232,Enhydra lutris nereis,Profilicollis altmani
60232,Melanitta perspicillata,P. kenti
60232,,P. major
60232,,Corynosoma enhydri
60232,,Microphallus pirum
60232,,M. nicolli
60232,,Plenosoma minimum
60457,Odocoileus hemionus columbianus,Helicobacter spp. (H. heilmannii)
60457,Eurasian Lynx,"Helicobacter spp. (H. heilmannii, H. salomonis)"
60457,Red Fox,
60010,Capreolus capreolus,Dictyocaulus capreolus
60010,Alces alces,D. eckerti
60010,Dama dama,Dictyocaulus sp.
60010,Cervus elaphus,Helicobacter spp.
60010,Rangifer tarandus,
60697,Rupicapra rupicapra,Helminths (gastrointestinal)
60697,Eurasian Lynx,Lungworm larvae
60697,Red Fox,Gastrointestinal nematodes
60358,Macaca fuscata,Entamoeba dispar
60358,,Entamoeba histolytica
60382,Martes melampus melampus,Mesocestoides paucitesticulus
60382,Nyctereutes procyonoides viverrinus,Brachylaima tokudai
60382,Vulpes vulpes japonica,
60632,Procyon lotor,Helicobacter spp. (H. heilmannii)
60632,Raccoons,Trematodes
60632,,Helminth parasites
60405,Vulpes vulpes,Physaloptera sibirica
60405,Meles meles,Sarcoptes scabiei
60261,Galictis cuja,Dioctophyme renale
60446,Mustela vison,
60597,Phoca vitulina richardsi,Giardia spp.
60597,Larus glaucescens/occidentalis,G. duodenalis
60218,Cynictis penicillata,Babesia cynicti
60363,Macaca radiata,Plasmodium fragile
60363,Macaca mulatta,
60363,Presbytis entellus,
60537,Pan troglodytes schweinfurthii,Helminths
60537,,Protozoa
60761,Ursus thibetanus japonicus,Hepatozoon ursi n. sp.
60761,Haemaphysalis japonica,
60761,Haemaphysalis flava,
60209,Colobus vellerosus,G. duodenalis Assemblage B
60209,,"Blastocystis sp., subtype 2"
60209,,Entamoeba sp.
60209,,Isoptera sp.
60209,,Ascaris sp.
60209,,Enterobius sp.
60209,,Trichuris sp.
60209,,Strongyle sp.
60209,,"Helicobacter spp. (H. heilmannii, H. salomonis)"
60352,Felis rufus,Toxoplasma gondii
60154,Pilocolobus tephrosceles,Cryptosporidium sp.
60154,Cercopithecus ascanius,Giardia sp.
60154,Colobus guereza,
57491,Alopex lagopus,Toxoplasma gondii
57491,Eurasian Lynx,Yersinia pseudotuberculosis serotype 2b
57491,,Salmonella Enteritidis phage type 1 (PT1)
60431,Monachus schauinslandi,Phocine herpesvirus-1
60431,,Leptospira bratislava
60431,,L. hardjo
60431,,L. icterohaemorrhagiae
60431,,L. pomona
60431,,Brucella spp.
60431,,B. canis
60431,,Chlamydophila abortus
60431,,Toxoplasma gondii
60431,,Dirofilaria immitis
58927,Calomys laucha,Junin virus
58927,Calomys musculinus,
60757,Ursus maritimus,Morbillivirus
60757,Canis lupus,Calicivirus
58559,Blastocerus dichotomus,Rabies
58559,Mazama americana,
58559,Hydrochoerus hydrochaeris,
58559,Cerdocyon thous,
58559,Artibeus lituratus,
59104,Vulpes velox,Canine parvovirus (CPV)
59104,Vulpes macrotis,Canine distemper virus (CDV)
59104,,Vesicular stomatitis New Jersey
59104,,Vesicular stomatitis Indiana
59104,,Cache Valley virus
59104,,Jamestown Canyon virus
59104,,Rabies virus
59104,,Colorado tick fever virus
59104,,Western equine encephalitis virus
58752,Neovison vison,Theilovirus
58752,Mustela lutreola,Phleboviruses
58752,Mustela putorius,Amdovirus
58752,Martes martes,Kobuvirus
58752,Martes foina,Picobirnaviruses
58752,Lutra lutra,
58752,Meles meles,
58752,Genetta genetta,
58752,Vulpes vulpes,
58752,Felis silvestris,
58087,Cairina moschata,Duck viral enteritis (DVE) virus
58087,Anas spp.,
60414,Procyon lotor,Rabies virus
60414,Mephitis mephitis,
60414,Erethizon dorsatum,
58978,Zalophus californianus,Astroviruses (human)
58978,Eumetopias jubatus,Astrovirus (California sea lion)
58978,Tursiops truncatus,Astrovirus (Steller sea lion)
58978,,Astrovirus (bottlenose dolphin)
59109,Odocoileus hemionus hemionus,Hantaan virus
59109,Odocoileus hemionus californicus,Jamestown Canyon virus
59109,Odocoileus hemionus inyoensis,Jerry Slough virus
59109,O. hemionus columbianus,Northway virus
59109,,California encephalitis virus
59109,,La Crosse virus
59109,,Snowshoe hare virus
59109,,Cache Valley virus
59109,,Lokern virus
59109,,Main Drain virus
