absID,Host,Pathogen
60336,Eurasian Lynx,Helicobacter spp.
60336,Red Fox,Helicobacter heilmannii
60336,,Helicobacter salomonis
60475,Odocoileus virginianus (white-tailed deer),Borrelia burgdorferi
60058,Bison bison,Pasteurella spp.
60058,,"Pasteurella haemolytica (biotype T, biotype A, biotype 3)"
60058,,Pasteurella multocida
60289,Phoca vitulina,Brucella species
60289,Phocoena phocoena,Parafilaroides spp.
60289,Halichoerus grypus,
57739,Grizzly Bear (Ursus arctos horribilis),Canine Distemper Virus
57739,Black Bear (Ursus americanus),Infectious Hepatitis Virus
57739,,Brucella spp. (Brucellosis)
57739,,Francisella tularensis (Tularaemia)
57739,,Trichinella spp. (Trichinellosis)
57006,Cystophora cristata,Morbillivirus (Phocine distemper virus)
57006,Phoca groenlandica,
60272,Chimpanzee,Bacillus anthracis
60272,Gorilla,
60742,Black Bear,Ehrlichia sp.
60742,Eurasian Lynx,Helicobacter spp. (H. heilmannii)
60742,Red Fox,"Helicobacter spp. (H. heilmannii, H. salomonis)"
60434,Brushtail Possum,Mycobacterium bovis
60434,Stoat,
60434,Hare,
60226,fallow deer,Mycobacterium avium subsp. paratuberculosis
60226,Eurasian Lynx,
60457,Columbian Black-Tailed Deer (Odocoileus hemionus columbianus),"Helicobacter spp. (H. heilmannii, H. salomonis)"
60457,Eurasian Lynx,
60457,Red Fox,
60697,Chamois (Rupicapra rupicapra rupicapra),Gastrointestinal helminths
60697,,Lungworm larvae
60358,Macaca fuscata,Entamoeba histolytica
60358,,Entamoeba dispar
60382,Martes melampus melampus,Helicobacter spp. (H. heilmannii)
60382,Nyctereutes procyonoides viverrinus,Toxoplasma gondii
60382,Vulpes vulpes japonica,Mesocestoides paucitesticulus
60382,,Brachylaima tokudai
60632,Procyon lotor,Helminth parasites (19 species)
60632,Raccoons,Trematodes (74% of exotic helminths)
60632,,"Three exotic helminth parasites that are pathogenic to raccoons, wildlife, domestic animals or man"
60632,,Additional 19 enzootic species found in translocated and resident raccoons
60405,Vulpes vulpes,Physaloptera sibirica
60405,Meles meles,
60261,Galictis cuja,Helicobacter spp. (H. heilmannii)
60261,Eurasian Lynx,Dioctophyme renale
60261,Red Fox,
60446,American mink,Mustela vison
60446,Troglotrema acutum,
60597,Phoca vitulina richardsi,Giardia spp.
60597,Larus glaucescens / occidentalis,Cryptosporidium spp.
60218,Cynictis penicillata,Babesia cynicti
60363,Macaca radiata,Plasmodium fragile
60363,Macaca mulatta,
60363,Presbytis entellus,
60537,Pan troglodytes schweinfurthii,Intestinal Parasites
60537,,Helminths
60761,Japanese black bear (Ursus thibetanus japonicus),Hepatozoon ursi n. sp.
60761,Haemaphysalis japonica,
60761,Haemaphysalis flava,
60209,Colobus vellerosus,Entamoeba sp.
60209,Human,Isospora sp.
60209,,Ascaris sp.
60209,,Enterobius sp.
60209,,Trichuris sp.
60209,,two strongyle sp.
60209,,one digenean trematode
60209,,Giardia duodenalis Assemblage B
60209,,Blastocystis subtype 2
60352,Bobcat,Toxoplasma gondii
60154,Red Colobus (Pilocolobus tephrosceles),Cryptosporidium sp.
60154,Red-tailed Guenon (Cercopithecus ascanius),Giardia sp.
60154,Black-and-white Colobus (Colobus guereza),
57491,Arctic Fox,Toxoplasma gondii
57491,Red Fox,Yersinia pseudotuberculosis (serotype 2b)
57491,,Salmonella Enteritidis (phage type 1)
60431,Hawaiian Monk Seal (Monachus schauinslandi),Phocine Herpesvirus-1
60431,,Leptospira bratislava
60431,,Leptospira hardjo
60431,,Leptospira icterohaemorrhagiae
60431,,Leptospira pomona
60431,,Brucella spp.
60431,,Brucella canis
60431,,Chlamydophila abortus
60431,,Toxoplasma gondii
60431,,Dirofilaria immitis
58927,Calomys laucha,Junin virus (JV)
58927,C. musculinus,
60757,Polar bear,Canine distemper virus
60757,,Calicivirus
58559,Blastocerus dichotomus,Rabies virus
58559,Mazama americana,
58559,Hydrochoerus hydrochaeris,
58559,Cerdocyon thous,
58559,Artibeus lituratus,
59104,Swift Fox (Vulpes velox),Canine Parvovirus (CPV)
59104,Kit Fox (Vulpes macrotis),Canine Distemper Virus (CDV)
59104,,Vesicular Stomatitis New Jersey
59104,,Vesicular Stomatitis Indiana
59104,,Cache Valley Virus
59104,,Jamestown Canyon Virus
59104,,Rabies Virus
59104,,Colorado Tick Fever Virus
59104,,Western Equine Encephalitis Virus
59104,,Yersinia pestis
59104,,Francisella tularensis
59104,,Borrelia burgdorferi
58087,Muscovy Duck,Duck Viral Enteritis (DVE)
58087,Domestic Duck,
58087,Domestic Geese,
60414,Procyon lotor,Rabies virus
60414,Mephitis mephitis,
58978,California sea lion (Zalophus californianus),Astroviruses
58978,Steller sea lion (Eumetopias jubatus),Human astrovirus
58978,bottlenose dolphin (Tursiops truncatus),Bat astroviruses
