absID,Host,Pathogen
60272,Eurasian Lynx,Helicobacter spp. (H. heilmannii)
60272,Red Fox,"Helicobacter spp. (H. heilmannii, H. salomonis)"
60218,Eurasian Lynx,Helicobacter spp. (H. heilmannii)
60218,Red Fox,"Helicobacter spp. (H. heilmannii, H. salomonis)"
60537,Eurasian Lynx,Helicobacter spp. (H. heilmannii)
60537,Red Fox,"Helicobacter spp. (H. heilmannii, H. salomonis)"
60209,Entamoeba sp.,Ascaris sp.
60209,Isospora sp.,Enterobius sp.
60209,,Trichuris sp.
60209,,Blastocystis subtype 2
60209,,Giardia duodenalis Assemblage B
58087,Eurasian Lynx,Helicobacter spp. (H. heilmannii)
58087,Red Fox,"Helicobacter spp. (H. heilmannii, H. salomonis)"
