absID,Host,Pathogen
60336,Eurasian Lynx,Helicobacter spp. (H. heilmannii)
60336,Red Fox,"Helicobacter spp. (H. heilmannii, H. salomonis)"
60475,Eurasian Lynx,Helicobacter spp. (H. heilmannii)
60475,Red Fox,"Helicobacter spp. (H. heilmannii, H. salomonis)"
60058,Eurasian Lynx,Helicobacter spp. (H. heilmannii)
60058,Red Fox,"Helicobacter spp. (H. heilmannii, H. salomonis)"
60289,Eurasian Lynx,Helicobacter spp. (H. heilmannii)
60289,Red Fox,"Helicobacter spp. (H. heilmannii, H. salomonis)"
57739,Eurasian Lynx,Helicobacter spp. (H. heilmannii)
57739,Red Fox,"Helicobacter spp. (H. heilmannii, H. salomonis)"
57006,Eurasian Lynx,Helicobacter spp. (H. heilmannii)
57006,Red Fox,"Helicobacter spp. (H. heilmannii, H. salomonis)"
60272,Eurasian Lynx,Helicobacter spp. (H. heilmannii)
60272,Red Fox,"Helicobacter spp. (H. heilmannii, H. salomonis)"
60742,Eurasian Lynx,Helicobacter spp. (H. heilmannii)
60742,Red Fox,"Helicobacter spp. (H. heilmannii, H. salomonis)"
60434,Eurasian Lynx,Helicobacter spp. (H. heilmannii)
60434,Red Fox,"Helicobacter spp. (H. heilmannii, H. salomonis)"
60226,Eurasian Lynx,Helicobacter spp. (H. heilmannii)
60226,Red Fox,"Helicobacter spp. (H. heilmannii, H. salomonis)"
60457,Eurasian Lynx,Helicobacter spp. (H. heilmannii)
60457,Red Fox,"Helicobacter spp. (H. heilmannii, H. salomonis)"
60010,Roe Deer,Dictyocaulus capreolus
60010,Red Deer,Dictyocaulus eckerti
60010,Fallow Deer,Dictyocaulus sp.
60010,Moose,Dictyocaulus sp.
60010,Cattle,
60697,Eurasian Lynx,Helicobacter spp. (H. heilmannii)
60697,Red Fox,"Helicobacter spp. (H. heilmannii, H. salomonis)"
60358,Eurasian Lynx,Helicobacter spp. (H. heilmannii)
60358,Red Fox,"Helicobacter spp. (H. heilmannii, H. salomonis)"
60382,Eurasian Lynx,Helicobacter spp. (H. heilmannii)
60382,Red Fox,"Helicobacter spp. (H. heilmannii, H. salomonis)"
60632,Eurasian Lynx,Helicobacter spp. (H. heilmannii)
60632,Red Fox,"Helicobacter spp. (H. heilmannii, H. salomonis)"
60405,Eurasian Lynx,Helicobacter spp. (H. heilmannii)
60405,Red Fox,"Helicobacter spp. (H. heilmannii, H. salomonis)"
60218,Eurasian Lynx,Helicobacter spp. (H. heilmannii)
60218,Red Fox,"Helicobacter spp. (H. heilmannii, H. salomonis)"
60363,Eurasian Lynx,Helicobacter spp. (H. heilmannii)
60363,Red Fox,"Helicobacter spp. (H. heilmannii, H. salomonis)"
60761,Eurasian Lynx,Helicobacter spp. (H. heilmannii)
60761,Red Fox,"Helicobacter spp. (H. heilmannii, H. salomonis)"
60209,Eurasian Lynx,Helicobacter spp. (H. heilmannii)
60209,Red Fox,"Helicobacter spp. (H. heilmannii, H. salomonis)"
60154,Eurasian Lynx,Helicobacter spp. (H. heilmannii)
60154,Red Fox,"Helicobacter spp. (H. heilmannii, H. salomonis)"
57491,Eurasian Lynx,Helicobacter spp. (H. heilmannii)
57491,Red Fox,"Helicobacter spp. (H. heilmannii, H. salomonis)"
60431,Eurasian Lynx,Helicobacter spp. (H. heilmannii)
60431,Red Fox,"Helicobacter spp. (H. heilmannii, H. salomonis)"
58927,Eurasian Lynx,Helicobacter spp. (H. heilmannii)
58927,Red Fox,"Helicobacter spp. (H. heilmannii, H. salomonis)"
60757,Eurasian Lynx,Helicobacter spp. (H. heilmannii)
60757,Red Fox,"Helicobacter spp. (H. heilmannii, H. salomonis)"
58559,Eurasian Lynx,Helicobacter spp. (H. heilmannii)
58559,Red Fox,"Helicobacter spp. (H. heilmannii, H. salomonis)"
59104,Eurasian Lynx,Helicobacter spp. (H. heilmannii)
59104,Red Fox,"Helicobacter spp. (H. heilmannii, H. salomonis)"
60252,Eurasian Lynx,Helicobacter spp. (H. heilmannii)
60252,Red Fox,"Helicobacter spp. (H. heilmannii, H. salomonis)"
58752,Eurasian Lynx,Helicobacter spp. (H. heilmannii)
58752,Red Fox,"Helicobacter spp. (H. heilmannii, H. salomonis)"
58752,European Mink,Unknown virus
58752,European Polecat,
58752,European Pine Marten,
58752,Stone Marten,
58752,Eurasian Otter,
58752,Eurasian Badger,
58752,Common Genet,
58752,Red Fox,
58752,European Wild Cat,
60414,Eurasian Lynx,Helicobacter spp. (H. heilmannii)
60414,Red Fox,"Helicobacter spp. (H. heilmannii, H. salomonis)"
58978,Eurasian Lynx,Helicobacter spp. (H. heilmannii)
58978,Red Fox,"Helicobacter spp. (H. heilmannii, H. salomonis)"
59109,Eurasian Lynx,Helicobacter spp. (H. heilmannii)
59109,Red Fox,"Helicobacter spp. (H. heilmannii, H. salomonis)"
