absID,Host,Pathogen
60336,Eurasian Lynx,Helicobacter heilmannii
60336,Red Fox,Helicobacter salomonis
60475,White-tailed Deer (Odocoileus virginianus),Borrelia burgdorferi
60058,Bison bison,Pasteurella haemolytica
60058,,Pasteurella multocida
60289,Phoca vitulina,Brucella spp.
60289,Phocoena phocoena,Parafilaroides spp.
60289,Halichoerus grypus,
57739,Grizzly Bear (Ursus arctos horribilis),Parvovirus
57739,Black Bear (Ursus americanus),Distemper virus
57739,,Infectious hepatitis virus
57739,,Brucellosis
57739,,Tularaemia
57739,,Trichinellosis
57006,Cystophora cristata,Morbillivirus
57006,Phoca groenlandica,
60272,Chimpanzee,Bacillus anthracis
60272,Gorilla,
60742,Black Bears (Ursus americanus),Ehrlichia sp.
60434,Trichosurus vulpecula,Mycobacterium bovis
60434,Mustela erminea,
60434,Lepus europaeus occidentalis,
60226,Fallow Deer (Dama dama),Mycobacterium avium subsp. paratuberculosis
60232,Enhydra lutris nereis,Profilicollis altmani
60232,Eurasian Lynx,P. kenti
60232,Red Fox,P. major
60232,,Corynosoma enhydri
60232,,Microphallus pirum
60232,,M. nicolli
60232,,Plenosoma minimum
60457,Columbian Black-Tailed Deer (Odocoileus hemionus columbianus),
60010,Roe Deer (Capreolus capreolus),Dictyocaulus capreolus
60010,Moose (Alces alces),Dictyocaulus eckerti
60010,Fallow Deer (Dama dama),
60010,Red Deer (Cervus elaphus),
60697,Chamois (Rupicapra rupicapra),Gastrointestinal helminths
60697,,Lungworms
60358,Macaca fuscata,Entamoeba dispar
60358,,Entamoeba histolytica
60382,Martes melampus,Mesocestoides paucitesticulus
60382,Nyctereutes procyonoides,Brachylaima tokudai
60382,Vulpes vulpes,
60632,Raccoon (Procyon lotor),Helicobacter spp. (H. heilmannii)
60632,,Trematodes
60405,Vulpes vulpes,Physaloptera sibirica
60405,Meles meles,
60261,Galictis cuja,Dioctophyme renale
60446,American Mink (Mustela vison),
60597,Harbor Seal (Phoca vitulina richardsi),Giardia spp.
60597,Glaucous-winged Gull (Larus glaucescens),Cryptosporidium spp.
60218,Cynictis penicillata (yellow mongoose),Babesia cynicti
60363,Macaca radiata (bonnet monkey),Plasmodium fragile
60363,Macaca mulatta (rhesus monkey),
60363,Presbytis entellus (Indian langur),
60537,Chimpanzee (Pan troglodytes schweinfurthii),Helminths
60761,Japanese black bear (Ursus thibetanus japonicus),Hepatozoon ursi n. sp.
60209,Ursine Colobus Monkey (Colobus vellerosus),Entamoeba sp.
60209,,Isospora sp.
60209,,Trichuris sp.
60209,,Ascaris sp.
60209,,Enterobius sp.
60209,,Giardia sp.
60209,,Blastocystis sp. subtype 2
60209,,"Helicobacter spp. (H. heilmannii, H. salomonis)"
60352,Felis rufus,Toxoplasma gondii
60154,Red Colobus (Pilocolobus tephrosceles),Cryptosporidium sp.
60154,Black-and-White Colobus (Colobus guereza),Giardia sp.
60154,Red-Tailed Guenons (Cercopithecus ascanius),
57491,Alopex lagopus,Toxoplasma tachyzoites
57491,,Yersinia pseudotuberculosis serotype 2b
57491,,Salmonella Enteritidis phage type 1
60431,Hawaiian Monk Seal (Monachus schauinslandi),Phocine Herpesvirus-1
60431,,Leptospira bratislava
60431,,L. hardjo
60431,,L. icterohaemorrhagiae
60431,,L. pomona
60431,,Brucella spp.
60431,,Chlamydophila abortus
60431,,Toxoplasma gondii
60431,,Dirofilaria immitis
58927,Calomys laucha,Junin virus (JV)
58927,Calomys musculinus,
60757,Polar Bears (Ursus maritimus),Canine Distemper Virus (CDV)
60757,,Calicivirus
58559,Desmodus rotundus,Rabies virus
58559,Blastocerus dichotomus,
58559,Mazama americana,
58559,Hydrochoerus hydrochaeris,
58559,Cerdocyon thous,
58559,Artibeus lituratus,
59104,Swift Fox (Vulpes velox),Canine Parvovirus (CPV)
59104,Kit Fox (V. macrotis),Canine Distemper Virus (CDV)
59104,,Vesicular Stomatitis New Jersey
59104,,Vesicular Stomatitis Indiana
59104,,Cache Valley virus
59104,,Jamestown Canyon virus
59104,,Rabies virus
59104,,Colorado Tick Fever virus
59104,,Western Equine Encephalitis virus
60252,Asian bottlenose,cetacean poxvirus 1 (CPV-1)
60252,Atlantic bottlenose,cetacean poxvirus 2 (CPV-2)
60252,rough-toothed dolphin,
60252,striped dolphin,
60252,bowhead whale,
60252,Steller sea lion,
60252,spotted seal,
60252,harbor seal,
58752,American mink (Neovison vison),Theilovirus
58752,European mink (Mustela lutreola),Phleboviruses
58752,European polecat (Mustela putorius),Amdovirus
58752,European pine marten (Martes martes),Kobuvirus
58752,Stone marten (Martes foina),Picobirnaviruses
58752,Eurasian otter (Lutra lutra),
58752,Eurasian badger (Meles meles),
58752,Common genet (Genetta genetta),
58752,Red fox (Vulpes vulpes),
58752,European wild cat (Felis silvestris),
58087,Muscovy Duck,Duck Viral Enteritis (DVE)
58087,Domestic Geese,
58978,California Sea Lion,Astroviruses
58978,Steller Sea Lion,
58978,Bottlenose Dolphin,
59109,Odocoileus hemionus hemionus,Jamestown Canyon virus
59109,Odocoileus hemionus californicus,Northway virus
59109,Odocoileus hemionus inyoensis,California encephalitis virus of the California serogroup
59109,Odocoileus hemionus columbianus,La Crosse virus of the Bunyamwera serogroup
59109,,Cache Valley virus of the Bunyamwera serogroup
59109,,Lokern virus of the Bunyamwera serogroup
59109,,Main Drain virus of the Bunyamwera serogroup
