absID,Host,Pathogen
60336,Eurasian Lynx,Helicobacter spp. (H. heilmannii)
60336,Red Fox,"Helicobacter spp. (H. heilmannii, H. salomonis)"
60475,Odocoileus virginianus,Borrelia burgdorferi
60475,white-tailed deer,
60058,Bison bison,Pasteurella spp.
60058,,Pasteurella haemolytica
60058,,Pasteurella multocida
60289,Common Seals,Brucella spp.
60289,Harbour Porpoises,Parafilaroides spp.
60289,Grey Seals,
57739,Grizzly bear (Ursus arctos horribilis),"['Canine distemper virus', 'Infectious hepatitis virus']"
57739,Black bear (Ursus americanus),"['Trichinella spp.', 'Brucella spp. (Brucellosis)', 'Francisella tularensis (Tularaemia)']"
57006,Cystophora cristata,Phocine distemper virus
57006,Phoca groenlandica,
60272,Chimpanzees,Bacillus spp.
60272,Gorilla,Helicobacter spp.
60742,Black Bear (Ursus americanus),Ehrlichia sp.
60434,Trichosurus vulpecula,Mycobacterium bovis
60434,Mustela erminea,
60434,Lepus europaeus occidentalis,
60226,Fallow Deer (Dama dama),Mycobacterium avium subsp. paratuberculosis
60232,Enhydra lutris nereis,Profilicollis altmani
60232,,P. kenti
60232,,P. major
60232,,Corynosoma enhydri
60232,,Microphallus pirum
60232,,M. nicolli
60232,,Plenosoma minimum
60457,Columbian Black-Tailed Deer (Odocoileus hemionus columbianus),
60010,Roe Deer,['D. capreolus']
60010,Moose,"['D. capreolus', 'D. eckerti']"
60010,Fallow Deer,['Dictyocaulus sp.']
60010,Red Deer,['D. eckerti']
60010,Reindeer,[]
60697,Chamois (Rupicapra rupicapra rupicapra),Lungworm larvae
60697,,Gastrointestinal nematodes
60358,Macaca fuscata,Entamoeba dispar
60358,,Entamoeba histolytica
60382,Martes melampus melampus,Mesocestoides paucitesticulus
60382,Nyctereutes procyonoides viverrinus,Brachylaima tokudai
60382,Vulpes vulpes japonica,
60632,Raccoon (Procyon lotor),Helminth species
60632,,Trematodes
60405,Vulpes vulpes,Physaloptera sibirica
60405,Meles meles,
60261,Galictis cuya,Dioctophyme renale
60261,Little Grisons,
60446,American mink (Mustela vison),Troglotrema acutum
60597,Phoca vitulina richardsi,['Giardia spp.']
60597,Larus glaucescens / occidentalis,[]
60218,Yellow Mongoose (Cynictis penicillata),Babesia cynicti
60363,Macaca radiata,Plasmodium fragile
60363,Macaca mulatta,
60363,Presbytis entellus,
60537,Chimpanzee (Pan troglodytes schweinfurthii),Helicobacter spp.
60537,,Intestinal Parasite
60761,Japanese black bear (Ursus thibetanus japonicus),Hepatozoon ursi n. sp.
60209,Ursine Colobus Monkey (Colobus vellerosus),Entamoeba sp.
60209,,Isospora sp.
60209,,Ascaris sp.
60209,,Enterobius sp.
60209,,Trichuris sp.
60209,,Two Strongyle sp.
60209,,Giardia duodenalis Assemblage B
60209,,"Blastocystis sp., subtype 2"
60352,Bobcat (Felis rufus),Toxoplasma gondii
60154,Red Colobus,Cryptosporidium sp.
60154,Red-tailed Guenons,Giardia sp.
57491,Alopex lagopus,Toxoplasma gondii
57491,Eurasian Lynx,Yersinia pseudotuberculosis serotype 2b
57491,,Salmonella Enteritidis phage type 1
60431,Hawaiian Monk Seal (Monachus schauinslandi),Phocine Herpesvirus-1
60431,,Leptospira bratislava
60431,,L. hardjo
60431,,L. icterohaemorrhagiae
60431,,L. pomona
60431,,Brucella spp.
60431,,B. canis
60431,,Chlamydophila abortus
60431,,Toxoplasma gondii
60431,,Dirofilaria immitis
58927,Calomys laucha,Junin virus (JV)
58927,C. musculinus,
60757,Polar bear,Canine distemper virus
60757,,Calicivirus
58559,Blastocerus dichotomus,Rabies
58559,Mazama americana,
58559,Hydrochoerus hydrochaeris,
58559,Cerdocyon thous,
58559,Artibeus lituratus,
59104,Swift Fox (Vulpes velox),Canine Parvovirus
59104,Kit Fox (Vulpes macrotis),Canine Distemper Virus
59104,,Vesicular Stomatitis New Jersey
59104,,Vesicular Stomatitis Indiana
59104,,Cache Valley Virus
59104,,Jamestown Canyon Virus
59104,,Rabies Virus
59104,,Colorado Tick Fever Virus
59104,,Western Equine Encephalitis Virus
60252,Asian bottlenose dolphin,['Cetacean poxvirus 1 (CPV-1)']
60252,Atlantic bottlenose dolphin,['Cetacean poxvirus 2 (CPV-2)']
60252,Rough-toothed dolphin,['Novel species-specific poxvirus in Steller sea lions']
60252,Striped dolphin,
60252,Bowhead whale,
60252,Steller sea lion,
58752,American mink,Theilovirus
58752,European mink,Phleboviruses
58752,European polecat,Amdovirus
58752,European pine marten,Kobuvirus
58752,Stone marten,Picobirnaviruses
58752,Eurasian otter,
58752,Eurasian badger,
58752,Common genet,
58752,Red fox,
58752,European wild cat,
58087,Muscovy Duck (Cairina moschata),Duck Viral Enteritis Virus
60414,Procyon lotor,Rabies
60414,Mephitis mephitis,
58978,California Sea Lion,Astroviruses
58978,Steller Sea Lion,
58978,Bottlenose Dolphin,
59109,Mule Deer (Odocoileus hemionus hemionus),Jamestown Canyon virus
59109,Mule Deer (Odocoileus hemionus californicus),Jerry Slough virus
59109,Mule Deer (Odocoileus hemionus inyoensis),Northway virus
59109,Black-tailed Deer (Odocoileus hemionus columbianus),California encephalitis virus
59109,,La Crosse virus
59109,,Snowshoe Hare viruses of the California serogroup
59109,,Cache Valley virus
59109,,Lokern virus
59109,,Main Drain virus
