absID,Host,Pathogen
60336,Eurasian Lynx,Helicobacter spp. (H. heilmannii)
60336,Red Fox,"Helicobacter spp. (H. heilmannii, H. salomonis)"
60475,white-tailed deer,Borrelia burgdorferi
60475,deer,
60058,Bison bison,Pasteurella spp.
60058,,"Pasteurella haemolytica (biotype T, biotype A, and biotype 3)"
60058,,Pasteurella multocida
60058,,Two isolates could not be identified to species
60289,common seals,Brucella spp.
60289,harbour porpoises,
60289,grey seals,
57739,grizzly bear,canine distemper virus (CDV)
57739,black bear,infectious hepatitis virus (IHV)
57739,,Brucella spp.
57739,,Francisella tularensis
57739,,Trichinella spp.
57006,Cystophora cristata,Morbillivirus
57006,Phoca groenlandica,
60742,black bear,
60742,black bear,
60434,Brushtail Possum,Mycobacterium bovis
60434,Stoat,
60434,Hare,
60226,Eurasian Lynx,Helicobacter spp. (H. heilmannii)
60226,Red Fox,"Helicobacter spp. (H. heilmannii, H. salomonis)"
60232,Eurasian Lynx,Helicobacter spp. (H. heilmannii)
60232,Red Fox,"Helicobacter spp. (H. heilmannii, H. salomonis)"
60457,Columbian Black-Tailed Deer,Hair Loss Syndrome
60010,Roe Deer,Dictyocaulus capreolus
60010,Moose,Dictyocaulus eckerti
60010,Fallow Deer,New genotype of Dictyocaulus spp.
60010,Red Deer,Dictyocaulus viviparus
60697,chamois,gastrointestinal and lung helminths
60697,free ranging chamois,
60358,Macaca fuscata,Entamoeba dispar
60382,Martes melampus melampus,Mesocestoides paucitesticulus
60382,Nyctereutes procyonoides viverrinus,Brachylaima tokudai
60382,Vulpes vulpes japonica,Acanthocephalan species
60632,Raccoon,Helicobacter spp. (H. heilmannii)
60632,Resident Raccoon,"Helicobacter spp. (H. heilmannii, H. salomonis)"
60632,,Trematodes
60405,Eurasian Lynx,Helicobacter spp. (H. heilmannii)
60405,Red Fox,"Helicobacter spp. (H. heilmannii, H. salomonis)"
60261,Galictis cuja,Dioctophyme renale
60446,American Mink,Troglotrema acutum
60597,harbor seals (Phoca vitulina richardsi),Giardia spp.
60597,hybrid glaucous-winged/western gulls (Larus glaucescens / occidentalis),Cryptosporidium spp.
60218,Eurasian Lynx,Helicobacter spp. (H. heilmannii)
60218,Red Fox,"Helicobacter spp. (H. heilmannii, H. salomonis)"
60363,Macaca radiata (bonnet monkey),Plasmodium fragile
60363,Macaca mulatta (rhesus monkey),
60363,Presbytis entellus (Indian langur),
60537,chimpanzees,intestinal parasites
60537,male members of primate species that form multi-male groups,
60761,Japanese black bear,Hepatozoon ursi n. sp.
60761,Japanese black bear,Hepatozoon oocysts
60209,Eurasian Lynx,Helicobacter spp. (H. heilmannii)
60209,Red Fox,"Helicobacter spp. (H. heilmannii, H. salomonis)"
60352,Felis rufus,Toxoplasma gondii
60154,Pilocolobus tephrosceles,Cryptosporidium sp.
60154,Cercopithecus ascanius,Giardia sp.
57491,Alopex lagopus,Toxoplasma gondii
57491,,Yersinia pseudotuberculosis serotype 2b
57491,,Salmonella Enteritidis phage type 1 (PT1)
60431,Hawaiian Monk Seal,Phocine herpesvirus-1 (not confirmed by virus neutralization test)
60431,Other marine mammal species,"Leptospira bratislava, L. hardjo, L. icterohaemorrhagiae, and L. pomona"
60431,,Brucella spp. (interpretation with caution due to inconsistencies in test results and laboratories used)
60431,,Chlamydophila abortus (prevalence increased significantly as a function of age; low sensitivity and specificity associated with the CF make interpretation of results difficult.)
60431,,Toxoplasma gondii and Dirofilaria immitis (rarely found)
58927,Calomys laucha,Junin virus (JV)
58927,C. musculinus,
60757,Polar Bear,Morbillivirus
60757,Seal,Calicivirus
58559,Blastocerus dichotomus,Rabies virus
58559,Mazama americana,
58559,Hydrochoerus hydrochaeris,
58559,Cerdocyon thous,
58559,Artibeus lituratus,
59104,Swift Fox,Canine Parvovirus (CPV)
59104,Kit Fox,Canine Distemper Virus (CDV)
59104,,Vesicular Stomatitis New Jersey
59104,,Vesicular Stomatitis Indiana
59104,,Cache Valley virus
59104,,Jamestown Canyon virus
59104,,Rabies virus
59104,,Colorado tick fever virus
59104,,Western equine encephalitis virus
59104,,Yersinia pestis
59104,,Francisella tularensis
59104,,Borrelia burgdorferi
60252,Asian bottlenose dolphin,Cetacean poxvirus 1 (CPV-1)
60252,Atlantic bottlenose dolphin,Parapoxviruses in Steller sea lions and spotted seals
60252,Rough-toothed dolphin,
60252,Striped dolphin,
60252,Bowhead whale,
60252,Steller sea lion,
58752,American mink,Theilovirus
58752,European mink,Phleboviruses
58752,European polecat,Amdovirus
58752,European pine marten,Kobuvirus
58752,Stone marten,Picobirnaviruses
58752,Eurasian otter,
58752,Eurasian badger,
58752,Common genet,
58752,Red fox,
58752,European wild cat,
58087,Cairina moschata,Duck viral enteritis (DVE) virus
60414,Procyon lotor,Raccoon variant rabies virus
60414,Mephitis mephitis,
58978,California sea lion,Astrovirus (CanL3)
58978,Steller sea lion,Astrovirus (CsL12)
58978,Bottlenose dolphin,Astrovirus (CsL15)
59109,Odocoileus hemionus,Jamestown Canyon virus (strains)
59109,Culiseta inornata,Northway virus
