absID,Host,Pathogen
60336,Eurasian Lynx,Helicobacter heilmannii
60336,Red Fox,Helicobacter salomonis
60475,Eurasian Lynx,Helicobacter spp.
60475,Red Fox,Helicobacter spp.
60289,Phoca vitulina,Brucella spp.
60289,Phocoena phocoena,
60289,Halichoerus grypus,
57739,Ursus arctos horribilis,Canine parvovirus
57739,Ursus americanus,Canine distemper virus
57739,,Canine hepatitis virus
57739,,Brucella spp.
57739,,Cryphonota patina
57739,,Trichinella spp.
57006,Cystophora cristata,Morbillivirus
57006,Phoca groenlandica,Phocine distemper virus
60272,Eurasian Lynx,Helicobacter spp.
60272,Red Fox,Helicobacter spp.
60742,Ursus americanus,Ehrlichia sp.
60742,,Ehrlichia spp.
60434,Trichosurus vulpecula,Mycobacterium bovis
60434,Mustela erminea,
60434,Lepus europaeus occidentalis,
60226,Dama dama,Mycobacterium avium subsp. paratuberculosis
60226,Eurasian Lynx,
60226,Red Fox,
60232,Eurasian Lynx,Helicobacter spp.
60232,Red Fox,Helicobacter spp.
60010,Capreolus capreolus,Dictyocaulus capreolus
60010,Alces alces,Dictyocaulus eckerti
60010,Dama dama,Dictyocaulus viviparus
60010,Cervus elaphus,
60697,Eurasian Lynx,Helicobacter spp.
60697,Red Fox,Helicobacter spp.
60358,Macaca fuscata,Entamoeba dispar
60358,,Entamoeba histolytica
60382,Eurasian Lynx,Helicobacter spp. (H. heilmannii)
60382,Red Fox,"Helicobacter spp. (H. heilmannii, H. salomonis)"
60382,Martens (Martes melampus melampus),Mesocestoides paucitesticulus
60382,Raccoon Dogs (Nyctereutes procyonoides viverrinus),Brachylaima tokudai
60382,Foxes (Vulpes vulpes japonica),
60405,Eurasian Lynx,Physaloptera sibirica
60405,Red Fox,
60261,Galictis cuja,Helicobacter spp.
60261,Eurasian Lynx,Helicobacter spp.
60261,Red Fox,
60597,Eurasian Lynx,Helicobacter spp.
60597,Red Fox,Helicobacter spp.
60218,Cynictis penicillata,Babesia cynicti
60218,Procyon cancrivorus,
60363,Macaca radiata,Plasmodium fragile
60363,Macaca mulatta,
60363,Presbytis entellus,
60209,Colobus vellerosus,Entamoeba sp.
60209,Ursine colobus monkey,Isospora sp.
60209,,Ascaris sp.
60209,,Enterobius sp.
60209,,Trichuris sp.
60209,,Strongyle sp.
60209,,Giardia duodenalis Assemblage B
60209,,Blastocystis subtype 2
60352,Felis rufus,Toxoplasma gondii
60154,Eurasian Lynx,Helicobacter spp.
60154,Red Fox,Helicobacter spp.
58927,Eurasian Lynx,Helicobacter spp.
58927,Red Fox,Helicobacter spp.
60757,Ursus maritimus,Canine distemper virus (CDV)
60757,Trudea lupi,Calicivirus
60757,,Phocid herpesvirus type 1 (PhHV-1)
58559,Blastocerus dichotomus,Desmodus rotundus
58559,Mazama americana,
58559,Hydrochoerus hydrochaeris,
58559,Cerdocyon thous,
58559,Artibeus lituratus,
59104,Eurasian Lynx,Helicobacter spp.
59104,Red Fox,Helicobacter spp.
60252,Asian bottlenose dolphin,cetacean poxvirus 1 group
60252,Atlantic bottlenose dolphin,CPV-2 group
60252,rough-toothed dolphin,
60252,striped dolphin,
60252,bowhead whale,
60252,Steller sea lion,
58752,Eurasian Lynx,Helicobacter spp.
58752,Red Fox,Helicobacter spp.
58087,Muscovy Duck,DVE Virus
58087,Domestic Duck,
58087,Domestic Goose,
60414,Procyon lotor,Raccoon variant rabies
60414,Mephitis mephitis,
58978,Zalophus californianus,Astrovirus spp.
58978,Eumetopias jubatus,Astrovirus spp.
58978,Tursiops truncatus,
59109,Odocoileus hemionus,Jamestown Canyon virus
59109,Odocoileus americanus,Northway virus
