absID,Host,Pathogen
60475,white-tailed deer,Borrelia burgdorferi
60475,Eurasian Lynx,
60475,Red Fox,
57739,Grizzly Bear,Canine Distemper Virus
57739,Black Bear,Infectious Hepatitis Virus
57739,,Brucellosis
57739,,Tularaemia
57739,,Trichinellosis
57006,Cystophora cristata,Morbillivirus
57006,Phoca groenlandica,Phocine distemper virus
60742,Ursus americanus,Helicobacter spp. (H. heilmannii)
60742,Eurasian Lynx,"Helicobacter spp. (H. heilmannii, H. salomonis)"
60742,Red Fox,agent of human granulocytic ehrlichiosis (HGE; Ehrlichia sp.)
60434,Trichosurus vulpecula,Mycobacterium bovis
60434,Mustela erminea,
60434,Lepus europaeus occidentalis,
60232,Eurasian Lynx,Helicobacter spp. (H. heilmannii)
60232,Red Fox,"Helicobacter spp. (H. heilmannii, H. salomonis)"
60457,Columbian Black-Tailed Deer,Hair Loss Syndrome (HLS)
60457,Deer,
60632,Raccoon,Helminth parasites
60632,Other wildlife,
60632,Domestic animals,
60632,Man,
60446,American Mink,Troglotrema acutum
60446,Mustela vison,
60597,Phoca vitulina richardsi,Giardia spp.
60597,Larus glaucescens / occidentalis,Cryptosporidium spp.
60218,Cynictis penicillata,Babesia cynicti
60218,Eurasian Lynx,Helicobacter spp. (H. heilmannii)
60218,Red Fox,Helicobacter spp. (H. salomonis)
60537,Pan troglodytes schweinfurthii,Helminth
60761,Japanese Black Bear,Hepatozoon ursi n. sp.
60761,Ticks,Hepatozoon spp.
60757,Ursus maritimus,Canine distemper virus (CDV)
60757,Seal,Calicivirus
60757,,Phocid herpesvirus type 1 (PhHV-1)
60757,,Rabies virus
58559,Blastocerus dichotomus,Desmodus rotundus
58559,Mazama americana,Artibeus lituratus
58559,Hydrochoerus hydrochaeris,
58559,Cerdocyon thous,
