entity_id,entity,doc_id,label
1,Perch rhabdovirus,1,Pathogen
2,grayling,1,Common name
3,Thymallus thymallus,1,Host
4,Finnish fish farms,1,Location
5,farmed grayling,1,Animal source
6,Thymallus thymallus fry,1,Stage of development
7,summer months,1,Time period
8,July,1,Specific date
9,neurological disorders,1,Disease
10,peritonitis,1,Disease
11,virus,1,Pathogen
12,glycoprotein (G),1,Protein
13,RNA polymerase (L),1,Protein
14,gene sequences,1,Measurement
15,nucleotide identity,1,Measurement
16,Phylogenetic analysis,1,Method
17,Baltic Sea,1,Location
18,Perca fluviatilis,1,Host
19,Salmo trutta trutta,1,Host
20,France,1,Location
21,2004,1,Specific date
22,Danish isolate DK5533,1,Pathogen
23,pike,1,Host
24,Finnish brown trout isolate ka907_87,1,Pathogen
25,immunofluorescence antibody test,1,Method
26,grayling isolates,1,Measurement
27,PRV,1,Pathogen
28,Avian myeloblastosis virus,2,Pathogen
29,Avian Myeloblastosis Virus,2,Pathogen
30,Myeloblastosis Associated Virus,2,Pathogen
31,Reverse Transcriptase,2,Protein
32,Envelope,2,Protein
33,Molecular basis,2,Concept
34,Biological dependence,2,Concept
35,Scientific community,2,Group
36,Younger scientists,2,Group
37,Vaccinia virus,3,Pathogen
38,Pseudocowpox virus,3,Pathogen
39,Human,3,Host
40,Brazilian rural worker,3,Host
41,Cattle,3,Host
42,Vaccinia virus,3,Disease
43,Pseudocowpox virus,3,Disease
44,Occupational exanthematic diseases,3,Disease
45,Bovine vaccinia,3,Disease
46,Milker's nodule,3,Disease
47,Phylogenetic characterization,3,Method
48,Serological methods,3,Method
49,Molecular methods,3,Method
50,PCR,3,Method
51,Phylogenetic analysis,3,Method
52,Serological tests,3,Method
53,Molecular assays,3,Method
54,Fever,3,Symptom
55,Headache,3,Symptom
56,Malaise,3,Symptom
57,Myalgia,3,Symptom
58,Axillary lymphadenopathy,3,Symptom
59,Inguinal lymphadenopathy,3,Symptom
60,Cervical lymphadenopathy,3,Symptom
61,Large severely ulcerated-pustule skin lesion,3,Symptom
62,Brazil,3,Location
63,Rural areas,3,Location
64,Milk herds,3,Location
65,Hands,3,Body part
66,Forearms,3,Body part
67,Legs,3,Body part
68,Face,3,Body part
69,Teats,3,Body part
70,Lesions,3,Symptom
71,Ulcerated-pustule skin lesion,3,Symptom
72,Epidemiological surveillance,3,Process
73,Medical treatment,3,Process
74,SIV,4,Pathogen
75,SIVsm,4,Pathogen
76,Sooty mangabey,4,Common name
77,Cercocebus atys,4,Host
78,E041,4,Host
79,Simian immunodeficiency virus,4,Disease
80,AIDS,4,Disease
81,Simian T-cell leukemia virus,4,Pathogen
82,B-cell lymphoma,4,Disease
83,CD4(+)-cell,4,Cell type
84,p27 core antibody,4,Antibody
85,Giant cell disease,4,Disease
86,Plasma virus load,4,Measurement
87,Viral replication,4,Process
88,Macaca,4,Host
89,Humans,4,Host
90,African hosts,4,Location
91,Wild,4,Location
92,Adeno-associated viruses,5,Pathogen
93,bats,5,Host
94,China,5,Location
95,19 bat species,5,Host
96,faecal swab samples,5,Sample
97,370,5,Number of samples
98,22.40%,5,Proportion of samples positive
99,83,5,Number of positive samples
100,10,5,Minimum proportion of positive samples
101,38.90%,5,Maximum proportion of positive samples
102,rep-cap ORFs,5,Genomic region
103,BtAAV-YNM,5,Pathogen
104,primate AAVs,5,Pathogen
105,porcine AAV strain Po3,5,Pathogen
106,partial cap ORF sequences,5,Genomic region
107,bat AAV samples,5,Sample
108,49,5,Number of samples
109,nucleotide identity,5,Measurement
110,84.30%,5,Proportion of nucleotide identity
111,genetic diversity,5,Property
112,distinctive genotypes,5,Property
113,individual sample,5,Sample
114,Avian myelocytomatosis virus,6,Pathogen
115,MC29,6,Pathogen
116,HBI,6,Pathogen
117,chickens,6,Host
118,myelocytomas,6,Disease
119,tumors of kidney and liver,6,Disease
120,lymphoid tumors,6,Disease
121,c-myc gene,6,Gene
122,v-myc gene,6,Gene
123,lymphoid leukosis virus,6,Pathogen
124,bursa,6,Organ
125,T cells,6,Cell type
126,B cells,6,Cell type
127,p 108,6,Protein
128,proviral DNA,6,Molecule
129,c-myc,6,Gene
130,v-myc,6,Gene
131,gag-myc fusion protein,6,Protein
132,tumor cells,6,Cell type
133,target-cell specificity,6,Property
134,transformation,6,Process
135,mechanism,6,Property
136,Macaque,7,Common name
137,Macaca cyclopis,7,Host
138,Type D retrovirus,7,Pathogen
139,Mason-Pfizer monkey virus,7,Pathogen
140,Macaca mulatta,7,Host
141,T-lymphocyte,7,Cell type
142,Immunodeficiency syndrome,7,Disease
