,entity,doc_id,label
entity_id,Thymallus thymallus,1,species
1,Perch rhabdovirus,1,virus
2,Perca fluviatilis,1,species
3,Salmo trutta trutta,1,species
4,Baltic Sea,1,location
5,France,1,location
6,Denmark,1,location
7,Pike,1,species
8,Brown trout,1,species
9,Finland,1,location
10,Avian Myeloblastosis Virus,2,Virus
11,Avian Myeloblastosis Virus RT,2,Protein
12,Myeloblastosis Associated Virus,2,Virus
13,Reverse Transcriptase,2,Protein
14,Vaccinia virus,3,Pathogen
15,Pseudocowpox virus,3,Pathogen
16,Human,3,Host
17,Bovine,3,Host
18,Brazil,3,Location
19,Rural areas,3,Location
20,Milk herds,3,Location
21,Farmers,3,Individual
22,Milkers,3,Individual
23,Cattle,3,Individual
24,Teats,3,Body part
25,Lesions,3,Symptom
26,Fever,3,Symptom
27,Headache,3,Symptom
28,Malaise,3,Symptom
29,Myalgia,3,Symptom
30,Lymphadenopathy,3,Symptom
31,PCR,3,Test
32,Phylogenetic analysis,3,Test
33,Serological tests,3,Test
34,Molecular assays,3,Test
35,DNA,3,Molecule
36,Antibodies,3,Molecule
37,Epidemiological surveillance,3,Process
38,Medical treatment,3,Process
39,SIV,4,pathogen
40,SIVsm,4,pathogen
41,Sooty mangabey,4,host
42,Cercocebus atys,4,scientific name
43,AIDS,4,disease
44,Simian immunodeficiency virus,4,pathogen
45,Simian T-cell leukemia virus,4,pathogen
46,B-cell lymphoma,4,disease
47,CD4(+)-cell,4,cell type
48,p27 core antibody,4,antibody
49,Giant cell disease,4,disease
50,Humans,4,host
51,Macaques,4,host
52,African hosts,4,host
53,bats,5,organism
54,China,5,location
55,adeno-associated viruses,5,pathogen
56,primates,5,organism
57,porcine AAV strain Po3,5,pathogen
58,BtAAV-YNM,5,pathogen
59,rep-cap ORFs,5,genetic sequence
60,cap ORF sequences,5,genetic sequence
61,avian myelocytomatosis virus,6,Virus
62,chickens,6,Host
63,MC29,6,Virus
64,v-myc gene,6,Gene
65,c-myc gene,6,Gene
66,lymphoid leukosis virus,6,Virus
67,HBI,6,Virus
68,bursa,6,Organ
69,T cells,6,Cell
70,B cells,6,Cell
71,HBI proviral DNA,6,DNA
72,c-myc,6,Gene
73,HBI gag-myc fusion protein,6,Protein
74,p 108,6,Protein
75,macaques,7,host
76,Macaque,7,host
77,Macaca cyclopis,7,host
78,Mason-Pfizer monkey virus,7,pathogen
79,type D retrovirus,7,pathogen
80,T-lymphocyte,7,cell
81,opportunistic infections,7,disease
82,lymphoproliferative abnormalities,7,disease
83,rhesus monkey,7,host
84,Macaca mulatta,7,host
85,Bovine foamy virus,8,Pathogen
86,Bovine,8,Host
87,Germany,8,Location
88,Poland,8,Location
89,East Germany,8,Location
90,China,8,Location
91,United States,8,Location
92,BFV-Riems,8,Pathogen
93,BFV100,8,Pathogen
94,env-bel,8,Region
95,Provirial DNA,8,Entity
96,Simian foamy virus,9,Pathogen
97,Apes,9,Host
98,Humans,9,Host
99,Rural Cameroon,9,Location
100,Nonhuman primates,9,Host
101,Gorillas,9,Host
102,Chimpanzees,9,Host
103,Monkeys,9,Host
104,Southern Cameroon,9,Location
105,Human,10,Host
106,Parainfluenza virus type 3,10,Pathogen
107,Baboons,10,Host
108,Vervet monkeys,10,Host
109,Zambia,10,Location
110,African green monkeys,11,Host
111,SIVs,11,Pathogen
112,Sooty mangabey monkeys,11,Host
113,Asian macaques,11,Host
114,Primate lentiviruses,11,Pathogen
115,CD4(+) T cells,11,Cell type
116,T cells,11,Cell type
117,Virus,11,Pathogen
118,avian sarcoma virus Y73,12,Virus
119,polyprotein p90,12,Protein
120,Y73,12,Virus
121,helper virus,12,Virus
122,avian leukemia viruses,12,Virus
123,RNA,12,Molecule
124,transforming gene (yas),12,Gene
125,cells,12,Cell
126,Y73-associated virus,12,Virus
127,human,13,host
128,T-lymphotropic viruses,13,pathogen
129,central African bushmeat hunters,13,host
130,simian T-lymphotropic viruses,13,pathogen
131,nonhuman primates,13,host
132,HTLV-1,13,pathogen
133,STLV-1,13,pathogen
134,HTLV-2,13,pathogen
135,STLV-2,13,pathogen
136,HTLV-4,13,pathogen
137,STLV-3,13,pathogen
138,Flavobacterium columnare,14,Species
139,Fish,14,Host
140,Genomovar I,14,Genomovar
141,Genomovar II,14,Genomovar
142,Channel catfish,14,Host
143,Tilapia,14,Host
144,Brazil,14,Location
145,US,14,Location
146,Jaagsiekte sheep retrovirus,15,Pathogen
147,Ovine pulmonary adenocarcinoma,15,Disease
148,Sheep,15,Host
149,Goats,15,Host
150,Human,15,Host
151,JSRV,15,Pathogen
152,Retroviral genomic RNA,15,Entity
153,Gag protein,15,Entity
154,Rej,15,Entity
155,Env,15,Entity
156,bovine,16,host
157,group C rotavirus,16,pathogen
158,adult cows,16,host
159,Shintoku,16,pathogen
160,porcine-like WD534tc,16,pathogen
161,Yamagata,16,pathogen
162,VP6,16,gene
163,VP7,16,gene
164,cattle,16,host species
165,different host species,16,host species
166,Sanguinus oedipus,17,Species
167,Francisella tularensis,17,Species
168,Escherichia coli,17,Species
169,Salmonella,17,Species
170,Yersinia,17,Species
171,Toxoplasma gondii,17,Species
172,Lymphocytic choriomeningitis,17,Species
173,tularemia,17,Disease
174,septicemia,17,Condition
175,protozoal infection,17,Condition
176,acute viral infection,17,Condition
177,aerosol,17,Transmission method
178,biting arthropod vectors,17,Transmission method
179,rodent reservoir,17,Transmission method
180,captive nonhuman primates,17,Host
181,acute febrile illness,17,Condition
182,Simian T-cell leukemia virus,18,Disease
183,STLV,18,Disease
184,HTLV,18,Disease
185,Primate T-cell leukemia viruses,18,Disease
186,Cercocebus agilis,18,Species
187,Agile mangabeys,18,Species
188,Cercocebus torquatus,18,Species
189,Red-capped mangabey,18,Species
190,Baboon,18,Species
191,Eritrean baboon,18,Species
192,Senegal baboon,18,Species
193,Cameroon,18,Location
194,Africa,18,Location
195,Western Central Africa,18,Location
196,Rain forests,18,Location
197,Cameroon,18,Location
198,Humans,18,Host
199,Primates,18,Host
200,Animals,18,Host
201,Bush meat,18,Food
202,Pets,18,Food
203,Cruoricaptor ignavus,19,Species
204,Flavobacteriaceae,19,Family
205,Man,19,Host
206,Bacterium,19,Pathogen
207,IMMIB L-12475(T),19,Strain
208,DSM 25479(T),19,Strain
209,CCUG 62025(T),19,Strain
210,Brevundimonas vancanneytii,20,Species
211,Brevundimonas,20,Genus
212,Brevundimonas diminuta,20,Species
213,Brevundimonas terrae,20,Species
214,LMG 2337(T),20,Strain
215,LMG 2089(T),20,Strain
216,KSL-145(T),20,Strain
217,CCUG 1797(T),20,Strain
218,ATCC 14736(T),20,Strain
219,Patient,20,Host
220,Endocarditis,20,Disease
221,Wohlfahrtiimonas chitiniclastica,21,Pathogen
222,cow,21,Host
223,China,21,Location
224,Shandong,21,Location
225,16S rRNA gene,21,Molecular Technique
226,matrix-assisted laser desorption/ionization time-of-flight mass spectrometry,21,Molecular Technique
227,antimicrobial susceptibility testing,21,Molecular Technique
228,mouse,21,Host
229,Simian T-lymphotropic virus,22,Virus
230,nonhuman primates,22,Host
231,Cameroon,22,Location
232,hunters,22,Host
233,STLV,22,Virus
234,STLV-1,22,Virus
235,STLV-3,22,Virus
236,Cercopithecus mona,22,Host
237,C. nictitans,22,Host
238,HTLV,22,Virus
239,human populations,22,Host
240,peripheral blood mononuclear cell DNA,22,Entity
241,PCR,22,Method
242,generic tax and group-specific long terminal repeat primers,22,Entity
243,dried blood spots,22,Entity
244,DBS,22,Entity
245,Phylogenetic analyses,22,Method
246,PCR-negative,22,Property
247,STLV-seroreactive,22,Property
248,porcine retrovirus,23,pathogen
249,porcine cells,23,host
250,reverse transcriptase,23,enzyme
251,template-primer poly(rA).oligo(dT),23,reagent
252,Mn++,23,ion
253,K+,23,ion
254,Na+,23,ion
255,non-purified virus samples,23,sample
256,porcine cell lines,23,host
257,pigs,23,host
258,Francisella noatunensis,24,Pathogen
259,French grunt,24,Host
260,Caesar grunt,24,Host
261,Haemulon flavolineatum,24,Host
