source,target,relation_type,doc_id
Perch rhabdovirus,Thymallus thymallus,infects,1
Thymallus thymallus,Perch rhabdovirus,hosts,1
grayling,Thymallus thymallus,common name of,1
Thymallus thymallus,grayling,latin name of,1
Perch rhabdovirus,neurological disorders,causes,1
Perch rhabdovirus,peritonitis,causes,1
Perch rhabdovirus,Thymallus thymallus fry,infects,1
Perch rhabdovirus,virological investigation,detected by,1
Perch rhabdovirus,perch rhabdovirus (PRV),classified as,1
grayling isolates,Perch rhabdovirus,related to,1
Perch rhabdovirus,strain isolated from perch Perca fluviatilis,related to,1
Perch rhabdovirus,strain isolated from sea trout Salmo trutta trutta,related to,1
Perch rhabdovirus,PRV isolated in France in 2004,related to,1
Perch rhabdovirus,Danish isolate DK5533 from pike,related to,1
Finnish brown trout isolate ka907_87,grayling isolates,related to,1
grayling isolates,immunofluorescence antibody test,analysed by,1
Perch rhabdovirus,grayling in Finland,causes disease in,1
Avian myeloblastosis virus,Reverse Transcriptase,produces,2
Avian myeloblastosis virus,Envelope,produces,2
Avian myeloblastosis virus,Myeloblastosis Associated Virus,requires,2
Myeloblastosis Associated Virus,Avian myeloblastosis virus,helps,2
Avian myeloblastosis virus,Myeloblastosis Associated Virus,has relationship with,2
Reverse Transcriptase,Avian myeloblastosis virus,is produced by,2
Envelope,Avian myeloblastosis virus,is produced by,2
Scientific community,Avian myeloblastosis virus,is affected by,2
Younger scientists,Avian myeloblastosis virus,are affected by,2
Vaccinia virus,Human,infects,3
Pseudocowpox virus,Human,infects,3
Human,Vaccinia virus,hosts,3
Human,Pseudocowpox virus,hosts,3
Cattle,Vaccinia virus,hosts,3
Cattle,Pseudocowpox virus,hosts,3
Vaccinia virus,Bovine vaccinia,causes,3
Pseudocowpox virus,Milker's nodule,causes,3
Vaccinia virus,Occupational exanthematic diseases,causes,3
Pseudocowpox virus,Occupational exanthematic diseases,causes,3
Vaccinia virus,Cattle,infects,3
Pseudocowpox virus,Cattle,infects,3
Brazilian rural worker,Fever,suffered from,3
Brazilian rural worker,Headache,suffered from,3
Brazilian rural worker,Malaise,suffered from,3
Brazilian rural worker,Myalgia,suffered from,3
Brazilian rural worker,Axillary lymphadenopathy,suffered from,3
Brazilian rural worker,Inguinal lymphadenopathy,suffered from,3
Brazilian rural worker,Cervical lymphadenopathy,suffered from,3
Brazilian rural worker,Large severely ulcerated-pustule skin lesion,suffered from,3
