entity_id,entity,type,latin_name,doc_ids
1,Connecticut,Location,,59826;59886
2,United States,Location,,59037;59228;59826;59842;59859;59860
3,Leptospirosis,Disease,Leptospirosis,56805;59699;59826
4,Dogs,Animal,,59826;60157
5,Northeastern United States,Location,,59037;59826;59842;59859;59860;60566
6,Raccoons,Animal,,59228;59826;60342;60350
7,Skunks,Animal,,59826
8,Opossums,Animal,,59826
9,Gray squirrels,Animal,,59826
10,Leptospira,Organism,,56805;59826
11,Serovars,Type,,59826
12,Pomona,Type,,59826
13,Icterohemorrhagiae,Type,,59826;59836
14,Canicola,Type,,59826
15,Hardjo,Type,,59826
16,Grippotyphosa,Type,,59826
17,Canine parvovirus (CPV-2),Disease,Canine parvovirus (CPV-2),58605;59699
18,Canine distemper virus (CDV),Disease,Canine distemper virus (CDV),58605;59699;59903;59954;60035
19,Rabies virus,Disease,Rabies virus,58605;58774;59229
20,Ehrlichia canis,Disease,Ehrlichia canis,58605
21,Kenya,Location,,58605;60177;60178;60522;60523
22,Jackals,Species,,58605
23,Black-backed jackals,Species,,58605
24,Canis mesomelas,Species,,58605
25,Golden jackals,Species,,58605
26,C. aureus,Species,,56156;58605
27,Side-striped jackals,Species,,58605
28,C. adustus,Species,,58605
29,African ecosystems,Location,,58605
30,Canids,Species,,58605
31,April 1987,Date,,58605
32,January 1988,Date,,58605
33,Pacific harbor seals,Organism,,59830;59886
34,California,Location,,59699;59830;59831;59832;59837;60157
35,USA,Location,,58455;59380;59668;59699;59830;59832;59860;60098;60119;60291;60295;60350;60423;60516;60565
36,Phoca vitulina richardsi,Species,,59830
37,Adrenal glands,Anatomy,,59830;60565
38,DNA,Molecule,,59668;59830
39,Seals,Organism,,59830
40,Thymic atrophy,Condition,,59830
41,Hepatic necrosis,Condition,,58036;59830
42,Lymphopenia,Condition,,59830
43,Herpesvirus,Virus,Herpesvirus,59830
44,Electron microscopy,Technique,,57899;58337;59196;59830;59994;60229;60487
45,Cell lines,Biological material,,59830
46,Adrenal tissue homogenate,Biological material,,59830
47,Kidney cell lines,Biological material,,59830
