source_id,source_text,target_id,target_text,relation_type,doc_id
1,Connecticut,5,northeastern United States,is located in,59826
2,leptospirosis,4,domestic dogs,affects,59826
2,leptospirosis,14,humans,affects,59826
3,wildlife,2,leptospirosis,can be a source of,59826
15,jackals,955,free-ranging,are,58605
15,jackals,956,of three species,are,58605
15,jackals,957,from four localities,are,58605
15,jackals,958,in Kenya,are,58605
17,rabies virus,959,a canine pathogen,is,58605
18,canine parvovirus (CPV-2),959,a canine pathogen,is,58605
19,canine distemper virus (CDV),959,a canine pathogen,is,58605
20,Ehrlichia canis,959,a canine pathogen,is,58605
21,black-backed jackals,960,antibodies to CPV-2,have,58605
21,black-backed jackals,,antibodies to CDV,have,58605
21,black-backed jackals,961,antibodies to rabies virus,have,58605
21,black-backed jackals,962,antibodies to E. canis,have,58605
23,golden jackals,960,antibodies to CPV-2,have,58605
963,C. mesomelas,960,antibodies to CPV-2,have,58605
963,C. mesomelas,,antibodies to CDV,have,58605
25,side-striped jackals,960,antibodies to CPV-2,have,58605
25,side-striped jackals,,antibodies to CDV,have,58605
15,jackals,964,serve as an important indicator species,could,58605
15,jackals,965,monitor the potential of exposure of rare and endangered canids to specific canine diseases,could,58605
31,Herpesvirus,29,Pacific harbor seal,infects,59830
29,Pacific harbor seal,32,adrenal glands,has,59830
32,adrenal glands,31,Herpesvirus,contains,59830
34,phocine adrenal and kidney cell lines,29,Pacific harbor seal,is a cell line of,59830
35,adrenal tissue homogenate,29,Pacific harbor seal,is a tissue homogenate of,59830
34,phocine adrenal and kidney cell lines,35,adrenal tissue homogenate,is inoculated with,59830
29,Pacific harbor seal,33,kidney cell lines,has,59830
38,island fox,41,canine adenovirus,has relationship with,59699
38,island fox,,canine parvovirus,has relationship with,59699;60157
38,island fox,42,canine herpesvirus,has relationship with,59699
38,island fox,43,canine coronavirus,has relationship with,59699
38,island fox,2,leptospirosis,has relationship with,59699
38,island fox,44,toxoplasmosis,has relationship with,59699
40,Channel Islands,38,island fox,is home to,59699
36,California,38,island fox,is home to,59699
45,Pyrenean Chamois,47,Pestivirus,is infected with,59904
48,Spain,45,Pyrenean Chamois,is the location of,59904
47,Pestivirus,966,increased mortality in Pyrenean Chamois,is associated with,59904
47,Pestivirus,967,disease in Pyrenean Chamois,is associated with,59904
49,2001-02,968,outbreak of disease in Pyrenean Chamois,is the time period of,59904
,Rupicapra pyrenaica,50,Border disease virus,is affected by,59578
,Rupicapra pyrenaica,52,Pyrenees,is found in,59578
52,Pyrenees,48,Spain,is located in,59578
,Rupicapra pyrenaica,55,2001,has outbreak in,59578
,Rupicapra pyrenaica,56,2002,has outbreak in,59578
,Rupicapra pyrenaica,53,February,is present in,59578
,Rupicapra pyrenaica,54,June,is present in,59578
57,northern elephant seal,64,kidneys,has nephrolithiasis,59831
59,California sea lion,64,kidneys,has nephrolithiasis,59831
64,kidneys,68,nephroliths,contain,59831
68,nephroliths,61,uric acid,are composed of,59831
68,nephroliths,62,ammonium urate,are composed of,59831
57,northern elephant seal,65,renal pelvic dilation,has,59831
57,northern elephant seal,66,pyelonephritis,has,59831
59,California sea lion,65,renal pelvic dilation,has,59831
59,California sea lion,66,pyelonephritis,has,59831
59,California sea lion,67,hydronephrosis,has,59831
63,urine,61,uric acid,contains,59831
63,urine,62,ammonium urate,contains,59831
64,kidneys,63,urine,produce,59831
70,white-tailed deer,72,Ehrlichia spp.,hosts,59842;59860
70,white-tailed deer,75,E. chaffeensis,hosts,59842
70,white-tailed deer,76,HGE agent,hosts,59842
70,white-tailed deer,78,Ehrlichia-like organism,hosts,59842
74,Ixodes scapularis,76,HGE agent,transmits,59842
79,Syncerus caffer,90,Foot-and-mouth disease,has antibodies to,59912
79,Syncerus caffer,91,Bovine herpes virus,has antibodies to,59912
79,Syncerus caffer,92,Lumpy skin disease virus,has antibodies to,59912
79,Syncerus caffer,93,Bovine viral diarrhoea,has antibodies to,59912
79,Syncerus caffer,94,Akabane,has antibodies to,59912
79,Syncerus caffer,95,Bovine ephemeral fever,has antibodies to,59912
79,Syncerus caffer,96,Bluetongue,has antibodies to,59912
79,Syncerus caffer,97,Enzootic bovine leucosis,has antibodies to,59912
79,Syncerus caffer,87,African horse sickness virus,has antibodies to,59912
80,Connochaetes taurinus,90,Foot-and-mouth disease,has antibodies to,59912
80,Connochaetes taurinus,91,Bovine herpes virus,has antibodies to,59912
80,Connochaetes taurinus,92,Lumpy skin disease virus,has antibodies to,59912
80,Connochaetes taurinus,93,Bovine viral diarrhoea,has antibodies to,59912
80,Connochaetes taurinus,94,Akabane,has antibodies to,59912
80,Connochaetes taurinus,95,Bovine ephemeral fever,has antibodies to,59912
80,Connochaetes taurinus,96,Bluetongue,has antibodies to,59912
80,Connochaetes taurinus,97,Enzootic bovine leucosis,has antibodies to,59912
80,Connochaetes taurinus,87,African horse sickness virus,has antibodies to,59912
81,Damaliscus korrigum,90,Foot-and-mouth disease,has antibodies to,59912
81,Damaliscus korrigum,91,Bovine herpes virus,has antibodies to,59912
81,Damaliscus korrigum,92,Lumpy skin disease virus,has antibodies to,59912
81,Damaliscus korrigum,93,Bovine viral diarrhoea,has antibodies to,59912
81,Damaliscus korrigum,94,Akabane,has antibodies to,59912
81,Damaliscus korrigum,95,Bovine ephemeral fever,has antibodies to,59912
81,Damaliscus korrigum,96,Bluetongue,has antibodies to,59912
81,Damaliscus korrigum,97,Enzootic bovine leucosis,has antibodies to,59912
81,Damaliscus korrigum,87,African horse sickness virus,has antibodies to,59912
82,Zebra,87,African horse sickness virus,has antibodies to,59912
83,Wart hog,88,African swine fever virus,has antibodies to,59912
79,Syncerus caffer,88,African swine fever virus,has relationship with,59912
98,black bear,103,valvular endocarditis,has,59921
98,black bear,100,Staphylococcus aureus,has,59921
98,black bear,99,Ursus americanus,has,59921
101,Labrador,98,black bear,is a location of,59921
102,Canada,101,Labrador,is a location of,59921
100,Staphylococcus aureus,103,valvular endocarditis,is a cause of,59921
100,Staphylococcus aureus,104,coagulase-positive,is a type of,59921
105,parainfluenza 3 virus,106,Bison bison,is found in,58455
106,Bison bison,109,Alaska,is found in,58455
106,Bison bison,108,Delta Junction,is found in,58455
106,Bison bison,37,USA,is found in,58455
107,Delta bison,106,Bison bison,is a type of,58455
110,domestic cattle,105,parainfluenza 3 virus,is the source of infection for,58455
112,Puma concolor,119,FIV,hosts,59903
112,Puma concolor,120,FPV,hosts,59903
112,Puma concolor,121,FCoV,hosts,59903
112,Puma concolor,122,FCV,hosts,59903
112,Puma concolor,123,CDV,hosts,59903
112,Puma concolor,124,FHV,hosts,59903
112,Puma concolor,125,Y. pestis,hosts,59903
126,Hawaiian monk seal,128,phocine herpesvirus-1,has antibodies to,59836
126,Hawaiian monk seal,129,Leptospira bratislava,has antibodies to,59836
126,Hawaiian monk seal,130,L. hardjo,has antibodies to,59836
126,Hawaiian monk seal,,L. icterohaemorrhagiae,has antibodies to,59836
