entity_id,entity,type,doc_id
1,Leptospira,Pathogen,59826
2,serovars pomona,Pathogen,59826
3,serovars icterohemorrhagiae,Pathogen,59826
4,serovars canicola,Pathogen,59826
5,serovars hardjo,Pathogen,59826
6,serovars grippotyphosa,Pathogen,59826
7,raccoon,Host,59826
8,Procyon lotor,Host,59826
9,skunk,Host,59826
10,Mephitis mephitis,Host,59826
11,opossum,Host,59826
12,Didelphis virginiana,Host,59826
13,gray squirrel,Host,59826
14,Sciurus carolinensis,Host,59826
15,domestic dog,Host,59826
16,human,Host,59826
17,leptospirosis,Disease,59826
18,Connecticut,Location,59826
19,northeastern United States,Location,59826
20,serosurvey,Method,59826
21,antibody titers,Measurement,59826
22,36%,Proportion,59826
23,13%,Proportion,59826
24,"February 27, 2001",Date,59826
25,"September 17, 2001",Date,59826
26,109,Number of animals tested,59826
27,265,Number of animals tested positive,59826
28,500,Total number of animals,59826
29,53%,Mortality rate,59826
30,Leptospira,infects,59826
31,Procyon lotor,hosts,59826
32,Leptospira,infects,59826
33,Mephitis mephitis,hosts,59826
34,Leptospira,infects,59826
35,Didelphis virginiana,hosts,59826
36,Leptospira,infects,59826
37,Sciurus carolinensis,hosts,59826
38,Leptospira,infects,59826
39,domestic dog,hosts,59826
40,Leptospira,infects,59826
41,rabies virus,infects,58605
42,Canis mesomelas,hosts,58605
43,Canis mesomelas,has,58605
44,jackals,serve as,58605
45,rabies virus,Pathogen,58605
46,canine parvovirus (CPV-2),Pathogen,58605
47,canine distemper virus (CDV),Pathogen,58605
48,Ehrlichia canis,Pathogen,58605
49,black-backed jackal,Host,58605
50,Canis mesomelas,Host,58605
51,golden jackal,Host,58605
52,C. aureus,Host,58605
53,side-striped jackal,Host,58605
54,C. adustus,Host,58605
55,Kenya,Location,58605
56,antibodies,Antibody,58605
57,serum samples,Biological sample,58605
58,rabies,Disease,58605
59,parvovirus,Disease,58605
60,distemper,Disease,58605
61,ehrlichiosis,Disease,58605
62,rabies virus,infects,58605
63,Canis mesomelas,hosts,58605
64,canine parvovirus (CPV-2),infects,58605
65,Canis mesomelas,hosts,58605
66,canine distemper virus (CDV),infects,58605
67,Canis mesomelas,hosts,58605
68,Ehrlichia canis,infects,58605
69,Canis mesomelas,hosts,58605
70,Canis mesomelas,has,58605
71,Canis mesomelas,has,58605
72,Canis mesomelas,has,58605
73,Canis mesomelas,has,58605
74,C. aureus,has,58605
75,C. aureus,has,58605
76,Herpesvirus,infects,59830
77,Phoca vitulina richardsi,hosts,59830
78,Phoca vitulina richardsi,common name of,59830
79,Herpesvirus,causes,59830
80,Pacific harbor seal,found in,59830
81,Adrenal necrosis,affects,59830
82,Intranuclear inclusion bodies,contain,59830
83,Electron microscopy,detects,59830
84,Phocine adrenal and kidney cell lines,host,59830
85,Herpesvirus,causes,59830
86,Affected seals,have,59830
87,Affected seals,have,59830
88,text,type,59699
89,src,relation,59699
90,island fox,Common name,59699
91,Urocyon littoralis,Host,59699
92,Channel Islands,Location,59699
93,California,Location,59699
94,USA,Location,59699
95,canine adenovirus,Pathogen,59699
96,canine parvovirus,Pathogen,59699
97,canine herpesvirus,Pathogen,59699
98,canine coronavirus,Pathogen,59699
99,Leptospira,Pathogen,59699
100,Toxoplasma gondii,Pathogen,59699
101,canine distemper virus,Pathogen,59699
102,97%,Measurement,59699
103,59%,Measurement,59699
104,low,Measurement,59699
105,not detected,Measurement,59699
106,194,Number of individuals surveyed,59699
107,serologic survey,Survey type,59699
108,threatened species,Conservation status,59699
109,Urocyon littoralis,hosts,59699
110,Urocyon littoralis,hosts,59699
111,Urocyon littoralis,hosts,59699
112,Pyrenean Chamois,Host,59904
113,Rupicapra pyrenaica pyrenaica,Scientific name,59904
114,new pestivirus,Pathogen,59904
115,unreported disease,Disease,59904
116,Spain,Location,59904
117,northeastern Spain,Location,59904
118,2001-02,Time period,59904
119,border disease virus cluster,Genetic cluster,59904
120,5' noncoding regions,Viral region,59904
121,82.1%,Similarity value,59904
122,88.1%,Similarity value,59904
123,16,Number of infected individuals,59904
124,17,Total number of individuals,59904
125,new pestivirus,infects,59904
126,Rupicapra pyrenaica pyrenaica,hosts,59904
127,Pyrenean Chamois,common name of,59904
128,new pestivirus,causes,59904
129,unreported disease,found in,59904
130,new pestivirus,genetically related to,59904
131,new pestivirus,has similarity value,59904
132,new pestivirus,has similarity value,59904
133,new pestivirus,detected in,59904
134,unreported disease,investigated in,59904
135,southern chamois,Common name,59578
136,Rupicapra pyrenaica,Host,59578
137,border disease virus,Pathogen,59578
138,central Pyrenees,Location,59578
139,NE Spain,Location,59578
140,2001,Year,59578
141,2002,Year,59578
142,42%,Population decrease,59578
143,depression,Symptom,59578
144,weakness,Symptom,59578
145,movement difficulties,Symptom,59578
146,abnormal behaviour,Symptom,59578
147,alopecia,Symptom,59578
148,skin hyperpigmentation,Symptom,59578
149,cachexia,Symptom,59578
150,abscesses,Symptom,59578
151,pneumonia,Symptom,59578
152,extensive subcutaneous infection,Symptom,59578
153,orchitis,Symptom,59578
154,edema,Symptom,59578
155,gliosis,Symptom,59578
156,espongiosis,Symptom,59578
157,cariorrexis,Symptom,59578
158,neuronal multifocal necrosis,Symptom,59578
159,perivascular mononuclear inflammatory infiltrate,Symptom,59578
160,follicular atrophy,Symptom,59578
161,epidermal hyperplasia,Symptom,59578
162,orthokeratotic hyperkeratosis,Symptom,59578
163,follicular hyperkeratosis,Symptom,59578
164,hypermelanosis,Symptom,59578
165,haemosiderin deposits,Symptom,59578
166,intraerythrocytic parasites,Pathogen,59578
167,PCR,Detection method,59578
168,RT-PCR,Detection method,59578
169,monoclonal antibodies,Detection method,59578
170,pestivirus,Pathogen,59578
171,border disease virus,infects,59578
172,Rupicapra pyrenaica,hosts,59578
173,southern chamois,common name of,59578
174,northern elephant seal,Host,59831
175,Mirounga angustirostris,Host,59831
176,California sea lion,Host,59831
177,Zalophus californianus,Host,59831
178,nephrolithiasis,Disease,59831
179,nephroliths,Pathogen,59831
180,uric acid,Pathogen component,59831
181,ammonium urate,Pathogen component,59831
182,pyelonephritis,Disease,59831
183,hydronephrosis,Disease,59831
184,white-tailed deer,Common name,59842
185,Odocoileus virginianus,Host,59842
186,Amblyomma americanum,Pathogen,59842
187,Ixodes scapularis,Pathogen,59842
188,Ehrlichia chaffeensis,Pathogen,59842
189,human granulocytic ehrlichiosis (HGE) agent,Pathogen,59842
190,Ehrlichia equi,Pathogen,59842
191,Ehrlichia spp.,Pathogen,59842
192,ehrlichioses,Disease,59842
193,serologic,Method,59842
194,molecular,Method,59842
195,culture,Method,59842
196,111,Measurement,59842
197,"1,024",Measurement,59842
198,1/5,Measurement,59842
199,3/5,Measurement,59842
200,5/5,Measurement,59842
201,inguinal lymph node,Anatomical location,59842
202,neutrophil,Cell type,59842
203,ehrlichioses agents,Pathogen,59842
204,southeastern United States,Geographical location,59842
205,Ehrlichia chaffeensis,infects,59842
206,Odocoileus virginianus,hosts,59842
207,Amblyomma americanum,vectors,59842
