entity_id,entity,type,doc_id
1,Leptospirosis,Disease,59826
2,Connecticut,Location,59826
3,peridomestic wildlife,Host,59826
4,Leptospira,Pathogen,59826
5,Leptospira serovars,Pathogen,59826
6,serovars pomona,Pathogen,59826
7,serovars icterohemorrhagiae,Pathogen,59826
8,serovars canicola,Pathogen,59826
9,serovars hardjo,Pathogen,59826
10,serovars grippotyphosa,Pathogen,59826
11,raccoons,Host,59826
12,Procyon lotor,Host,59826
13,skunks,Host,59826
14,Mephitis mephitis,Host,59826
15,opossums,Host,59826
16,Didelphis virginiana,Host,59826
17,gray squirrels,Host,59826
18,Sciurus carolinensis,Host,59826
19,February 27,Date,59826
20,September 17,Date,59826
21,2001,Year,59826
22,northeastern United States,Location,59826
23,dogs,Host,59826
24,humans,Host,59826
25,rabies virus,Pathogen,58605
26,canine parvovirus (CPV-2),Pathogen,58605
27,canine distemper virus (CDV),Pathogen,58605
28,Ehrlichia canis,Pathogen,58605
29,black-backed jackals,Common name,58605
30,Canis mesomelas,Host,58605
31,golden jackals,Common name,58605
32,C. aureus,Host,58605
33,side-striped jackals,Common name,58605
34,C. adustus,Host,58605
35,jackals,Common name,58605
36,Canis,Genus,58605
37,Kenya,Location,58605
38,free-ranging,Animal source,58605
39,adult,Age,58605
40,serum samples,Sample,58605
41,antibodies,Measurement,58605
42,prevalence,Measurement,58605
43,percentage,Unit,58605
44,April 1987,Date,58605
45,January 1988,Date,58605
46,African ecosystems,Environment,58605
47,rare and endangered canids,Host,58605
48,specific canine diseases,Disease,58605
49,Herpesvirus,Pathogen,59830
50,Pacific harbor seal,Common name,59830
51,Phoca vitulina richardsi,Host,59830
52,California,Location,59830
53,USA,Location,59830
54,Adrenal gland,Tissue,59830
55,DNA,Molecule,59830
56,Amphophilic,Property,59830
57,Intranuclear inclusion bodies,Structure,59830
58,Necrosis,Symptom,59830
59,Sepsis,Disease,59830
60,Omphalophlebitis,Disease,59830
61,Pneumonia,Disease,59830
62,Gastroenteritis,Disease,59830
63,Thymic atrophy,Symptom,59830
64,Hepatic necrosis,Symptom,59830
65,Lymphopenia,Symptom,59830
66,Electron microscopy,Technique,59830
67,Viral particles,Structure,59830
68,Adrenal tissue homogenate,Sample,59830
69,Phocine adrenal and kidney cell lines,Cell line,59830
70,Cytopathic effect,Symptom,59830
71,Cell cultures,Sample,59830
72,Days,Unit of time,59830
73,0 to 63 days,Duration,59830
74,Below average birth weight,Property,59830
75,island fox,Common name,59699
76,Urocyon littoralis,Host,59699
77,Channel Islands,Location,59699
78,California,Location,59699
79,USA,Location,59699
80,canine adenovirus,Pathogen,59699
81,canine parvovirus,Pathogen,59699
82,canine herpesvirus,Pathogen,59699
83,canine coronavirus,Pathogen,59699
84,leptospirosis,Disease,59699
85,toxoplasmosis,Disease,59699
86,canine distemper virus,Pathogen,59699
87,serologic survey,Process,59699
88,antibody prevalence,Measurement,59699
89,97%,Proportion,59699
90,59%,Proportion,59699
91,194,Number of individuals,59699
92,threatened species,Classification,59699
93,Pestivirus,Pathogen,59904
94,Pyrenean Chamois,Common name,59904
95,Rupicapra pyrenaica pyrenaica,Host,59904
96,Spain,Location,59904
97,2001-02,Time period,59904
98,Border disease virus cluster,Group,59904
99,noncoding regions,Region,59904
100,Virus,Pathogen,59904
101,Disease,Disease,59904
102,Mortality,Symptom,59904
103,16,Number of individuals infected,59904
104,17,Number of individuals tested,59904
105,82.1%,Proportion of similarity,59904
106,88.1%,Proportion of similarity,59904
107,Pestivirus,infects,59904
108,Rupicapra pyrenaica pyrenaica,hosts,59904
109,Pestivirus,causes,59904
110,Rupicapra pyrenaica pyrenaica,suffered from,59904
111,Pestivirus,associated with,59904
112,Pestivirus,identified in,59904
113,Rupicapra pyrenaica pyrenaica,found in,59904
114,Pestivirus,belong to,59904
115,Pestivirus,has similarity with,59904
116,noncoding regions,analyzed in,59904
117,Rupicapra pyrenaica,Host,59578
118,border disease virus,Pathogen,59578
119,southern chamois,Common name,59578
120,central Pyrenees,Location,59578
121,NE Spain,Location,59578
122,February,Time,59578
123,June,Time,59578
124,2001,Year,59578
125,2002,Year,59578
126,42%,Proportion of population decrease,59578
127,20,Number of affected chamois,59578
128,depression,Symptom,59578
129,weakness,Symptom,59578
130,movement difficulties,Symptom,59578
131,abnormal behaviour,Symptom,59578
132,alopecia,Symptom,59578
133,skin hyperpigmentation,Symptom,59578
134,cachexia,Symptom,59578
135,abscesses,Symptom,59578
136,pneumonia,Symptom,59578
137,subcutaneous infection,Symptom,59578
138,orchitis,Symptom,59578
139,edema,Symptom,59578
140,gliosis,Symptom,59578
141,espongiosis,Symptom,59578
142,cariorrexis,Symptom,59578
143,neuronal multifocal necrosis,Symptom,59578
144,perivascular mononuclear inflammatory infiltrate,Symptom,59578
145,follicular atrophy,Symptom,59578
146,epidermal hyperplasia,Symptom,59578
147,orthokeratotic hyperkeratosis,Symptom,59578
148,follicular hyperkeratosis,Symptom,59578
149,hypermelanosis,Symptom,59578
150,haemosiderin deposits,Symptom,59578
151,kidney cloissone,Symptom,59578
152,intraeritrocitic parasites,Symptom,59578
153,PCR,Detection method,59578
154,RT-PCR,Detection method,59578
155,monoclonal antibodies,Detection method,59578
156,Urate nephrolithiasis,Disease,59831
157,northern elephant seal,Common name,59831
158,Mirounga angustirostris,Host,59831
159,California sea lion,Common name,59831
160,Zalophus californianus,Host,59831
161,nephroliths,Pathogen,59831
162,uric acid,Compound,59831
163,ammonium urate,Compound,59831
164,renal pelvic dilation,Symptom,59831
165,pyelonephritis,Symptom,59831
166,hydronephrosis,Symptom,59831
167,2004,Year,59831
168,2005,Year,59831
169,necropsy,Procedure,59831
170,histopathology,Procedure,59831
171,morphologic,Property,59831
172,physiologic,Property,59831
173,metabolic derangements,Condition,59831
174,Ehrlichia spp.,Pathogen,59842
175,white-tailed deer,Common name,59842
176,Odocoileus virginianus,Host,59842
177,Amblyomma americanum,Tick,59842
178,Ixodes scapularis,Tick,59842
179,Ehrlichia chaffeensis,Pathogen,59842
180,human granulocytic ehrlichiosis,Disease,59842
181,Ehrlichia equi,Pathogen,59842
182,16S rDNA,Molecular entity,59842
183,nested polymerase chain reaction,Technique,59842
184,inguinal lymph node,Tissue,59842
185,neutrophil,Cell type,59842
186,blood smears,Sample type,59842
187,southeastern United States,Location,59842
188,United States,Location,59842
189,natural coinfection,Event,59842
190,serologic,Technique,59842
191,molecular,Technique,59842
192,culture,Technique,59842
193,indirect fluorescent antibody testing,Technique,59842
194,geometric mean titer,Measurement,59842
195,titer,Measurement,59842
196,sequence-confirmed,Property,59842
197,Ehrlichia-like organism,Pathogen,59842
198,HGE agent,Pathogen,59842
199,Ehrlichia-type morula,Molecular entity,59842
200,Antibodies,Measurement,59912
201,Pathogenic agents,Pathogen,59912
202,Free-living wild species,Host,59912
203,Tanzania,Location,59912
204,Game areas,Location,59912
205,Foot-and-mouth disease,Disease,59912
206,Bovine herpes virus types 1 and 2,Pathogen,59912
207,Lumpy skin disease,Disease,59912
208,Bovine viral diarrhoea,Disease,59912
209,Akabane,Pathogen,59912
210,Bovine ephemeral fever,Disease,59912
211,Bluetongue,Disease,59912
212,Enzootic bovine leucosis,Disease,59912
213,African horse sickness,Disease,59912
214,African swine fever,Disease,59912
215,Brucella abortus,Pathogen,59912
216,Buffalo,Common name,59912
217,Syncerus caffer,Host,59912
218,Wildebeest,Common name,59912
219,Connochaetes taurinus,Host,59912
220,Topi,Common name,59912
221,Damaliscus korrigum,Host,59912
222,Zebra,Common name,59912
223,Wart hog,Common name,59912
224,Staphylococcus aureus,Pathogen,59921
225,coagulase-positive Staphylococcus aureus,Pathogen,59921
226,black bear,Common name,59921
227,Ursus americanus,Host,59921
228,Labrador,Location,59921
229,Canada,Location,59921
230,valvular endocarditis,Disease,59921
231,bacterial valvular endocarditis,Disease,59921
232,radio-collared black bear,Animal source,59921
233,fall 1991,Time period,59921
234,northern Labrador,Location,59921
235,wild black bear,Animal source,59921
236,parainfluenza 3 virus,Pathogen,58455
237,Bison bison,Host,58455
238,free-ranging bison,Common name,58455
239,Delta bison,Common name,58455
240,Delta Junction,Location,58455
241,Alaska,Location,58455
242,USA,Location,58455
243,Domestic cattle,Host,58455
244,Serum antibody prevalence,Measurement,58455
245,Infection,Event,58455
246,Clinical disease,Symptom,58455
247,Productivity,Property,58455
248,1977,Year,58455
249,1984,Year,58455
250,Rocky Mountain cougar,Common name,59903
251,Puma concolor,Host,59903
252,Feline immunodeficiency virus,Pathogen,59903
253,Feline parvovirus,Pathogen,59903
254,Feline coronavirus,Pathogen,59903
255,Feline calicivirus,Pathogen,59903
256,Canine distemper virus,Pathogen,59903
257,Feline herpesvirus,Pathogen,59903
258,Yersinia pestis,Pathogen,59903
259,FIV,Pathogen,59903
260,FPV,Pathogen,59903
261,FCoV,Pathogen,59903
262,FCV,Pathogen,59903
263,CDV,Pathogen,59903
264,FHV,Pathogen,59903
265,Y. pestis,Pathogen,59903
266,Rocky Mountains,Location,59903
267,1990-2004,Duration,59903
268,15 years,Duration,59903
269,207,Number of individuals,59903
270,four populations,Location,59903
271,cougars,Host,59903
272,family membership,Factor,59903
273,age,Factor,59903
274,sex,Factor,59903
275,location,Factor,59903
276,seroprevalence,Measurement,59903
277,infection,Measurement,59903
278,seroconversions,Measurement,59903
279,epidemic,Property,59903
280,endemic,Property,59903
281,risk of exposure,Property,59903
