entity_id,entity,type,doc_id
1,leptospirosis,Disease,59826
2,Connecticut,Location,59826
3,peridomestic wildlife,Host,59826
4,domestic dogs,Host,59826
5,northeastern United States,Location,59826
6,Leptospira,Pathogen,59826
7,Leptospira serovars,Pathogen,59826
8,serovars pomona,Pathogen,59826
9,serovars icterohemorrhagiae,Pathogen,59826
10,serovars canicola,Pathogen,59826
11,serovars hardjo,Pathogen,59826
12,serovars grippotyphosa,Pathogen,59826
13,small wild mammals,Host,59826
14,raccoons,Common name,59826
15,Procyon lotor,Host,59826
16,skunks,Common name,59826
17,Mephitis mephitis,Host,59826
18,opossums,Common name,59826
19,Didelphis virginiana,Host,59826
20,gray squirrels,Common name,59826
21,Sciurus carolinensis,Host,59826
22,serologic evidence,Measurement,59826
23,exposure,Process,59826
24,serosurvey,Process,59826
25,antibody titers,Measurement,59826
26,zoonotic disease,Disease,59826
27,February 27,Date,59826
28,September 17,Date,59826
29,2001,Year,59826
30,36%,Proportion,59826
31,13%,Proportion,59826
32,31,Number of individuals,59826
33,30,Number of individuals,59826
34,28,Number of individuals,59826
35,20,Number of individuals,59826
36,109,Number of individuals,59826
37,28,Number of individuals,59826
38,1,Number of individuals,59826
39,Leptospira,infects,59826
40,Leptospira,infects,59826
41,Leptospira,infects,59826
42,Leptospira,infects,59826
43,Leptospira,infects,59826
44,Leptospira,infects,59826
45,Leptospira,infects,59826
46,Leptospira,infects,59826
47,Leptospira,infects,59826
48,Leptospira,infects,59826
49,Leptospira,infects,59826
50,Procyon lotor,hosts,59826
51,Mephitis mephitis,hosts,59826
52,Didelphis virginiana,hosts,59826
53,Sciurus carolinensis,hosts,59826
54,raccoons,common name of,59826
55,skunks,common name of,59826
56,opossums,common name of,59826
57,gray squirrels,common name of,59826
58,Leptospira,causes,59826
59,Leptospira serovars,causes,59826
60,serovars pomona,causes,59826
61,serovars icterohemorrhagiae,causes,59826
62,serovars canicola,causes,59826
63,serovars hardjo,causes,59826
64,serovars grippotyphosa,causes,59826
65,Leptospira,causes,59826
66,36%,proportion of,59826
67,13%,proportion of,59826
68,31,number of,59826
69,30,number of,59826
70,28,number of,59826
71,20,number of,59826
72,109,number of,59826
73,Serologic survey,Event,58605
74,canine pathogens,Pathogen,58605
75,free-ranging jackals,Host,58605
76,Kenya,Location,58605
77,Serum samples,Sample,58605
78,rabies virus,Pathogen,58605
79,canine parvovirus (CPV-2),Pathogen,58605
80,canine distemper virus (CDV),Pathogen,58605
81,Ehrlichia canis,Pathogen,58605
82,black-backed jackals,Common name,58605
83,Canis mesomelas,Host,58605
84,golden jackals,Common name,58605
85,C. aureus,Host,58605
86,side-striped jackals,Common name,58605
87,C. adustus,Host,58605
88,April 1987,Date,58605
89,January 1988,Date,58605
90,antibodies,Biological material,58605
91,prevalence,Measurement,58605
92,34%,Proportion,58605
93,14,Number of individuals,58605
94,55,Number of individuals,58605
95,9%,Proportion,58605
96,4,Number of individuals,58605
97,3%,Proportion,58605
98,1,Number of individuals,58605
99,2%,Proportion,58605
100,1,Number of individuals,58605
101,36,Number of individuals,58605
102,9,Number of individuals,58605
103,16,Number of individuals,58605
104,5,Number of individuals,58605
105,26,Number of individuals,58605
106,3,Number of individuals,58605
107,CPV-2,Pathogen,58605
108,CDV,Pathogen,58605
109,wild carnivore,Host,58605
110,African ecosystems,Environment,58605
111,canids,Host,58605
112,canine diseases,Disease,58605
113,canine pathogens,infects,58605
114,free-ranging jackals,hosts,58605
115,rabies virus,infects,58605
116,Canis mesomelas,hosts,58605
117,canine parvovirus (CPV-2),infects,58605
118,Canis mesomelas,hosts,58605
119,canine distemper virus (CDV),infects,58605
120,Canis mesomelas,hosts,58605
121,Ehrlichia canis,infects,58605
122,Canis mesomelas,hosts,58605
123,canine parvovirus (CPV-2),infects,58605
124,C. aureus,hosts,58605
125,canine parvovirus (CPV-2),infects,58605
126,C. adustus,hosts,58605
127,canine distemper virus (CDV),infects,58605
128,C. adustus,hosts,58605
129,black-backed jackals,common name of,58605
130,Canis mesomelas,Latin name of,58605
131,golden jackals,common name of,58605
132,C. aureus,Latin name of,58605
133,side-striped jackals,common name of,58605
134,C. adustus,Latin name of,58605
135,Serum samples,collected from,58605
136,Serum samples,examined for,58605
137,Serum samples,collected between,58605
138,Serum samples,collected between,58605
139,34%,prevalence of,58605
140,14,number of individuals with,58605
141,55,number of individuals sampled for,58605
142,9%,prevalence of,58605
143,4,number of individuals with,58605
144,Herpesvirus,Pathogen,59830
145,Pacific harbor seals,Common name,59830
146,Phoca vitulina richardsi,Host,59830
147,adrenal necrosis,Disease,59830
148,adrenal cells,Tissue,59830
149,DNA,Biomolecule,59830
150,sepsis,Disease,59830
151,bacterial omphalophlebitis,Disease,59830
152,pneumonia,Disease,59830
153,gastroenteritis,Disease,59830
154,thymic atrophy,Disease,59830
155,hepatic necrosis,Disease,59830
156,lymphopenia,Symptom,59830
157,viral particles,Pathogen,59830
158,phocine adrenal and kidney cell lines,Cell lines,59830
159,adrenal tissue homogenate,Biological sample,59830
160,cytopathic effect,Symptom,59830
161,male seals,Host,59830
162,female seals,Host,59830
163,birth weight,Measurement,59830
164,species,Taxonomic rank,59830
165,central and northern California,Location,59830
166,USA,Location,59830
167,0 to 63 days,Duration,59830
168,45%,Proportion of individuals that died,59830
169,74 of 162,Number of individuals that died,59830
170,42 of 95,Number of individuals affected,59830
171,32 of 67,Number of individuals affected,59830
172,100 nm,Measurement,59830
173,160 nm,Measurement,59830
174,5 days,Duration,59830
175,island fox,Common name,59699
176,Urocyon littoralis,Host,59699
177,Channel Islands,Location,59699
178,California,Location,59699
179,USA,Location,59699
180,serologic survey,Process,59699
181,194,Number of individuals sampled,59699
182,canine adenovirus,Pathogen,59699
183,canine parvovirus,Pathogen,59699
184,canine herpesvirus,Pathogen,59699
185,canine coronavirus,Pathogen,59699
186,leptospirosis,Disease,59699
187,toxoplasmosis,Disease,59699
188,canine distemper virus,Pathogen,59699
189,threatened species,Status,59699
190,97%,Proportion of individuals infected,59699
191,59%,Proportion of individuals infected,59699
192,low,Proportion of individuals infected,59699
193,Pestivirus,Pathogen,59904
194,Pyrenean Chamois,Common name,59904
195,Rupicapra pyrenaica pyrenaica,Host,59904
196,Spain,Location,59904
197,2001-02,Time period,59904
198,5' noncoding regions,Genetic region,59904
199,border disease virus cluster,Virus cluster,59904
200,82.1% to 88.1%,Similarity value,59904
201,16 of 17,Number of individuals infected,59904
202,outbreak,Event,59904
203,disease,Disease,59904
204,mortality,Symptom,59904
205,Pestivirus,infects,59904
206,Rupicapra pyrenaica pyrenaica,hosts,59904
207,Pyrenean Chamois,common name of,59904
208,Rupicapra pyrenaica pyrenaica,Latin name of,59904
209,Pestivirus,found in,59904
210,Pestivirus,detected in,59904
211,Pestivirus,has genetic region,59904
212,Pestivirus,belongs to,59904
213,Pestivirus,has similarity value,59904
214,Pestivirus,causes,59904
215,Pestivirus,causes,59904
216,16 of 17,measurement,59904
217,outbreak,affected,59904
218,southern chamois,Common name,59578
219,Rupicapra pyrenaica,Host,59578
220,border disease virus,Pathogen,59578
221,central Pyrenees,Location,59578
222,NE Spain,Location,59578
223,2001,Year,59578
224,2002,Year,59578
225,February,Month,59578
226,June,Month,59578
227,42%,Proportion,59578
228,20,Number of individuals examined,59578
229,depression,Symptom,59578
230,weakness,Symptom,59578
231,movement difficulties,Symptom,59578
232,abnormal behaviour,Symptom,59578
233,absence of flight reaction,Symptom,59578
234,alopecia,Symptom,59578
235,skin hyperpigmentation,Symptom,59578
236,cachexia,Symptom,59578
237,abscesses,Symptom,59578
238,pneumonia,Symptom,59578
239,subcutaneous infection,Symptom,59578
240,orchitis,Symptom,59578
241,edema,Symptom,59578
242,gliosis,Symptom,59578
243,espongiosis,Symptom,59578
244,cariorrexis,Symptom,59578
245,neuronal multifocal necrosis,Symptom,59578
246,perivascular mononuclear inflammatory infiltrate,Symptom,59578
247,follicular atrophy,Symptom,59578
248,epidermal hyperplasia,Symptom,59578
249,orthokeratotic hyperkeratosis,Symptom,59578
250,follicular hyperkeratosis,Symptom,59578
251,hypermelanosis,Symptom,59578
252,haemosiderin deposits,Symptom,59578
253,intraeritrocitic parasites,Pathogen,59578
254,pestivirus,Pathogen,59578
255,border disease virus,Pathogen,59578
256,monoclonal antibodies,Diagnostic tool,59578
257,RT-PCR,Diagnostic tool,59578
258,PCR,Diagnostic tool,59578
259,first time,Event,59578
260,high-mortality disease,Disease,59578
261,wild species,Host,59578
262,border disease virus,infects,59578
263,Rupicapra pyrenaica,hosts,59578
264,southern chamois,common name of,59578
265,Rupicapra pyrenaica,Latin name of,59578
266,border disease virus,causes,59578
267,Rupicapra pyrenaica,found in,59578
268,Rupicapra pyrenaica,found in,59578
269,border disease virus,detected by,59578
270,border disease virus,detected by,59578
271,border disease virus,detected by,59578
272,border disease virus,causes,59578
273,border disease virus,causes,59578
274,border disease virus,causes,59578
275,border disease virus,causes,59578
276,border disease virus,causes,59578
277,border disease virus,causes,59578
278,border disease virus,causes,59578
279,border disease virus,causes,59578
280,border disease virus,causes,59578
281,border disease virus,causes,59578
282,border disease virus,causes,59578
283,border disease virus,causes,59578
284,border disease virus,causes,59578
285,border disease virus,causes,59578
286,border disease virus,causes,59578
287,border disease virus,causes,59578
288,border disease virus,causes,59578
289,border disease virus,causes,59578
290,border disease virus,causes,59578
291,border disease virus,causes,59578
