source_text,target_text,relation_type,doc_id
Leptospira,Procyon lotor,infects,59826
Procyon lotor,Leptospira,hosts,59826
Leptospira,Mephitis mephitis,infects,59826
Mephitis mephitis,Leptospira,hosts,59826
Leptospira,Didelphis virginiana,infects,59826
Didelphis virginiana,Leptospira,hosts,59826
Leptospira,Sciurus carolinensis,infects,59826
Sciurus carolinensis,Leptospira,hosts,59826
serosurvey,Connecticut,conducted in,59826
serosurvey,northeastern United States,conducted in,59826
serosurvey,"February 27, 2001",conducted between,59826
serosurvey,"September 17, 2001",conducted between,59826
serosurvey,serovars pomona,tested for,59826
serosurvey,serovars icterohemorrhagiae,tested for,59826
serosurvey,serovars canicola,tested for,59826
serosurvey,serovars hardjo,tested for,59826
serosurvey,serovars grippotyphosa,tested for,59826
serosurvey,antibody titers,found,59826
36%,raccoon,of,59826
13%,skunk,of,59826
Leptospira,leptospirosis,causes,59826
Procyon lotor,domestic dog,potential source for,59826
Canis mesomelas,rabies virus,hosts,58605
Canis mesomelas,canine parvovirus (CPV-2),hosts,58605
Canis mesomelas,canine distemper virus (CDV),hosts,58605
Canis mesomelas,Ehrlichia canis,hosts,58605
rabies virus,Canis mesomelas,infects,58605
canine parvovirus (CPV-2),Canis mesomelas,infects,58605
canine distemper virus (CDV),Canis mesomelas,infects,58605
Ehrlichia canis,Canis mesomelas,infects,58605
C. aureus,canine parvovirus (CPV-2),hosts,58605
canine parvovirus (CPV-2),C. aureus,infects,58605
C. aureus,canine distemper virus (CDV),hosts,58605
canine distemper virus (CDV),C. aureus,infects,58605
C. adustus,canine parvovirus (CPV-2),hosts,58605
canine parvovirus (CPV-2),C. adustus,infects,58605
C. adustus,canine distemper virus (CDV),hosts,58605
canine distemper virus (CDV),C. adustus,infects,58605
Herpesvirus,Phoca vitulina richardsi,infects,59830
Phoca vitulina richardsi,Herpesvirus,hosts,59830
Herpesvirus,Adrenal necrosis,causes,59830
Pacific harbor seal,Adrenal necrosis,has,59830
Herpesvirus,Intranuclear inclusion bodies,has,59830
Electron microscopy,Herpesvirus,detects,59830
Herpesvirus,Phocine adrenal and kidney cell lines,infects,59830
Phocine adrenal and kidney cell lines,Herpesvirus,host,59830
Herpesvirus,Affected seals,affects,59830
island fox,canine adenovirus,hosts,59699
canine adenovirus,island fox,infects,59699
island fox,canine parvovirus,hosts,59699
canine parvovirus,island fox,infects,59699
island fox,canine herpesvirus,hosts,59699
canine herpesvirus,island fox,infects,59699
island fox,canine coronavirus,hosts,59699
canine coronavirus,island fox,infects,59699
island fox,Leptospira,hosts,59699
Leptospira,island fox,infects,59699
island fox,Toxoplasma gondii,hosts,59699
Toxoplasma gondii,island fox,infects,59699
island fox,canine distemper virus,hosts,59699
canine distemper virus,island fox,infects,59699
serologic survey,canine adenovirus,detected,59699
serologic survey,canine parvovirus,detected,59699
serologic survey,canine herpesvirus,detected,59699
serologic survey,canine coronavirus,detected,59699
serologic survey,Leptospira,detected,59699
serologic survey,Toxoplasma gondii,detected,59699
serologic survey,canine distemper virus,detected,59699
Channel Islands,California,located in,59699
California,USA,located in,59699
island fox,Channel Islands,lives in,59699
serologic survey,island fox,conducted on,59699
island fox,serologic survey,participated in,59699
194,island fox,number of,59699
97%,canine adenovirus,antibody prevalence,59699
59%,canine parvovirus,antibody prevalence,59699
low,canine herpesvirus,antibody prevalence,59699
low,canine coronavirus,antibody prevalence,59699
low,Leptospira,antibody prevalence,59699
low,Toxoplasma gondii,antibody prevalence,59699
not detected,canine distemper virus,antibody prevalence,59699
new pestivirus,Pyrenean Chamois,infects,59904
Pyrenean Chamois,new pestivirus,hosts,59904
new pestivirus,unreported disease,causes,59904
unreported disease,2001-02,occurred in,59904
unreported disease,northeastern Spain,found in,59904
new pestivirus,border disease virus cluster,similar to,59904
border disease virus,southern chamois,infects,59578
southern chamois,border disease virus,hosts,59578
border disease virus,depression,causes,59578
border disease virus,weakness,causes,59578
border disease virus,movement difficulties,causes,59578
border disease virus,alopecia,causes,59578
border disease virus,skin hyperpigmentation,causes,59578
border disease virus,cachexia,causes,59578
border disease virus,abscesses,causes,59578
border disease virus,pneumonia,causes,59578
border disease virus,extensive subcutaneous infection,causes,59578
border disease virus,orchitis,causes,59578
border disease virus,edema,causes,59578
border disease virus,gliosis,causes,59578
border disease virus,espongiosis,causes,59578
border disease virus,cariorrexis,causes,59578
border disease virus,neuronal multifocal necrosis,causes,59578
border disease virus,perivascular mononuclear inflammatory infiltrate,causes,59578
border disease virus,follicular atrophy,causes,59578
border disease virus,epidermal hyperplasia,causes,59578
border disease virus,orthokeratotic hyperkeratosis,causes,59578
border disease virus,follicular hyperkeratosis,causes,59578
border disease virus,hypermelanosis,causes,59578
border disease virus,haemosiderin deposits,causes,59578
border disease virus,PCR,detected by,59578
border disease virus,RT-PCR,detected by,59578
border disease virus,monoclonal antibodies,detected by,59578
northern elephant seal,nephrolithiasis,has,59831
California sea lion,nephrolithiasis,has,59831
nephroliths,northern elephant seal,found in,59831
nephroliths,California sea lion,found in,59831
nephroliths,uric acid,composed of,59831
nephroliths,ammonium urate,composed of,59831
northern elephant seal,pyelonephritis,has,59831
California sea lion,pyelonephritis,has,59831
California sea lion,hydronephrosis,has,59831
white-tailed deer,Amblyomma americanum,hosts,59842
white-tailed deer,Ixodes scapularis,hosts,59842
Amblyomma americanum,Ehrlichia chaffeensis,infects,59842
Ixodes scapularis,human granulocytic ehrlichiosis (HGE) agent,infects,59842
Ehrlichia chaffeensis,white-tailed deer,infects,59842
white-tailed deer,Ehrlichia chaffeensis,hosts,59842
serologic,Ehrlichia chaffeensis,detected,59842
molecular,Ehrlichia chaffeensis,detected,59842
culture,Ehrlichia chaffeensis,detected,59842
serologic,Ehrlichia equi,detected,59842
molecular,Ehrlichia equi,detected,59842
culture,Ehrlichia equi,detected,59842
human granulocytic ehrlichiosis (HGE) agent,southeastern United States,found in,59842
white-tailed deer,inguinal lymph node,has,59842
Wildlife,Tanzania,lives in,59912
Buffalo,Pathogenic agents,hosts,59912
Wildebeest,Pathogenic agents,hosts,59912
Topi,Pathogenic agents,hosts,59912
Zebra,African horse sickness antibodies,hosts,59912
Wildlife,Pathogenic agents,reservoirs of infection,59912
Staphylococcus aureus,Ursus americanus,infects,59921
Ursus americanus,Staphylococcus aureus,hosts,59921
bacterial valvular endocarditis,Staphylococcus aureus,caused by,59921
Labrador,Canada,located in,59921
died,fall 1991,occurred in,59921
bacterial valvular endocarditis,widespread dissemination,causes,59921
widespread dissemination,other organs,affects,59921
bacterial valvular endocarditis,first reported case,is,59921
Parainfluenza 3 virus,Bison bison,infects,58455
Bison bison,Parainfluenza 3 virus,hosts,58455
Parainfluenza 3 virus,Delta bison herd,infects,58455
Delta bison herd,Parainfluenza 3 virus,hosts,58455
Delta bison herd,"Delta Junction, Alaska (USA)",lives in,58455
Serum antibody prevalence,0%,measured at,58455
Serum antibody prevalence,100%,measured at,58455
Domestic cattle,Parainfluenza 3 virus,source for,58455
Parainfluenza 3 virus,clinical disease,does not cause,58455
Parainfluenza 3 virus,productivity,does not cause,58455
Puma concolor,feline immunodeficiency virus,hosts,59903
Puma concolor,feline parvovirus,hosts,59903
Puma concolor,feline coronavirus,hosts,59903
Puma concolor,feline calicivirus,hosts,59903
Puma concolor,canine distemper virus,hosts,59903
Puma concolor,feline herpesvirus,hosts,59903
Puma concolor,Yersinia pestis,hosts,59903
feline immunodeficiency virus,Puma concolor,infects,59903
feline parvovirus,Puma concolor,infects,59903
feline coronavirus,Puma concolor,infects,59903
feline calicivirus,Puma concolor,infects,59903
canine distemper virus,Puma concolor,infects,59903
feline herpesvirus,Puma concolor,infects,59903
Yersinia pestis,Puma concolor,infects,59903
feline immunodeficiency virus,Puma concolor,is endemic in,59903
feline parvovirus,Puma concolor,is endemic in,59903
15 years,serological data,duration of,59903
1990-2004,serological data,timeframe of,59903
207 cougars,serological data,sample size of,59903
age,exposure risk,affects,59903
family membership,transmission within family groups,affects,59903
host sex,exposure risk,affects,59903
Rocky Mountains,Puma concolor,location of,59903
Hawaiian monk seal,phocine herpesvirus-1,infects,59836
Hawaiian monk seal,phocine herpesvirus-1,hosts,59836
Hawaiian monk seal,Leptospira bratislava,infects,59836
Hawaiian monk seal,Leptospira bratislava,hosts,59836
Hawaiian monk seal,Leptospira hardjo,infects,59836
Hawaiian monk seal,Leptospira hardjo,hosts,59836
Hawaiian monk seal,Leptospira icterohaemorrhagiae,infects,59836
Hawaiian monk seal,Leptospira icterohaemorrhagiae,hosts,59836
Hawaiian monk seal,Leptospira pomona,infects,59836
Hawaiian monk seal,Leptospira pomona,hosts,59836
Hawaiian monk seal,Brucella spp.,infects,59836
Hawaiian monk seal,Brucella spp.,hosts,59836
