source_text,target_text,relation_type,doc_id
Leptospira,raccoons,infects,59826
raccoons,Leptospira,hosts,59826
Leptospira,skunks,infects,59826
skunks,Leptospira,hosts,59826
Leptospira,gray squirrels,infects,59826
gray squirrels,Leptospira,hosts,59826
Leptospira,opossums,infects,59826
opossums,Leptospira,hosts,59826
Leptospira,domestic dogs,infects,59826
domestic dogs,Leptospira,hosts,59826
Leptospira,Connecticut,found in,59826
Leptospirosis,zoonotic disease,causes,59826
Leptospira serovars,serovars pomona,includes,59826
Leptospira serovars,serovars icterohemorrhagiae,includes,59826
Leptospira serovars,serovars canicola,includes,59826
Leptospira serovars,serovars hardjo,includes,59826
Leptospira serovars,serovars grippotyphosa,includes,59826
Leptospira,leptospirosis,causes,59826
Leptospira,peridomestic wildlife,infects,59826
peridomestic wildlife,Leptospira,hosts,59826
Leptospira,northeastern United States,infects,59826
northeastern United States,Leptospira,hosts,59826
Leptospira,Procyon lotor,infects,59826
Procyon lotor,Leptospira,hosts,59826
Leptospira,Mephitis mephitis,infects,59826
Mephitis mephitis,Leptospira,hosts,59826
Leptospira,Didelphis virginiana,infects,59826
Didelphis virginiana,Leptospira,hosts,59826
Leptospira,Sciurus carolinensis,infects,59826
Sciurus carolinensis,Leptospira,hosts,59826
Leptospira,domestic dogs,infects,59826
domestic dogs,Leptospira,hosts,59826
Leptospira,Connecticut,infects,59826
Connecticut,Leptospira,hosts,59826
Leptospira,northeastern United States,infects,59826
northeastern United States,Leptospira,hosts,59826
Leptospira,Procyon lotor,infects,59826
Procyon lotor,Leptospira,hosts,59826
Leptospira,Mephitis mephitis,infects,59826
Mephitis mephitis,Leptospira,hosts,59826
Leptospira,Didelphis virginiana,infects,59826
Didelphis virginiana,Leptospira,hosts,59826
Leptospira,Sciurus carolinensis,infects,59826
Sciurus carolinensis,Leptospira,hosts,59826
Leptospira,domestic dogs,infects,59826
domestic dogs,Leptospira,hosts,59826
Leptospira,Connecticut,infects,59826
Connecticut,Leptospira,hosts,59826
Leptospira,northeastern United States,infects,59826
northeastern United States,Leptospira,hosts,59826
Leptospira,Procyon lotor,infects,59826
Procyon lotor,Leptospira,hosts,59826
Leptospira,Mephitis mephitis,infects,59826
Mephitis mephitis,Leptospira,hosts,59826
Leptospira,Didelphis virginiana,infects,59826
Didelphis virginiana,Leptospira,hosts,59826
rabies virus,Canis mesomelas,infects,58605
Canis mesomelas,rabies virus,hosts,58605
canine parvovirus (CPV-2),Canis mesomelas,infects,58605
Canis mesomelas,canine parvovirus (CPV-2),hosts,58605
canine distemper virus (CDV),Canis mesomelas,infects,58605
Canis mesomelas,canine distemper virus (CDV),hosts,58605
Ehrlichia canis,Canis mesomelas,infects,58605
Canis mesomelas,Ehrlichia canis,hosts,58605
canine parvovirus (CPV-2),C. aureus,infects,58605
C. aureus,canine parvovirus (CPV-2),hosts,58605
canine parvovirus (CPV-2),C. adustus,infects,58605
C. adustus,canine parvovirus (CPV-2),hosts,58605
canine distemper virus (CDV),C. adustus,infects,58605
C. adustus,canine distemper virus (CDV),hosts,58605
Serum samples,rabies virus,detected by,58605
Serum samples,canine parvovirus (CPV-2),detected by,58605
