source_text,target_text,relation_type,doc_id
Leptospira,domestic dogs,infects,59826
domestic dogs,Leptospira,hosts,59826
Connecticut,peridomestic wildlife,location of,59826
peridomestic wildlife,Connecticut,lives in,59826
raccoons,Leptospira,hosts,59826
Leptospira,raccoons,infects,59826
skunks,Leptospira,hosts,59826
Leptospira,skunks,infects,59826
gray squirrels,Leptospira,hosts,59826
Leptospira,gray squirrels,infects,59826
opossums,Leptospira,hosts,59826
Leptospira,opossums,infects,59826
domestic dogs,leptospirosis,suffered from,59826
leptospirosis,zoonotic disease,is a,59826
peridomestic wildlife,leptospirosis,potential source of,59826
jackals,rabies virus,hosts,58605
rabies virus,jackals,infects,58605
jackals,canine parvovirus (CPV-2),hosts,58605
canine parvovirus (CPV-2),jackals,infects,58605
jackals,canine distemper virus (CDV),hosts,58605
canine distemper virus (CDV),jackals,infects,58605
jackals,Ehrlichia canis,hosts,58605
Ehrlichia canis,jackals,infects,58605
Kenya,jackals,location of,58605
black-backed jackals,jackals,is a,58605
black-backed jackals,Canis mesomelas,has species name,58605
golden jackals,jackals,is a,58605
golden jackals,C. aureus,has species name,58605
side-striped jackals,jackals,is a,58605
side-striped jackals,C. adustus,has species name,58605
African ecosystems,jackals,has species,58605
rare and endangered canids,canine diseases,may be exposed to,58605
Herpesvirus,Pacific harbor seals,infects,59830
Pacific harbor seals,Herpesvirus,hosts,59830
Pacific harbor seals,Coastal California,lives in,59830
Pacific harbor seals,Central California,lives in,59830
Pacific harbor seals,Northern California,lives in,59830
Pacific harbor seals,California,lives in,59830
Pacific harbor seals,USA,lives in,59830
Adrenal necrosis,Pacific harbor seals,affects,59830
Sepsis,Pacific harbor seals,affects,59830
Bacterial omphalophlebitis,Pacific harbor seals,affects,59830
Pneumonia,Pacific harbor seals,affects,59830
Gastroenteritis,Pacific harbor seals,affects,59830
Thymic atrophy,Pacific harbor seals,affects,59830
Hepatic necrosis,Pacific harbor seals,affects,59830
Lymphopenia,Pacific harbor seals,affects,59830
Herpesvirus,Adrenal necrosis,causes,59830
Herpesvirus,Sepsis,causes,59830
Herpesvirus,Bacterial omphalophlebitis,causes,59830
Herpesvirus,Pneumonia,causes,59830
Herpesvirus,Gastroenteritis,causes,59830
Herpesvirus,Thymic atrophy,causes,59830
Herpesvirus,Hepatic necrosis,causes,59830
Herpesvirus,Lymphopenia,causes,59830
Phocine adrenal cell lines,Herpesvirus,hosts,59830
Phocine kidney cell lines,Herpesvirus,hosts,59830
Adrenal tissue homogenate,Herpesvirus,contains,59830
Cytopathic effect,Herpesvirus,caused by,59830
Intranuclear inclusion bodies,Herpesvirus,associated with,59830
Viral particles,Herpesvirus,part of,59830
island fox,Urocyon littoralis,common name of,59699
Urocyon littoralis,island fox,latin name of,59699
Urocyon littoralis,Channel Islands,lives in,59699
Channel Islands,California,located in,59699
California,USA,located in,59699
canine adenovirus,Urocyon littoralis,infects,59699
Urocyon littoralis,canine adenovirus,hosts,59699
canine parvovirus,Urocyon littoralis,infects,59699
Urocyon littoralis,canine parvovirus,hosts,59699
canine herpesvirus,Urocyon littoralis,infects,59699
Urocyon littoralis,canine herpesvirus,hosts,59699
canine coronavirus,Urocyon littoralis,infects,59699
Urocyon littoralis,canine coronavirus,hosts,59699
leptospirosis,Urocyon littoralis,infects,59699
Urocyon littoralis,leptospirosis,hosts,59699
toxoplasmosis,Urocyon littoralis,infects,59699
Urocyon littoralis,toxoplasmosis,hosts,59699
canine distemper virus,Urocyon littoralis,infects,59699
Urocyon littoralis,canine distemper virus,hosts,59699
serologic survey,antibody prevalence,detected,59699
antibody prevalence,97%,measured as,59699
antibody prevalence,59%,measured as,59699
Pestivirus,Pyrenean Chamois,infects,59904
Pyrenean Chamois,Pestivirus,hosts,59904
Pestivirus,Disease,causes,59904
Disease,Mortality,associated with,59904
Pyrenean Chamois,Mortality,suffered from,59904
Border disease virus cluster,Pestivirus,classified,59904
Pestivirus,noncoding regions,detected in,59904
border disease virus,Rupicapra pyrenaica,infects,59578
Rupicapra pyrenaica,border disease virus,hosts,59578
Rupicapra pyrenaica,southern chamois,common name of,59578
southern chamois,Rupicapra pyrenaica,latin name of,59578
border disease virus,disease,causes,59578
disease,Rupicapra pyrenaica,affects,59578
Rupicapra pyrenaica,central Pyrenees,lives in,59578
central Pyrenees,NE Spain,located in,59578
disease,2001,occurred in,59578
disease,2002,occurred in,59578
disease,February,peaked between,59578
disease,June,peaked between,59578
Rupicapra pyrenaica,depression,suffered from,59578
Rupicapra pyrenaica,weakness,suffered from,59578
Rupicapra pyrenaica,movement difficulties,suffered from,59578
Rupicapra pyrenaica,abnormal behaviour,suffered from,59578
Rupicapra pyrenaica,alopecia,suffered from,59578
Rupicapra pyrenaica,skin hyperpigmentation,suffered from,59578
Rupicapra pyrenaica,cachexia,suffered from,59578
Rupicapra pyrenaica,abscesses,suffered from,59578
Rupicapra pyrenaica,pneumonia,suffered from,59578
Rupicapra pyrenaica,subcutaneous infection,suffered from,59578
Rupicapra pyrenaica,orchitis,suffered from,59578
Rupicapra pyrenaica,edema,suffered from,59578
