entity_id,entity,type,doc_id
1,leptospirosis,Disease,59826
2,Connecticut,Location,59826
3,peridomestic wildlife,Host,59826
4,domestic dogs,Host,59826
5,northeastern United States,Geographic location,59826
6,Leptospira,Pathogen,59826
7,serovars pomona,Pathogen,59826
8,serovars icterohemorrhagiae,Pathogen,59826
9,serovars canicola,Pathogen,59826
10,serovars hardjo,Pathogen,59826
11,serovars grippotyphosa,Pathogen,59826
12,raccoons,Host,59826
13,Procyon lotor,Host,59826
14,skunks,Host,59826
15,Mephitis mephitis,Host,59826
16,opossums,Host,59826
17,Didelphis virginiana,Host,59826
18,gray squirrels,Host,59826
19,Sciurus carolinensis,Host,59826
20,February 27,Date,59826
21,September 17,Date,59826
22,2001,Year,59826
23,36%,Proportion,59826
24,13%,Proportion,59826
25,high antibody titers,Laboratory result,59826
26,epizootiology,Subfield of Epidemiology,59826
27,epidemiology,Field of study,59826
28,zoonotic disease,Disease,59826
29,Serologic survey,Study design,58605
30,canine pathogens,Pathogen,58605
31,jackals,Host,58605
32,Canis mesomelas,Host,58605
33,Kenya,Location,58605
34,Serum samples,Biological sample,58605
35,rabies virus,Pathogen,58605
36,canine parvovirus (CPV-2),Pathogen,58605
37,canine distemper virus (CDV),Pathogen,58605
38,Ehrlichia canis,Pathogen,58605
39,April 1987,Date,58605
40,January 1988,Date,58605
41,black-backed jackals,Host,58605
42,golden jackals,Host,58605
43,side-striped jackals,Host,58605
44,C. aureus,Host,58605
45,C. adustus,Host,58605
46,African ecosystems,Environment,58605
47,rare and endangered canids,Host,58605
48,canine diseases,Disease,58605
49,antibodies,Immune response component,58605
50,prevalence,Proportion,58605
51,34%,Proportion,58605
52,14,Number,58605
53,55,Number of individuals,58605
54,9%,Proportion,58605
55,4,Number,58605
56,3%,Proportion,58605
57,1,Undefined,58605
58,2%,Proportion,58605
59,9,Number of individuals,58605
60,16,Number of individuals,58605
61,5,Number of individuals infected,58605
62,26,Number of individuals,58605
63,Herpesvirus,Pathogen,59830
64,Pacific harbor seals,Host,59830
65,Phoca vitulina richardsi,Host,59830
66,Adrenal necrosis,Disease,59830
67,California,Location,59830
68,USA,Location,59830
69,Coastal California,Geographic location,59830
70,Central California,Geographic location,59830
71,Northern California,Geographic location,59830
72,Sepsis,Disease,59830
73,Bacterial omphalophlebitis,Disease,59830
74,Pneumonia,Disease,59830
75,Gastroenteritis,Disease,59830
76,Thymic atrophy,Disease,59830
77,Hepatic necrosis,Disease,59830
78,Lymphopenia,Disease,59830
79,Phocine adrenal cell lines,Cell culture,59830
80,Phocine kidney cell lines,Cell culture,59830
81,Adrenal tissue homogenate,Biological sample,59830
82,Cytopathic effect,Symptom,59830
83,Viral particles,Pathogen,59830
84,Intranuclear inclusion bodies,Pathological finding,59830
85,Male,Demographic,59830
86,Female,Demographic,59830
87,Rehabilitation,Healthcare process,59830
88,Birth weight,Risk factor,59830
89,island fox,Host,59699
90,Urocyon littoralis,Host,59699
91,California,Location,59699
92,Channel Islands,Geographic location,59699
93,USA,Location,59699
94,canine adenovirus,Pathogen,59699
95,canine parvovirus,Pathogen,59699
96,canine herpesvirus,Pathogen,59699
97,canine coronavirus,Pathogen,59699
98,leptospirosis,Disease,59699
99,toxoplasmosis,Disease,59699
100,canine distemper virus,Pathogen,59699
101,serologic survey,Study design,59699
102,antibody prevalence,Proportion,59699
103,97%,Proportion,59699
104,59%,Proportion of individuals that died,59699
105,194,Number of individuals,59699
106,Pestivirus,Pathogen,59904
107,Pyrenean Chamois,Host,59904
108,Rupicapra pyrenaica pyrenaica,Host,59904
109,Spain,Location,59904
110,2001-02,Time period,59904
111,16,Number of individuals,59904
112,17,Number of individuals,59904
113,82.1% to 88.1%,Proportion,59904
114,Border disease virus cluster,Pathogen,59904
115,noncoding regions,Genomic feature,59904
116,Mortality,Measure,59904
117,Disease,Infectious disease,59904
118,16 of 17,Proportion,59904
119,border disease virus,Pathogen,59578
120,southern chamois,Host,59578
121,Rupicapra pyrenaica,Host,59578
122,central Pyrenees,Geographic location,59578
123,NE Spain,Location,59578
124,2001,Year,59578
125,2002,Year,59578
126,February,Month,59578
127,June,Month,59578
128,disease,Infectious disease,59578
129,depression,Disease,59578
130,weakness,Symptom,59578
131,movement difficulties,Symptom,59578
132,abnormal behaviour,Symptom,59578
133,absence of flight reaction,Symptom,59578
134,alopecia,Disease,59578
135,skin hyperpigmentation,Symptom,59578
136,cachexia,Disease,59578
137,abscesses,Symptom,59578
138,pneumonia,Disease,59578
139,subcutaneous infection,Disease,59578
140,orchitis,Disease,59578
141,edema,Symptom,59578
142,gliosis,Disease,59578
143,espongiosis,Disease,59578
144,cariorrexis,Disease,59578
145,neuronal multifocal necrosis,Disease,59578
146,perivascular mononuclear inflammatory infiltrate,Histopathological feature,59578
147,follicular atrophy,Disease,59578
148,epidermal hyperplasia,Disease,59578
149,orthokeratotic hyperkeratosis,Disease,59578
150,follicular hyperkeratosis,Disease,59578
151,hypermelanosis,Disease,59578
152,haemosiderin deposits,Pathological finding,59578
153,intraeritrocitic parasites,Pathogen,59578
154,pestivirus,Pathogen,59578
155,RT-PCR,Diagnostic test,59578
156,monoclonal antibodies,Therapeutic agent,59578
157,42%,Proportion of individuals that died,59578
158,20,Number of individuals,59578
159,Urate nephrolithiasis,Disease,59831
160,Northern elephant seal,Host,59831
161,Mirounga angustirostris,Host,59831
162,California sea lion,Host,59831
163,Zalophus californianus,Host,59831
164,Nephrolithiasis,Disease,59831
165,Nephroliths,Disease,59831
166,Renal pelvic dilation,Symptom,59831
167,Pyelonephritis,Disease,59831
168,Hydronephrosis,Disease,59831
169,Uric acid,Metabolite,59831
170,Ammonium urate,Chemical compound,59831
171,Metabolic derangements,Disease,59831
172,Morphologic differences,Characteristic,59831
173,Physiologic differences,Physiologic characteristic,59831
174,2004,Year,59831
175,2005,Year,59831
176,1-10 mm,Size range,59831
177,1-15 mm,Size range,59831
178,white-tailed deer,Host,59842
179,Odocoileus virginianus,Host,59842
180,Ehrlichia spp.,Pathogen,59842
181,Amblyomma americanum,Vector,59842
182,Ixodes scapularis,Vector,59842
183,Ehrlichia chaffeensis,Pathogen,59842
184,human granulocytic ehrlichiosis (HGE) agent,Pathogen,59842
185,Ehrlichia equi,Pathogen,59842
186,coastal Georgia,Geographic location,59842
187,serologic,Technique,59842
188,molecular,Technique,59842
189,culture,Technique,59842
190,indirect fluorescent antibody testing,Technique,59842
191,nested polymerase chain reaction,Technique,59842
192,16S rDNA fragments,Molecular marker,59842
193,inguenal lymph node,Anatomical structure,59842
194,neutrophil,Cell,59842
195,blood smears,Diagnostic sample,59842
196,Ehrlichia-type morula,Pathogen component,59842
197,southeastern United States,Region,59842
198,human ehrlichioses agents,Pathogen,59842
199,Antibodies,Immune response component,59912
200,pathogenic agents,Pathogen,59912
201,wild species,Host,59912
202,Tanzania,Location,59912
203,game areas,Habitat,59912
204,1987,Year,59912
205,1989,Year,59912
206,foot-and-mouth disease,Disease,59912
207,bovine herpes virus types 1 and 2,Pathogen,59912
208,lumpy skin disease,Disease,59912
209,bovine viral diarrhoea,Disease,59912
210,Akabane,Disease,59912
211,bovine ephemeral fever,Disease,59912
212,bluetongue,Disease,59912
213,enzootic bovine leucosis,Disease,59912
214,African horse sickness,Disease,59912
215,African swine fever,Disease,59912
216,Brucella abortus,Pathogen,59912
217,buffalo,Host,59912
218,Syncerus caffer,Host,59912
219,wildebeest,Host,59912
220,Connochaetes taurinus,Host,59912
221,topi,Host,59912
222,Damaliscus korrigum,Host,59912
223,Zebra,Host,59912
224,wart hog,Host,59912
225,aetiological agents,Pathogen,59912
226,Bacterial valvular endocarditis,Disease,59921
227,black bear,Host,59921
228,Ursus americanus,Host,59921
229,Labrador,Host,59921
230,Canada,Location,59921
231,coagulase-positive Staphylococcus aureus,Pathogen,59921
232,fall 1991,Time,59921
233,valvular endocarditis,Disease,59921
234,infection,Disease,59921
235,organs,Anatomical structure,59921
236,parainfluenza 3 virus,Pathogen,58455
237,bison,Host,58455
238,Bison bison,Host,58455
239,Delta bison,Host,58455
240,Delta Junction,Location,58455
241,Alaska,Location,58455
242,USA,Location,58455
243,Serum antibody prevalence,Proportion,58455
244,1977,Year,58455
245,1984,Year,58455
246,Domestic cattle,Host,58455
247,infection,Disease,58455
248,clinical disease,Disease,58455
249,decrease in productivity,Economic Impact,58455
250,Rocky Mountain cougars,Host,59903
251,Puma concolor,Host,59903
252,feline immunodeficiency virus,Pathogen,59903
253,FIV,Pathogen,59903
254,feline parvovirus,Pathogen,59903
255,FPV,Virus,59903
256,feline coronavirus,Pathogen,59903
257,FCoV,Pathogen,59903
258,feline calicivirus,Pathogen,59903
259,FCV,Virus,59903
260,canine distemper virus,Pathogen,59903
261,CDV,Disease,59903
262,feline herpesvirus,Pathogen,59903
263,FHV,Virus,59903
264,Yersinia pestis,Pathogen,59903
265,1990-2004,Time period,59903
266,15 years,Duration,59903
267,four populations,Host,59903
268,Rocky Mountains,Geographic location,59903
269,family membership,Demographic characteristic,59903
270,age,Demographic characteristic,59903
271,sex,Demographic characteristic,59903
272,location,Geographic location,59903
273,seroconversions,Immune response,59903
274,annual variation,Ecological pattern,59903
275,epidemic,Disease Outbreak,59903
276,endemic,Disease characteristic,59903
277,Hawaiian monk seal,Host,59836
278,Monachus schauinslandi,hosts,59836
279,Infectious disease,Disease,59836
280,Conservation efforts,Intervention,59836
