entity_id,entity,type,doc_id
1,Leptospirosis,Disease,59826
2,Connecticut,Location,59826
3,domestic dogs,Host,59826
4,northeastern United States,Geographic Region,59826
5,109,Undefined,59826
6,31,Number of individuals that died,59826
7,30,Number of individuals that died,59826
8,28,Number of individuals that died,59826
9,20,Number of individuals that died,59826
10,February 27,Date,59826
11,September 17,Date,59826
12,2001,Year,59826
13,5,Undefined,59826
14,serovars pomona,Pathogen Subtype,59826
15,serovars icterohemorrhagiae,Pathogen Subtype,59826
16,serovars canicola,Pathogen,59826
17,serovars hardjo,Pathogen Subtype,59826
18,serovars grippotyphosa,Pathogen subtype,59826
19,36%,Proportion,59826
20,13%,Proportion,59826
21,one,Duration,59826
22,Leptospira,Pathogen,59826
23,raccoons,Host,59826
24,Procyon lotor,Host,59826
25,skunks,Host,59826
26,Mephitis mephitis,Host,59826
27,opossums,Host,59826
28,Didelphis virginiana,Host,59826
29,gray squirrels,Host,59826
30,Sciurus carolinensis,Host,59826
31,dogs,Host,59826
32,humans,Host,59826
33,Serologic survey,Study Design,58605
34,canine pathogens,Pathogen,58605
35,free-ranging jackals,Host,58605
36,Kenya,Location,58605
37,rabies virus,Pathogen,58605
38,canine parvovirus (CPV-2),Pathogen,58605
39,canine distemper virus (CDV),Pathogen,58605
40,Ehrlichia canis,Pathogen,58605
41,black-backed jackals,Animal,58605
42,Canis mesomelas,Host,58605
43,golden jackals,Host,58605
44,C. aureus,Host,58605
45,side-striped jackals,Host,58605
46,C. adustus,Host,58605
47,April 1987,Time Period,58605
48,January 1988,Date,58605
49,34%,Prevalence,58605
50,14,Undefined,58605
51,55,Proportion of individuals that died,58605
52,9%,Prevalence,58605
53,4,Undefined,58605
54,3%,Prevalence,58605
55,1,Undefined,58605
56,28,Number of individuals that died,58605
57,2%,Prevalence,58605
58,36,Number of individuals that died,58605
59,3,Undefined,58605
60,African ecosystems,Ecological System,58605
61,rare and endangered canids,Host,58605
62,canine diseases,Disease,58605
63,serum samples,Biological sample,58605
64,circulating antibodies,Immunological marker,58605
65,Herpesvirus,Pathogen,59830
66,Pacific harbor seal,Host,59830
67,Phoca vitulina richardsi,Species,59830
68,coastal California,Geographic Location,59830
69,central and northern California,Geographic Location,59830
70,USA,Country,59830
71,adrenal necrosis,Disease,59830
72,sepsis,Disease,59830
73,bacterial omphalophlebitis,Disease,59830
74,pneumonia,Disease,59830
75,gastroenteritis,Disease,59830
76,thymic atrophy,Disease,59830
77,hepatic necrosis,Disease,59830
78,lymphopenia,Clinical finding,59830
79,adrenal tissue,Anatomical Structure,59830
80,kidney cell lines,Cell Culture,59830
81,cytopathic effect,Biological Phenomenon,59830
82,inclusion bodies,Microscopic Feature,59830
83,DNA,Biomolecule,59830
84,electron microscopy,Laboratory Technique,59830
85,viral particles,Pathogen,59830
86,100 nm,Length,59830
87,160 nm,Size,59830
88,0 to 63 days,Duration,59830
89,below average birth weight,Birth outcome,59830
90,male,Demographic,59830
91,female,Demographic,59830
92,42,Number,59830
93,95,Proportion of individuals that died,59830
94,32,Proportion of individuals that died,59830
95,67,Undefined,59830
96,45%,Proportion,59830
97,74,Number of individuals that died,59830
98,162,Undefined,59830
99,50,Number of individuals infected,59830
100,44%,Proportion,59830
101,47%,Proportion,59830
102,island fox,Host,59699
103,Urocyon littoralis,Host,59699
104,Channel Islands,Geographic Location,59699
105,California,Geographic Location,59699
106,"California, USA",Geographic Location,59699
107,canine adenovirus,Pathogen,59699
108,canine parvovirus,Pathogen,59699
109,canine herpesvirus,Pathogen,59699
110,canine coronavirus,Pathogen,59699
111,leptospirosis,Disease,59699
112,toxoplasmosis,Disease,59699
113,canine distemper virus,Pathogen,59699
114,194,Number of individuals infected,59699
115,97%,Antibody prevalence,59699
116,59%,Antibody prevalence,59699
117,low,Antibody prevalence,59699
118,pestivirus,Pathogen,59904
119,Pyrenean Chamois,Host,59904
120,Rupicapra pyrenaica pyrenaica,Host,59904
121,Spain,Location,59904
122,northeastern Spain,Geographic Location,59904
123,2001-02,Time period,59904
124,border disease virus cluster,Outbreak,59904
125,82.1%,Proportion,59904
126,88.1%,Proportion,59904
127,noncoding regions,Genetic Feature,59904
128,disease,Disease,59904
129,mortality,Symptom,59904
130,Severe outbreak of disease,Epidemic,59578
131,southern chamois,Host,59578
132,Rupicapra pyrenaica,Host,59578
133,border disease virus,Pathogen,59578
134,border disease,Disease,59578
135,central Pyrenees,Geographic Location,59578
136,NE Spain,Geographic Location,59578
137,2001,Year,59578
138,2002,Year,59578
139,February,Time,59578
140,June,Month,59578
141,42%,Proportion,59578
142,20,Number of individuals that died,59578
143,depression,Mental Health Condition,59578
144,weakness,Symptom,59578
145,movement difficulties,Symptom,59578
146,absence of flight reaction,Behavioral Observation,59578
147,alopecia,Disease,59578
148,skin hyperpigmentation,Clinical Manifestation,59578
149,cachexia,Symptom,59578
150,abscesses,Symptom,59578
151,pneumonia,Disease,59578
152,subcutaneous infection,Disease,59578
153,orchitis,Disease,59578
154,edema,Symptom,59578
155,gliosis,Cellular response,59578
156,espongiosis,Disease,59578
157,cariorrexis,Disease,59578
158,neuronal multifocal necrosis,Disease,59578
159,perivascular mononuclear inflammatory infiltrate,Histopathological finding,59578
160,follicular atrophy,Pathological Condition,59578
161,epidermal hyperplasia,Pathological Feature,59578
162,orthokeratotic hyperkeratosis,Skin condition,59578
163,follicular hyperkeratosis,Skin condition,59578
164,hypermelanosis,Disease,59578
165,haemosiderin deposits,Biomarker,59578
166,intraeritrocitic parasites,Pathogen,59578
167,pestivirus,Pathogen,59578
168,RT-PCR,Diagnostic Technique,59578
169,monoclonal antibodies,Therapeutic,59578
170,most animals,Host,59578
171,population,Host population,59578
172,observed in,Location,59578
173,Urate nephrolithiasis,Disease,59831
174,northern elephant seal,Host,59831
175,Mirounga angustirostris,Host,59831
176,California sea lion,Host,59831
177,Zalophus californianus,Species,59831
178,nephrolithiasis,Disease,59831
179,marine mammals,Host,59831
180,2004,Year,59831
181,2005,Year,59831
182,necropsy examination,Diagnostic procedure,59831
183,kidneys,Organ,59831
184,1-10 mm,Size,59831
185,1-15 mm,Size,59831
186,renal pelvic dilation,Anatomical Feature,59831
187,pyelonephritis,Disease,59831
188,hydronephrosis,Disease,59831
189,uric acid,Biomolecule,59831
190,ammonium urate,Biomolecule,59831
191,metabolic derangements,Clinical Manifestation,59831
192,white-tailed deer,Host,59842
193,Odocoileus virginianus,Host,59842
194,Ehrlichia spp.,Pathogen,59842
195,Amblyomma americanum,Tick,59842
196,Ixodes scapularis,Vector,59842
197,Ehrlichia chaffeensis,Pathogen,59842
198,human granulocytic ehrlichiosis (HGE),Disease,59842
199,HGE agent,Pathogen,59842
200,Ehrlichia equi,Pathogen,59842
201,coastal Georgia,Geographic Location,59842
202,inguinal lymph node,Anatomical Structure,59842
203,neutrophil,Immune cell,59842
204,blood smears,Diagnostic tool,59842
205,111,Undefined,59842
206,"1,024",Number,59842
207,16S rDNA,Genetic Marker,59842
208,5,Undefined,59842
209,1/5,Proportion,59842
210,3/5,Proportion,59842
211,Antibodies,Immune Response Component,59912
212,foot-and-mouth disease,Disease,59912
213,bovine herpes virus types 1 and 2,Pathogen,59912
214,lumpy skin disease,Disease,59912
215,bovine viral diarrhoea,Disease,59912
216,Akabane,Disease,59912
217,bovine ephemeral fever,Disease,59912
218,bluetongue,Disease,59912
219,enzootic bovine leucosis,Disease,59912
220,African horse sickness,Disease,59912
221,African swine fever,Disease,59912
222,Brucella abortus,Pathogen,59912
223,buffalo,Host,59912
224,Syncerus caffer,Host,59912
225,wildebeest,Host,59912
226,Connochaetes taurinus,Host,59912
227,topi,Common name,59912
228,Damaliscus korrigum,Host,59912
229,Zebra,Animal,59912
230,wart hog,Host,59912
231,Tanzania,Country,59912
232,sera,Biological sample,59912
233,game areas,Animal habitat,59912
234,1987,Year,59912
235,1989,Year,59912
236,8,Undefined,59912
237,535,Proportion of individuals that died,59912
238,majority,Proportion,59912
239,fewer,Quantity,59912
240,reservoirs of infection,Biological reservoir,59912
241,Bacterial valvular endocarditis,Disease,59921
242,black bear,Host,59921
243,Ursus americanus,Host,59921
244,Labrador,Animal breed,59921
245,Canada,Country,59921
246,fall 1991,Time period,59921
247,coagulase-positive Staphylococcus aureus,Pathogen,59921
248,valvular endocarditis,Disease,59921
249,other organs,Anatomical Structure,59921
250,radio-collared,Animal Tracking Device,59921
251,parainfluenza 3 virus,Virus,58455
252,Bison bison,Host,58455
253,Delta bison,Animal subspecies,58455
254,"Delta Junction, Alaska",Location,58455
255,Alaska,Geographic Location,58455
256,USA,Country,58455
257,domestic cattle,Host,58455
258,0%,Proportion,58455
259,100%,Proportion,58455
260,1977,Year,58455
261,1984,Year,58455
262,Serum antibody prevalence,Epidemiological measure,58455
263,free-ranging,Ecological Context,58455
264,infection,Disease,58455
265,clinical disease,Disease,58455
266,productivity,Ecological Factor,58455
267,Rocky Mountain cougars,Wildlife,59903
268,Puma concolor,Host,59903
269,feline immunodeficiency virus,Pathogen,59903
270,FIV,Pathogen,59903
271,feline parvovirus,Pathogen,59903
272,FPV,Pathogen,59903
273,feline coronavirus,Pathogen,59903
274,FCoV,Pathogen,59903
275,feline calicivirus,Pathogen,59903
276,FCV,Pathogen,59903
277,canine distemper virus,Pathogen,59903
278,CDV,Disease,59903
279,feline herpesvirus,Pathogen,59903
280,FHV,Pathogen,59903
