entity_id,entity,type,doc_id
1,leptospirosis,Disease,59826
2,Connecticut,Location,59826
3,peridomestic wildlife,Host,59826
4,domestic dogs,Host,59826
5,northeastern United States,Geographical region,59826
6,Leptospira,Pathogen,59826
7,Leptospira serovars,Pathogen,59826
8,serovars pomona,Pathogen,59826
9,serovars icterohemorrhagiae,Pathogen,59826
10,serovars canicola,Pathogen,59826
11,serovars hardjo,Pathogen,59826
12,serovars grippotyphosa,Pathogen,59826
13,small wild mammals,Host,59826
14,raccoons,Host,59826
15,Procyon lotor,Host,59826
16,skunks,Host,59826
17,Mephitis mephitis,Host,59826
18,opossums,Host,59826
19,Didelphis virginiana,Host,59826
20,gray squirrels,Host,59826
21,Sciurus carolinensis,Host,59826
22,serologic evidence,Diagnostic method,59826
23,exposure,Risk factor,59826
24,serosurvey,Study,59826
25,antibody titers,Immunological measure,59826
26,zoonotic disease,Disease,59826
27,February 27,Date,59826
28,September 17,Date,59826
29,2001,Unknown,59826
30,36%,Proportion of individuals that died,59826
31,13%,Proportion of individuals that died,59826
32,31,Unknown,59826
33,30,Unknown,59826
34,28,Unknown,59826
35,20,Unknown,59826
36,109,Unknown,59826
37,1,Undefined,59826
38,Serologic survey,Study type,58605
39,canine pathogens,Pathogen,58605
40,free-ranging jackals,Host,58605
41,Kenya,Location,58605
42,Serum samples,Specimen,58605
43,rabies virus,Pathogen,58605
44,canine parvovirus (CPV-2),Pathogen,58605
45,canine distemper virus (CDV),Pathogen,58605
46,Ehrlichia canis,Pathogen,58605
47,black-backed jackals,Species,58605
48,Canis mesomelas,hosts,58605
49,golden jackals,Host,58605
50,C. aureus,Host,58605
51,side-striped jackals,Species,58605
52,C. adustus,hosts,58605
53,April 1987,Date,58605
54,January 1988,Time,58605
55,antibodies,Immune response,58605
56,prevalence,Proportion,58605
57,34%,Proportion of individuals that died,58605
58,14,Unknown,58605
59,55,Number of individuals that died,58605
60,9%,Proportion of individuals that died,58605
61,4,Undefined,58605
62,3%,Proportion of individuals that died,58605
63,1,Undefined,58605
64,2%,Proportion of individuals that died,58605
65,36,Unknown,58605
66,9,Undefined,58605
67,16,Undefined,58605
68,5,Number of individuals that died,58605
69,26,Number of individuals that died,58605
70,3,Undefined,58605
71,CPV-2,Pathogen,58605
72,CDV,Disease,58605
73,wild carnivore,Host,58605
74,African ecosystems,Ecosystem,58605
75,canids,Host,58605
76,canine diseases,Disease,58605
77,Herpesvirus,Pathogen,59830
78,Pacific harbor seals,Host,59830
79,Phoca vitulina richardsi,Host,59830
80,adrenal necrosis,Disease,59830
81,adrenal cells,Cell type,59830
82,DNA,Biological molecule,59830
83,sepsis,Disease,59830
84,bacterial omphalophlebitis,Disease,59830
85,pneumonia,Disease,59830
86,gastroenteritis,Disease,59830
87,thymic atrophy,Disease,59830
88,hepatic necrosis,Disease,59830
89,lymphopenia,Symptom,59830
90,viral particles,Pathogen,59830
91,phocine adrenal and kidney cell lines,Cell lines,59830
92,adrenal tissue homogenate,Biological sample,59830
93,cytopathic effect,Symptom,59830
94,male seals,Host,59830
95,female seals,Host,59830
96,birth weight,Measurement,59830
97,species,Taxonomic rank,59830
98,central and northern California,Geographical location,59830
99,USA,Country,59830
100,0 to 63 days,Duration,59830
101,45%,Proportion of individuals that died,59830
102,74 of 162,Number of individuals that died,59830
103,42 of 95,Proportion of individuals that died,59830
104,32 of 67,Number of individuals that died,59830
105,100 nm,Measurement,59830
106,160 nm,Measurement,59830
107,5 days,Duration,59830
108,island fox,Species,59699
109,Urocyon littoralis,Species,59699
110,Channel Islands,Location,59699
111,California,Location,59699
112,USA,Country,59699
113,serologic survey,Study type,59699
114,194,Number of individuals infected,59699
115,canine adenovirus,Pathogen,59699
116,canine parvovirus,Pathogen,59699
117,canine herpesvirus,Pathogen,59699
118,canine coronavirus,Pathogen,59699
119,leptospirosis,Disease,59699
120,toxoplasmosis,Disease,59699
121,canine distemper virus,Pathogen,59699
122,threatened species,Conservation status,59699
123,97%,Proportion of individuals that died,59699
124,59%,Proportion of individuals that died,59699
125,low,Prevalence,59699
126,Pestivirus,Pathogen,59904
127,Pyrenean Chamois,Host,59904
128,Rupicapra pyrenaica pyrenaica,Species,59904
129,Spain,Country,59904
130,2001-02,Year,59904
131,noncoding regions,Genetic Element,59904
132,border disease virus cluster,Pathogen,59904
133,82.1% to 88.1%,Proportion,59904
134,16 of 17,Number of individuals that died,59904
135,17,Undefined,59904
136,outbreak,Event,59904
137,disease,Disease,59904
138,increased mortality,Symptom,59904
139,southern chamois,Host,59578
140,Rupicapra pyrenaica,Species,59578
141,border disease virus,causes,59578
142,central Pyrenees,Geographical location,59578
143,NE Spain,Geographical location,59578
144,2001,Unknown,59578
145,2002,Year,59578
146,February,Month,59578
147,June,Unknown,59578
148,42%,Proportion of individuals that died,59578
149,20,Unknown,59578
150,depression,Mental health condition,59578
151,weakness,Symptom,59578
152,movement difficulties,Symptom,59578
153,abnormal behaviour,Symptom,59578
154,absence of flight reaction,Symptom,59578
155,alopecia,Symptom,59578
156,skin hyperpigmentation,Symptom,59578
157,cachexia,Symptom,59578
158,abscesses,Symptom,59578
159,pneumonia,Disease,59578
160,subcutaneous infection,Disease,59578
161,orchitis,Disease,59578
162,edema,Symptom,59578
163,gliosis,Pathological condition,59578
164,espongiosis,Disease,59578
165,cariorrexis,Dental condition,59578
166,neuronal multifocal necrosis,Pathological condition,59578
167,perivascular mononuclear inflammatory infiltrate,Pathological finding,59578
168,follicular atrophy,Symptom,59578
169,epidermal hyperplasia,Pathological condition,59578
170,orthokeratotic hyperkeratosis,Disease,59578
171,follicular hyperkeratosis,Disease,59578
172,hypermelanosis,Symptom,59578
173,haemosiderin deposits,Pathological finding,59578
174,intraeritrocitic parasites,Pathogen,59578
175,pestivirus,Pathogen,59578
176,monoclonal antibodies,Treatment,59578
177,RT-PCR,Diagnostic test,59578
178,PCR,Technique,59578
179,first time,Temporal descriptor,59578
180,high-mortality disease,Disease,59578
181,wild species,Animal source,59578
182,Urate nephrolithiasis,Disease,59831
183,northern elephant seal,Host,59831
184,Mirounga angustirostris,Common name,59831
185,California sea lion,Host,59831
186,Zalophus californianus,Host,59831
187,nephrolithiasis,Disease,59831
188,nephroliths,Pathology,59831
189,white-tailed deer,Host,59842
190,Odocoileus virginianus,Host,59842
191,Ehrlichia spp.,Pathogen,59842
192,Ehrlichia chaffeensis,Pathogen,59842
193,human granulocytic ehrlichiosis (HGE) agent,Pathogen,59842
194,Amblyomma americanum,Vector,59842
195,Ixodes scapularis,Vector,59842
196,coastal Georgia,Geographical location,59842
197,serologic,Technique,59842
198,molecular,Technique,59842
199,culture,Technique,59842
200,indirect fluorescent antibody testing,Technique,59842
201,nested polymerase chain reaction,Technique,59842
202,16S rDNA fragments,Genetic material,59842
203,Ehrlichia equi,Pathogen,59842
204,Ehrlichia-type morula,Pathogen feature,59842
205,neutrophil,Cell type,59842
206,blood smears,Diagnostic tool,59842
207,ingual lymph node,Anatomical structure,59842
208,geometric mean titer,Measurement,59842
209,111,Unknown,59842
210,"1,024",Number,59842
211,1/5,Proportion,59842
212,3/5,Proportion of individuals that died,59842
213,5/5,Proportion,59842
214,single deer,Host,59842
215,deer population,Host,59842
216,human ehrlichioses agents,Pathogen,59842
217,Antibodies,Immune response,59912
218,pathogenic agents,Pathogen,59912
219,wild species,Host,59912
220,Tanzania,Location,59912
221,535,Number of individuals that died,59912
222,eight species,Number of species,59912
223,game areas,Location,59912
224,1987,Year,59912
225,1989,Year,59912
226,foot-and-mouth disease,Disease,59912
227,bovine herpes virus types 1 and 2,Pathogen,59912
228,lumpy skin disease,Disease,59912
229,bovine viral diarrhoea,Disease,59912
230,Akabane,Disease,59912
231,bovine ephemeral fever,Disease,59912
232,bluetongue,Disease,59912
233,enzootic bovine leucosis,Disease,59912
234,African horse sickness,Disease,59912
235,African swine fever,Disease,59912
236,Brucella abortus,Pathogen,59912
237,Syncerus caffer,Host,59912
238,buffalo,Host,59912
239,Connochaetes taurinus,Host,59912
240,wildebeest,Host,59912
241,Damaliscus korrigum,Host,59912
242,topi,Common name,59912
243,Zebra,Host,59912
244,wart hog,Common name,59912
245,reservoirs of infection,Host,59912
246,susceptibility,Host characteristic,59912
247,aetiological agents,Pathogen,59912
248,isolation,Preventive measure,59912
249,role,Unknown,59912
250,bacterial valvular endocarditis,Disease,59921
251,black bear,Host,59921
252,Ursus americanus,Host,59921
253,Labrador,Breed,59921
254,Canada,Country,59921
255,fall 1991,Time period,59921
256,radio-collared,Method,59921
257,Staphylococcus aureus,Pathogen,59921
258,coagulase-positive,Bacterial characteristic,59921
259,widespread dissemination,Process,59921
260,other organs,Body part,59921
261,death,Symptom,59921
262,first reported case,Event,59921
263,parainfluenza 3 virus,Pathogen,58455
264,Bison bison,Host,58455
265,Delta bison,Host,58455
266,Delta Junction,Location,58455
267,Alaska,Location,58455
268,USA,Country,58455
269,serum antibody prevalence,Indicator,58455
270,0%,Proportion of individuals that died,58455
271,100%,Proportion of individuals that died,58455
272,1977,Year,58455
273,1984,Year,58455
274,domestic cattle,Host,58455
275,clinical disease,Disease,58455
276,productivity,Economic impact,58455
277,infection,Disease,58455
278,Feline immunodeficiency virus,Pathogen,59903
279,FIV,Pathogen,59903
280,Feline parvovirus,Pathogen,59903
281,FPV,Pathogen,59903
282,Feline coronavirus,Pathogen,59903
283,FCoV,Pathogen,59903
