source_text,target_text,relation_type,doc_id
raccoons,109,tested,59826
raccoons,36%,have,59826
pomona,Leptospira,is a serovar of,59826
canicola,Leptospira,is a serovar of,59826
grippotyphosa,Leptospira,is a serovar of,59826
Connecticut,northeastern United States,is located in,59826
skunks,peridomestic wildlife,are part of,59826
opossums,peridomestic wildlife,are part of,59826
gray squirrels,peridomestic wildlife,are part of,59826
rabies virus,rabies virus,no_relationship,58605
Herpesvirus,Herpesvirus,no_relationship,59830
island fox,Urocyon littoralis,is,59699
serologic survey,island fox,conducted on,59699
serologic survey,canine adenovirus,tested for,59699
serologic survey,canine parvovirus,tested for,59699
serologic survey,canine herpesvirus,tested for,59699
serologic survey,canine coronavirus,tested for,59699
serologic survey,leptospirosis,tested for,59699
serologic survey,toxoplasmosis,tested for,59699
serologic survey,canine distemper virus,tested for,59699
Channel Islands,California,located in,59699
California,USA,part of,59699
canine adenovirus,97%,antibody prevalence,59699
canine parvovirus,59%,antibody prevalence,59699
194,island fox,sample size of,59699
pestivirus,Pyrenean Chamois,infects,59904
Pyrenean Chamois,pestivirus,hosts,59904
study,Spain,was in,59904
study,northeastern Spain,was in,59904
study,2001-02,was during,59904
pestivirus,16 of 17 chamois,identified in,59904
study,noncoding regions,analyzed,59904
pestivirus,border disease virus cluster,assigned to,59904
pestivirus,82.1% to 88.1%,has similarity values,59904
pestivirus,disease,causes,59904
study,pestivirus,investigates association between,59904
study,disease,investigates association between,59904
border disease virus,southern chamois,infects,59578
southern chamois,border disease virus,hosts,59578
southern chamois,Rupicapra pyrenaica,common name of,59578
Rupicapra pyrenaica,southern chamois,latin name of,59578
central Pyrenees,NE Spain,located in,59578
2001 and 2002,central Pyrenees,time of,59578
20,southern chamois,number of,59578
depression,southern chamois,symptom of,59578
weakness,southern chamois,symptom of,59578
movement difficulties,southern chamois,symptom of,59578
Necropsy examination,California sea lion,was conducted on,59831
Necropsy examination,northern elephant seal,was conducted on,59831
Histopathology,Pyelonephritis,revealed,59831
Histopathology,Hydronephrosis,revealed,59831
Urate nephrolithiasis,California sea lion,affected,59831
Urate nephrolithiasis,northern elephant seal,affected,59831
Uric acid,Urate nephrolithiasis,was a component of,59831
Ammonium urate,Urate nephrolithiasis,was a component of,59831
1-10 mm,California sea lion,was the size of kidney stones in,59831
1-15 mm,northern elephant seal,was the size of kidney stones in,59831
Renal pelvic dilation,Kidneys,was observed in,59831
white-tailed deer,Ehrlichia spp.,infected with,59842
white-tailed deer,Ehrlichia chaffeensis,infected with,59842
white-tailed deer,human granulocytic ehrlichiosis (HGE) agent,infected with,59842
white-tailed deer,Ehrlichia-like organism,infected with,59842
deer population,coastal Georgia,in,59842
coinfection,deer population,found in,59842
Ehrlichia spp.,inguinal lymph node,isolated from,59842
neutrophil,Ehrlichia-type morula,showed,59842
geometric mean titer = 111,Ehrlichia chaffeensis,for,59842
"geometric mean titer = 1,024",human granulocytic ehrlichiosis (HGE) agent,for,59842
Tanzania,1987,is where the study was conducted,59912
Tanzania,1989,is where the study was conducted,59912
535 sera,eight species of wildlife,were collected from,59912
eight species of wildlife,buffalo,include,59912
eight species of wildlife,wildebeest,include,59912
eight species of wildlife,topi,include,59912
eight species of wildlife,zebra,include,59912
eight species of wildlife,wart hog,include,59912
535 sera,foot-and-mouth disease,were tested for,59912
535 sera,bovine herpes virus types 1 and 2,were tested for,59912
535 sera,lumpy skin disease,were tested for,59912
535 sera,bovine viral diarrhoea,were tested for,59912
535 sera,Akabane,were tested for,59912
535 sera,bovine ephemeral fever,were tested for,59912
535 sera,bluetongue,were tested for,59912
535 sera,enzootic bovine leucosis,were tested for,59912
535 sera,African horse sickness,were tested for,59912
535 sera,African swine fever viruses,were tested for,59912
535 sera,Brucella abortus,were tested for,59912
Coagulase-positive Staphylococcus aureus,Ursus americanus,infects,59921
Ursus americanus,Coagulase-positive Staphylococcus aureus,hosts,59921
Ursus americanus,Labrador,located in,59921
Ursus americanus,Fall 1991,died in,59921
Coagulase-positive Staphylococcus aureus,Valvular endocarditis,causes,59921
Valvular endocarditis,Bacterial valvular endocarditis,type of,59921
Infection,Organs,spread to,59921
Ursus americanus,Black bear,identified as,59921
Ursus americanus,Radio-collared,characterized by,59921
parainfluenza 3 virus,bison,studied in,58455
Delta Junction,Alaska,located in,58455
Alaska,USA,located in,58455
bison,100,number tested,58455
bison,serum antibody prevalence,serum antibody prevalence measured,58455
parainfluenza 3 virus,productivity,affected,58455
Rocky Mountain cougars,Rocky Mountain cougars,no_relationship,59903
Hawaiian monk seal,phocine herpesvirus-1,had antibodies against,59836
Hawaiian monk seal,Leptospira bratislava,had antibodies against,59836
Hawaiian monk seal,Leptospira hardjo,had antibodies against,59836
Hawaiian monk seal,Leptospira icterohaemorrhagiae,had antibodies against,59836
Hawaiian monk seal,Leptospira pomona,had antibodies against,59836
Hawaiian monk seal,Brucella spp.,had antibodies against,59836
Hawaiian monk seal,B. canis,had antibodies against,59836
Hawaiian monk seal,Chlamydophila abortus,had antibodies against,59836
Hawaiian monk seal,Toxoplasma gondii,had antibodies against,59836
Hawaiian monk seal,Dirofilaria immitis,had antibodies against,59836
Hawaiian monk seal,morbilliviruses,had antibodies against,59836
serum samples,Hawaiian monk seal,were collected from,59836
white-tailed deer,Odocoileus virginianus,is known as,59858
polymerase reaction,DGA,uses,59858
polymerase reaction,DCH,uses,59858
polymerase reaction,GA1UR,uses,59858
Ehrlichia sp.-like organism,DGA,detected using,59858
Ehrlichia sp.-like organism,DCH,detected using,59858
Ehrlichia chaffeensis,GE9f,detected using,59858
human granulocytic ehrlichiosis (HGE) agent,DGA,detected using,59858
control samples,polymerase reaction,used in,59858
Anthrax,Hippopotamus amphibius,infects,56169
Hippopotamus amphibius,Anthrax,hosts,56169
Anthrax,mortality,causes,56169
mortality,4000 deaths,measured as,56169
Anthrax,June and November 1987,occurred in,56169
Anthrax,August and September 1988,occurred in,56169
Anthrax,Syncerus caffer,infects,56169
Syncerus caffer,Anthrax,hosts,56169
Anthrax,Loxodonta africana,infects,56169
Loxodonta africana,Anthrax,hosts,56169
field study,August 1989,conducted in,56169
field study,environmental contamination,assesses,56169
field study,risks to people,assesses,56169
field study,local laboratory staff,equips,56169
field study,continued monitoring,monitors,56169
field study,enzootic status,confirms,56169
Bacillus anthracis,environmental contamination,causes,56169
Anthrax,environmental contamination,causes,56169
Borrelia burgdorferi,Lyme borreliosis,causes,59837
black-tailed jackrabbit,antibodies,has,59837
antibodies,indirect immunofluorescence,detected by,59837
black-tailed jackrabbit,spirochetemia,has,59837
spirochetemia,direct immunofluorescence,detected by,59837
Dermacentor occidentalis,black-tailed jackrabbit,found in,59837
D. parumapertus,black-tailed jackrabbit,found in,59837
Ixodes neotomae,black-tailed jackrabbit,found in,59837
I. pacificus,black-tailed jackrabbit,found in,59837
Haemaphysalis leporispalustris,black-tailed jackrabbit,found in,59837
Ixodes neotomae,Spirochetes,contains,59837
Haemaphysalis leporispalustris,Spirochetes,contains,59837
Borrelia burgdorferi,Ixodes neotomae,recovered from,59837
Haemaphysalis leporispalustris,Spirochetes,transmits,59837
black-tailed jackrabbit,Lyme borreliosis,potential sentinel for,59837
Columbian black-tailed deer,spirochetemia,has,59837
spirochetemia,Borrelia-specific monoclonal antibody (H9724),detected by,59837
Borrelia burgdorferi,Borrelia burgdorferi-specific monoclonal antibody (H5332),not detected by,59837
ticks,Columbian black-tailed deer,bite,59837
social organization,probability of TB incidence,influence,59823
movement,probability of TB incidence,influence,59823
demographic processes,probability of TB incidence,influence,59823
south-west England,high-density badger population,location of,59823
Meles meles,badger,latin name of,59823
culling,bovine tuberculosis,used to control,59823
British cattle,bovine tuberculosis,affected by,59823
culture of clinical samples,excretion of bacilli,detects,59823
incident case,probability of TB incidence,related to,59823
group size reduction,incident case,influence,59823
individual movement,incident case,influence,59823
group-level movement,incident case,influence,59823
group size reduction,disease dynamics,influence,59823
proportion of females,incident case,influence,59823
proportion of females,males,influence,59823
social structure,disease dynamics,influence,59823
culling,social structure,influence,59823
culling,disease dynamics,influence,59823
Mycobacterium bovis,Meles meles,infects,59823
Meles meles,Mycobacterium bovis,hosts,59823
Mycobacterium bovis,Bos taurus,infects,59823
Bos taurus,Mycobacterium bovis,hosts,59823
Clostridium perfringens,polar bears,infects,57733
polar bears,Clostridium perfringens,hosts,57733
Clostridium perfringens,"Svalbard, Norway",found in,57733
occurrence,2001,in,57733
fecal samples,polar bears,collected from,57733
prevalence,44%,measured as,57733
30 strains,occurrence,part of,57733
30 strains,gastrointestinal tract,found in,57733
beta2-toxin gene,Clostridium perfringens,detected in,57733
gastrointestinal tract,polar bears,part of,57733
Amblyomma americanum,white-tailed deer,infects,59859
white-tailed deer,Ehrlichia chaffeensis,hosts,59859
Ehrlichia chaffeensis,human ehrlichiosis,causes,59859
serum samples,fluorescent antibody analysis,tested by,59859
white-tailed deer,Odocoileus virginianus,common name of,59859
Odocoileus virginianus,white-tailed deer,latin name of,59859
Amblyomma americanum,lone star tick,common name of,59859
lone star tick,Amblyomma americanum,latin name of,59859
125,41.7%,measurement of,59859
121,80.7%,measurement of,59859
