source_text,target_text,relation_type,doc_id
Leptospirosis,Leptospira,is a disease caused by,59826
domestic dogs,Leptospira,can be infected by,59826
Connecticut,Leptospirosis,is a location where,59826
northeastern United States,Leptospira,is a location where,59826
Leptospira,raccoons,infects,59826
raccoons,Leptospira,hosts,59826
Leptospira,skunks,infects,59826
skunks,Leptospira,hosts,59826
Leptospira,opossums,infects,59826
opossums,Leptospira,hosts,59826
Leptospira,gray squirrels,infects,59826
gray squirrels,Leptospira,hosts,59826
Leptospira,humans,infects,59826
Leptospira,Leptospirosis,causes,59826
serovars pomona,Leptospira,is a type of,59826
serovars icterohemorrhagiae,Leptospira,is a type of,59826
serovars canicola,Leptospira,is a type of,59826
serovars hardjo,Leptospira,is a type of,59826
serovars grippotyphosa,Leptospira,is a type of,59826
31,raccoons,number of,59826
30,skunks,number of,59826
28,opossums,number of,59826
20,gray squirrels,number of,59826
36%,raccoons,percentage of,59826
13%,skunks,percentage of,59826
dogs,Leptospira,can be infected by,59826
Procyon lotor,raccoons,is the scientific name of,59826
Mephitis mephitis,skunks,is the scientific name of,59826
Didelphis virginiana,opossums,is the scientific name of,59826
Sciurus carolinensis,gray squirrels,is the scientific name of,59826
rabies virus,black-backed jackals,infects,58605
canine parvovirus (CPV-2),black-backed jackals,infects,58605
canine distemper virus (CDV),black-backed jackals,infects,58605
Ehrlichia canis,black-backed jackals,infects,58605
black-backed jackals,rabies virus,hosts,58605
black-backed jackals,canine parvovirus (CPV-2),hosts,58605
black-backed jackals,canine distemper virus (CDV),hosts,58605
black-backed jackals,Ehrlichia canis,hosts,58605
golden jackals,canine parvovirus (CPV-2),hosts,58605
side-striped jackals,canine parvovirus (CPV-2),hosts,58605
side-striped jackals,canine distemper virus (CDV),hosts,58605
Serologic survey,serum samples,examines,58605
serum samples,free-ranging jackals,collected from,58605
free-ranging jackals,Kenya,found in,58605
black-backed jackals,free-ranging jackals,a type of,58605
golden jackals,free-ranging jackals,a type of,58605
side-striped jackals,free-ranging jackals,a type of,58605
