source_text,target_text,relation_type,doc_id
Leptospira,leptospirosis,is associated with,59826
Connecticut,northeastern United States,is part of,59826
peridomestic wildlife,raccoons,includes,59826
peridomestic wildlife,skunks,includes,59826
peridomestic wildlife,opossums,includes,59826
peridomestic wildlife,gray squirrels,includes,59826
raccoons,Procyon lotor,is the same as,59826
skunks,Mephitis mephitis,is the same as,59826
opossums,Didelphis virginiana,is the same as,59826
gray squirrels,Sciurus carolinensis,is the same as,59826
Leptospira serovars,serovars pomona,includes,59826
Leptospira serovars,serovars icterohemorrhagiae,includes,59826
Leptospira serovars,serovars canicola,includes,59826
Leptospira serovars,serovars hardjo,includes,59826
Leptospira serovars,serovars grippotyphosa,includes,59826
serologic evidence,exposure,is related to,59826
serologic evidence,serosurvey,is related to,59826
serologic evidence,antibody titers,is related to,59826
zoonotic disease,leptospirosis,is related to,59826
zoonotic disease,Leptospira,is related to,59826
zoonotic disease,Leptospira serovars,is related to,59826
zoonotic disease,serovars pomona,is related to,59826
zoonotic disease,serovars icterohemorrhagiae,is related to,59826
zoonotic disease,serovars canicola,is related to,59826
zoonotic disease,serovars hardjo,is related to,59826
zoonotic disease,serovars grippotyphosa,is related to,59826
zoonotic disease,domestic dogs,is related to,59826
zoonotic disease,small wild mammals,is related to,59826
zoonotic disease,raccoons,is related to,59826
zoonotic disease,skunks,is related to,59826
zoonotic disease,opossums,is related to,59826
zoonotic disease,gray squirrels,is related to,59826
rabies virus,Canis mesomelas,infects,58605
Canis mesomelas,rabies virus,hosts,58605
canine parvovirus (CPV-2),Canis mesomelas,infects,58605
Canis mesomelas,canine parvovirus (CPV-2),hosts,58605
canine distemper virus (CDV),Canis mesomelas,infects,58605
Canis mesomelas,canine distemper virus (CDV),hosts,58605
Ehrlichia canis,Canis mesomelas,infects,58605
Canis mesomelas,Ehrlichia canis,hosts,58605
canine parvovirus (CPV-2),C. aureus,infects,58605
C. aureus,canine parvovirus (CPV-2),hosts,58605
canine parvovirus (CPV-2),C. adustus,infects,58605
C. adustus,canine parvovirus (CPV-2),hosts,58605
canine distemper virus (CDV),C. adustus,infects,58605
C. adustus,canine distemper virus (CDV),hosts,58605
Serum samples,rabies virus,detected by,58605
Serum samples,canine parvovirus (CPV-2),detected by,58605
Serum samples,canine distemper virus (CDV),detected by,58605
Serum samples,Ehrlichia canis,detected by,58605
Serologic survey,Kenya,found in,58605
Serum samples,Kenya,collected in,58605
Serum samples,April 1987,collected in,58605
Serum samples,January 1988,collected in,58605
Canis mesomelas,black-backed jackals,common name of,58605
C. aureus,golden jackals,common name of,58605
C. adustus,side-striped jackals,common name of,58605
Canis mesomelas,African ecosystems,lives in,58605
C. aureus,African ecosystems,lives in,58605
C. adustus,African ecosystems,lives in,58605
Canis mesomelas,free-ranging jackals,is a,58605
C. aureus,free-ranging jackals,is a,58605
C. adustus,free-ranging jackals,is a,58605
Canis mesomelas,canids,is a,58605
C. aureus,canids,is a,58605
C. adustus,canids,is a,58605
Canis mesomelas,canine diseases,affected by,58605
C. aureus,canine diseases,affected by,58605
C. adustus,canine diseases,affected by,58605
Herpesvirus,Pacific harbor seals,infects,59830
Pacific harbor seals,Herpesvirus,hosts,59830
Pacific harbor seals,Phoca vitulina richardsi,common name of,59830
Phoca vitulina richardsi,Pacific harbor seals,latin name of,59830
Herpesvirus,adrenal necrosis,causes,59830
Herpesvirus,sepsis,causes,59830
Herpesvirus,bacterial omphalophlebitis,causes,59830
Herpesvirus,pneumonia,causes,59830
Herpesvirus,gastroenteritis,causes,59830
Herpesvirus,thymic atrophy,causes,59830
Herpesvirus,hepatic necrosis,causes,59830
Herpesvirus,lymphopenia,causes,59830
Herpesvirus,adrenal cells,causes,59830
Herpesvirus,viral particles,causes,59830
Herpesvirus,phocine adrenal and kidney cell lines,detected by,59830
Herpesvirus,adrenal tissue homogenate,detected by,59830
Herpesvirus,cytopathic effect,detected by,59830
Herpesvirus,male seals,affects,59830
Herpesvirus,female seals,affects,59830
Herpesvirus,birth weight,affects,59830
Herpesvirus,central and northern California,found in,59830
Herpesvirus,USA,found in,59830
Herpesvirus,0 to 63 days,found in,59830
Herpesvirus,45%,found in,59830
Herpesvirus,74 of 162,found in,59830
Herpesvirus,42 of 95,found in,59830
Herpesvirus,32 of 67,found in,59830
Herpesvirus,100 nm,found in,59830
Herpesvirus,160 nm,found in,59830
Herpesvirus,5 days,found in,59830
canine adenovirus,island fox,infects,59699
island fox,canine adenovirus,hosts,59699
canine parvovirus,island fox,infects,59699
island fox,canine parvovirus,hosts,59699
canine herpesvirus,island fox,infects,59699
island fox,canine herpesvirus,hosts,59699
canine coronavirus,island fox,infects,59699
island fox,canine coronavirus,hosts,59699
leptospirosis,island fox,infects,59699
island fox,leptospirosis,hosts,59699
toxoplasmosis,island fox,infects,59699
island fox,toxoplasmosis,hosts,59699
island fox,Channel Islands,lives in,59699
Channel Islands,California,found in,59699
California,USA,found in,59699
island fox,threatened species,is,59699
194,island fox,number of,59699
97%,canine adenovirus,prevalence of,59699
59%,canine parvovirus,prevalence of,59699
low,canine herpesvirus,prevalence of,59699
low,canine coronavirus,prevalence of,59699
low,leptospirosis,prevalence of,59699
low,toxoplasmosis,prevalence of,59699
Pestivirus,Rupicapra pyrenaica pyrenaica,infects,59904
Rupicapra pyrenaica pyrenaica,Pestivirus,hosts,59904
Pestivirus,disease,causes,59904
Pestivirus,increased mortality,causes,59904
Pestivirus,Pyrenean Chamois,found in,59904
Pestivirus,Spain,found in,59904
Pestivirus,2001-02,detected in,59904
Pestivirus,16 of 17,detected in,59904
Pestivirus,outbreak,detected in,59904
Pestivirus,border disease virus cluster,detected in,59904
Pestivirus,noncoding regions,detected in,59904
Pestivirus,82.1% to 88.1%,detected in,59904
border disease virus,southern chamois,infects,59578
southern chamois,border disease virus,hosts,59578
southern chamois,Rupicapra pyrenaica,common name of,59578
Rupicapra pyrenaica,southern chamois,latin name of,59578
border disease virus,depression,causes,59578
border disease virus,weakness,causes,59578
border disease virus,movement difficulties,causes,59578
border disease virus,abnormal behaviour,causes,59578
border disease virus,alopecia,causes,59578
border disease virus,skin hyperpigmentation,causes,59578
border disease virus,cachexia,causes,59578
border disease virus,abscesses,causes,59578
border disease virus,pneumonia,causes,59578
border disease virus,subcutaneous infection,causes,59578
border disease virus,orchitis,causes,59578
border disease virus,edema,causes,59578
border disease virus,gliosis,causes,59578
border disease virus,espongiosis,causes,59578
border disease virus,cariorrexis,causes,59578
border disease virus,neuronal multifocal necrosis,causes,59578
border disease virus,perivascular mononuclear inflammatory infiltrate,causes,59578
border disease virus,follicular atrophy,causes,59578
border disease virus,epidermal hyperplasia,causes,59578
border disease virus,orthokeratotic hyperkeratosis,causes,59578
border disease virus,follicular hyperkeratosis,causes,59578
border disease virus,hypermelanosis,causes,59578
border disease virus,haemosiderin deposits,causes,59578
border disease virus,intraeritrocitic parasites,causes,59578
border disease virus,RT-PCR,detected by,59578
border disease virus,monoclonal antibodies,detected by,59578
border disease virus,high-mortality disease,causes,59578
border disease virus,central Pyrenees,found in,59578
border disease virus,NE Spain,found in,59578
border disease virus,2001,found in,59578
border disease virus,2002,found in,59578
border disease virus,February,found in,59578
border disease virus,June,found in,59578
Urate nephrolithiasis,nephrolithiasis,is a type of,59831
Ehrlichia spp.,white-tailed deer,infects,59842
white-tailed deer,Ehrlichia spp.,hosts,59842
Amblyomma americanum,white-tailed deer,found on,59842
Ixodes scapularis,white-tailed deer,found on,59842
Amblyomma americanum,Ehrlichia chaffeensis,vector of,59842
Ixodes scapularis,human granulocytic ehrlichiosis (HGE) agent,vector of,59842
white-tailed deer,Ehrlichia chaffeensis,infected by,59842
white-tailed deer,human granulocytic ehrlichiosis (HGE) agent,infected by,59842
white-tailed deer,serologic,tested by,59842
white-tailed deer,molecular,tested by,59842
white-tailed deer,culture,tested by,59842
white-tailed deer,indirect fluorescent antibody testing,detected by,59842
white-tailed deer,nested polymerase chain reaction,detected by,59842
white-tailed deer,16S rDNA fragments,detected by,59842
white-tailed deer,Ehrlichia chaffeensis,detected by,59842
white-tailed deer,human granulocytic ehrlichiosis (HGE) agent,detected by,59842
white-tailed deer,Ehrlichia-type morula,detected by,59842
white-tailed deer,neutrophil,detected by,59842
white-tailed deer,blood smears,detected by,59842
white-tailed deer,ingual lymph node,detected by,59842
white-tailed deer,culture,detected by,59842
white-tailed deer,1/5,detected by,59842
white-tailed deer,3/5,detected by,59842
white-tailed deer,5/5,detected by,59842
white-tailed deer,111,detected by,59842
white-tailed deer,"1,024",detected by,59842
white-tailed deer,geometric mean titer,detected by,59842
white-tailed deer,Ehrlichia equi,detected by,59842
white-tailed deer,single deer,detected by,59842
white-tailed deer,deer population,detected by,59842
white-tailed deer,coastal Georgia,detected by,59842
white-tailed deer,human ehrlichioses agents,detected by,59842
Antibodies,Antibodies,no_relationship,59912
Staphylococcus aureus,Ursus americanus,infects,59921
Ursus americanus,Staphylococcus aureus,hosts,59921
Ursus americanus,black bear,common name of,59921
Ursus americanus,Labrador,lives in,59921
Labrador,Canada,is in,59921
Staphylococcus aureus,bacterial valvular endocarditis,causes,59921
bacterial valvular endocarditis,death,causes,59921
Staphylococcus aureus,widespread dissemination,causes,59921
bacterial valvular endocarditis,Ursus americanus,first reported case in,59921
parainfluenza 3 virus,Bison bison,infects,58455
Bison bison,parainfluenza 3 virus,hosts,58455
Bison bison,Delta Junction,found in,58455
Delta Junction,Alaska,located in,58455
Alaska,USA,located in,58455
domestic cattle,infection,source of,58455
Bison bison,infection,affected by,58455
Bison bison,clinical disease,not affected by,58455
Bison bison,productivity,not affected by,58455
Feline immunodeficiency virus,Puma concolor,infects,59903
Puma concolor,Feline immunodeficiency virus,hosts,59903
Feline parvovirus,Puma concolor,infects,59903
Puma concolor,Feline parvovirus,hosts,59903
Feline coronavirus,Puma concolor,infects,59903
Puma concolor,Feline coronavirus,hosts,59903
Feline calicivirus,Puma concolor,infects,59903
Puma concolor,Feline calicivirus,hosts,59903
Canine distemper virus,Puma concolor,infects,59903
Puma concolor,Canine distemper virus,hosts,59903
Yersinia pestis,Puma concolor,infects,59903
Puma concolor,Yersinia pestis,hosts,59903
Feline immunodeficiency virus,age,affected by,59903
Feline parvovirus,age,affected by,59903
Feline coronavirus,age,affected by,59903
Feline calicivirus,age,affected by,59903
Canine distemper virus,age,affected by,59903
Yersinia pestis,age,affected by,59903
Feline immunodeficiency virus,family membership,affected by,59903
Feline coronavirus,family membership,affected by,59903
Feline immunodeficiency virus,sex,affected by,59903
Yersinia pestis,sex,affected by,59903
Feline immunodeficiency virus,location,affected by,59903
Feline parvovirus,location,affected by,59903
Feline coronavirus,location,affected by,59903
Feline calicivirus,location,affected by,59903
Canine distemper virus,location,affected by,59903
Yersinia pestis,location,affected by,59903
Feline immunodeficiency virus,family groups,transmission within,59903
Feline coronavirus,family groups,transmission within,59903
Monachus schauinslandi,phocine herpesvirus-1,hosts,59836
phocine herpesvirus-1,Monachus schauinslandi,infects,59836
Monachus schauinslandi,Leptospira bratislava,hosts,59836
Leptospira bratislava,Monachus schauinslandi,infects,59836
Monachus schauinslandi,Leptospira hardjo,hosts,59836
Leptospira hardjo,Monachus schauinslandi,infects,59836
Monachus schauinslandi,Leptospira icterohaemorrhagiae,hosts,59836
Leptospira icterohaemorrhagiae,Monachus schauinslandi,infects,59836
Monachus schauinslandi,Leptospira pomona,hosts,59836
Leptospira pomona,Monachus schauinslandi,infects,59836
Monachus schauinslandi,Brucella spp.,hosts,59836
Brucella spp.,Monachus schauinslandi,infects,59836
Monachus schauinslandi,Chlamydophila abortus,hosts,59836
Chlamydophila abortus,Monachus schauinslandi,infects,59836
Monachus schauinslandi,Toxoplasma gondii,hosts,59836
Toxoplasma gondii,Monachus schauinslandi,infects,59836
Monachus schauinslandi,Dirofilaria immitis,hosts,59836
Dirofilaria immitis,Monachus schauinslandi,infects,59836
Monachus schauinslandi,morbilliviruses,hosts,59836
morbilliviruses,Monachus schauinslandi,infects,59836
Monachus schauinslandi,influenza A virus,hosts,59836
influenza A virus,Monachus schauinslandi,infects,59836
Ehrlichia sp.-like organism,white-tailed deer,infects,59858
white-tailed deer,Ehrlichia sp.-like organism,hosts,59858
white-tailed deer,Odocoileus virginianus,common name of,59858
Odocoileus virginianus,white-tailed deer,latin name of,59858
Ehrlichia chaffeensis,white-tailed deer,infects,59858
white-tailed deer,Ehrlichia chaffeensis,hosts,59858
Ehrlichia chaffeensis,human granulocytic ehrlichiosis,causes,59858
human granulocytic ehrlichiosis,HGE,common name of,59858
HGE,human granulocytic ehrlichiosis,common name of,59858
Ehrlichia sp.-like organism,16S rDNA,detected by,59858
Ehrlichia chaffeensis,16S rDNA,detected by,59858
Ehrlichia sp.-like organism,DGA/GA1UR,detected by,59858
Ehrlichia chaffeensis,DCH/GA1UR,detected by,59858
Ehrlichia sp.-like organism,GE9f/GA1UR,detected by,59858
HGE,GE9f/GA1UR,detected by,59858
62 deer,white-tailed deer,number of,59858
10 populations,white-tailed deer,number of,59858
four U.S. states,white-tailed deer,location of,59858
65%,Ehrlichia sp.-like organism,prevalence of,59858
5%,Ehrlichia chaffeensis,prevalence of,59858
Ehrlichia sp.-like organism,E. chaffeensis-reactive antibodies,associated with,59858
Amblyomma americanum,Ehrlichia sp.-like organism,associated with,59858
Ehrlichia sp.-like organism,serologic cross-reactions,causes,59858
Ehrlichia sp.-like organism,non-specific PCR products,causes,59858
Bacillus anthracis,Hippopotamus amphibius,infects,56169
Hippopotamus amphibius,Bacillus anthracis,hosts,56169
Bacillus anthracis,Syncerus caffer,infects,56169
Syncerus caffer,Bacillus anthracis,hosts,56169
Bacillus anthracis,Loxodonta africana,infects,56169
Loxodonta africana,Bacillus anthracis,hosts,56169
Bacillus anthracis,Anthrax,causes,56169
Hippopotamus amphibius,Anthrax,suffered from,56169
Syncerus caffer,Anthrax,suffered from,56169
Loxodonta africana,Anthrax,suffered from,56169
Hippopotamus amphibius,Luangwa Valley,lives in,56169
Syncerus caffer,Luangwa Valley,lives in,56169
Loxodonta africana,Luangwa Valley,lives in,56169
Luangwa Valley,Zambia,located in,56169
Bacillus anthracis,Luangwa Valley,found in,56169
Bacillus anthracis,outbreaks,causes,56169
Hippopotamus amphibius,outbreaks,experienced,56169
Syncerus caffer,outbreaks,experienced,56169
Loxodonta africana,outbreaks,experienced,56169
