entity_id,entity,type,doc_id
1,Leptospirosis,Disease,59826
2,Connecticut,US State,59826
3,peridomestic wildlife,Host,59826
4,Leptospira,Bacterium,59826
5,Leptospira serovars,Bacterial serovars,59826
6,serovars pomona,Leptospira serovar,59826
7,serovars icterohemorrhagiae,Leptospira serovar,59826
8,serovars canicola,Leptospira serovar,59826
9,serovars hardjo,Leptospiral serovar,59826
10,serovars grippotyphosa,Bacterial serovar,59826
11,raccoons,Host,59826
12,Procyon lotor,Host,59826
13,skunks,Host,59826
14,Mephitis mephitis,Host,59826
15,opossums,Host,59826
16,Didelphis virginiana,Host,59826
17,gray squirrels,Host,59826
18,Sciurus carolinensis,Host,59826
19,February 27,Date,59826
20,September 17,Date,59826
21,2001,Year,59826
22,northeastern United States,Geographic Region,59826
23,dogs,Host,59826
24,humans,Host,59826
25,Serologic survey,Biomedical research study,58605
26,canine pathogens,Bacterial or viral infectious agents,58605
27,free-ranging jackals,Host,58605
28,Kenya,Country,58605
29,rabies virus,Virus,58605
30,canine parvovirus (CPV-2),Viral pathogen,58605
31,canine distemper virus (CDV),Viral pathogen,58605
32,Ehrlichia canis,Bacterium,58605
33,black-backed jackals,Mammal,58605
34,Canis mesomelas,Host,58605
35,golden jackals,Mammal,58605
36,C. aureus,Host,58605
37,side-striped jackals,Mammal,58605
38,C. adustus,Host,58605
39,African ecosystems,Terrestrial Ecosystem,58605
40,canids,Host,58605
41,rare and endangered canids,Host,58605
42,specific canine diseases,Canine diseases,58605
43,Serum samples,Biological specimen,58605
44,antibodies,Antibody,58605
45,April 1987,Date,58605
46,January 1988,Date,58605
47,76,Number: Sample Size,58605
48,three species,Canine species,58605
49,four localities,Geographic Locations,58605
50,14,Integer value of a count or measurement,58605
51,55,Integer value representing a sample size,58605
52,9,Percentage,58605
53,4,Numerical value (percentage or count),58605
54,3,Percentage,58605
55,1,Percentage value,58605
56,2,Number,58605
57,36,Number: Sample Size,58605
58,28,Number of samples,58605
59,16,Fraction,58605
60,26,Number,58605
61,Herpesvirus,causes,59830
62,Pacific harbor seal,Mammal,59830
63,Phoca vitulina richardsi,Species,59830
64,California,US state,59830
65,USA,Country,59830
66,Adrenal gland,Anatomical structure,59830
67,DNA,Nucleic acid,59830
68,Amphophilic,Biological property,59830
69,Intranuclear inclusion bodies,Viral inclusion bodies,59830
70,Necrosis,Adrenal Necrosis,59830
71,Sepsis,Disease,59830
72,Omphalophlebitis,Disease,59830
73,Pneumonia,Disease,59830
74,Gastroenteritis,Disease,59830
75,Thymic atrophy,Thymic disorder,59830
76,Hepatic necrosis,Liver disease,59830
77,Lymphopenia,Hematological Abnormality,59830
78,Electron microscopy,Biological imaging technique,59830
79,Viral particles,Virus particle,59830
80,Adrenal tissue homogenate,Biological sample,59830
81,Phocine adrenal and kidney cell lines,Cell line,59830
82,Cytopathic effect,Viral cytopathic effect,59830
83,Cell cultures,In Vitro Cell Culture,59830
84,Days,Time period,59830
85,0 to 63 days,Duration,59830
86,Below average birth weight,Physiological characteristic,59830
87,island fox,Mammal,59699
88,Urocyon littoralis,Species,59699
89,Channel Islands,Geographic Region,59699
90,California,US state,59699
91,USA,Country,59699
92,canine adenovirus,Virus,59699
93,canine parvovirus,Viral pathogen,59699
94,canine herpesvirus,Virus,59699
