source_text,target_text,relation_type,doc_id
Leptospira,raccoons,infects,59826
Leptospira,skunks,infects,59826
Leptospira,opossums,infects,59826
Leptospira,gray squirrels,infects,59826
Leptospira serovars,raccoons,hosts,59826
Leptospira serovars,skunks,hosts,59826
Leptospira serovars,opossums,hosts,59826
Leptospira serovars,gray squirrels,hosts,59826
serovars pomona,raccoons,infects,59826
serovars icterohemorrhagiae,raccoons,infects,59826
serovars canicola,raccoons,infects,59826
serovars hardjo,raccoons,infects,59826
serovars grippotyphosa,raccoons,infects,59826
serovars grippotyphosa,skunks,infects,59826
serovars grippotyphosa,gray squirrels,infects,59826
raccoons,Leptospira,hosts,59826
skunks,Leptospira,hosts,59826
opossums,Leptospira,hosts,59826
gray squirrels,Leptospira,hosts,59826
Connecticut,peridomestic wildlife,location of,59826
northeastern United States,peridomestic wildlife,location of,59826
dogs,Leptospira,hosts,59826
humans,Leptospira,hosts,59826
rabies virus,free-ranging jackals,infects,58605
canine parvovirus (CPV-2),free-ranging jackals,infects,58605
canine distemper virus (CDV),free-ranging jackals,infects,58605
Ehrlichia canis,free-ranging jackals,infects,58605
free-ranging jackals,rabies virus,hosts,58605
free-ranging jackals,canine parvovirus (CPV-2),hosts,58605
free-ranging jackals,canine distemper virus (CDV),hosts,58605
free-ranging jackals,Ehrlichia canis,hosts,58605
black-backed jackals,rabies virus,hosts,58605
black-backed jackals,canine parvovirus (CPV-2),hosts,58605
black-backed jackals,canine distemper virus (CDV),hosts,58605
black-backed jackals,Ehrlichia canis,hosts,58605
golden jackals,canine parvovirus (CPV-2),hosts,58605
side-striped jackals,canine parvovirus (CPV-2),hosts,58605
side-striped jackals,canine distemper virus (CDV),hosts,58605
Herpesvirus,Pacific harbor seal,infects,59830
Pacific harbor seal,Herpesvirus,hosts,59830
Adrenal tissue homogenate,Herpesvirus,contains,59830
Phocine adrenal and kidney cell lines,Adrenal tissue homogenate,inoculated with,59830
Phocine adrenal and kidney cell lines,Cytopathic effect,shows,59830
Cell cultures,Cytopathic effect,shows,59830
Herpesvirus,Necrosis,causes,59830
Herpesvirus,Sepsis,causes,59830
Herpesvirus,Omphalophlebitis,causes,59830
Herpesvirus,Pneumonia,causes,59830
Herpesvirus,Gastroenteritis,causes,59830
Herpesvirus,Thymic atrophy,causes,59830
Herpesvirus,Hepatic necrosis,causes,59830
Herpesvirus,Lymphopenia,causes,59830
island fox,canine adenovirus,hosts,59699
island fox,canine parvovirus,hosts,59699
island fox,canine herpesvirus,hosts,59699
island fox,canine coronavirus,hosts,59699
island fox,leptospirosis,hosts,59699
island fox,toxoplasmosis,hosts,59699
island fox,canine distemper virus,does not host,59699
Pestivirus,Pyrenean Chamois,infects,59904
Pyrenean Chamois,Pestivirus,hosts,59904
Pestivirus,Disease,causes,59904
Pyrenean Chamois,Disease,affected by,59904
Pestivirus,Northeastern Spain,found in,59904
Pestivirus,Spain,found in,59904
border disease virus,southern chamois,is associated with,59578
southern chamois,disease,is affected by,59578
southern chamois,central Pyrenees,is found in,59578
southern chamois,NE Spain,is found in,59578
southern chamois,weakness,exhibits,59578
