source_text,target_text,relation_type,doc_id
raccoons,Leptospira,hosts,59826
Leptospira,raccoons,infects,59826
skunks,Leptospira,hosts,59826
Leptospira,skunks,infects,59826
opossums,Leptospira,hosts,59826
Leptospira,opossums,infects,59826
gray squirrels,Leptospira,hosts,59826
Leptospira,gray squirrels,infects,59826
raccoons,icterohemorrhagiae,hosts,59826
icterohemorrhagiae,raccoons,infects,59826
skunks,grippotyphosa,hosts,59826
grippotyphosa,skunks,infects,59826
gray squirrels,grippotyphosa,hosts,59826
grippotyphosa,gray squirrels,infects,59826
gray squirrels,canicola,hosts,59826
canicola,gray squirrels,infects,59826
opossums,Leptospira,does not host,59826
Leptospira,opossums,does not infect,59826
Connecticut,leptospirosis,location of,59826
leptospirosis,Connecticut,found in,59826
small wild mammals,Leptospira,hosts,59826
Leptospira,small wild mammals,infects,59826
serologic evidence,leptospirosis,detected by,59826
leptospirosis,serologic evidence,detected by,59826
36%,raccoons,measurement of,59826
13%,skunks,measurement of,59826
high antibody titers,gray squirrels,measurement of,59826
negative,opossums,measurement of,59826
rabies virus,black-backed jackals,infects,58605
black-backed jackals,rabies virus,hosts,58605
canine parvovirus (CPV-2),black-backed jackals,infects,58605
black-backed jackals,canine parvovirus (CPV-2),hosts,58605
canine distemper virus (CDV),black-backed jackals,infects,58605
black-backed jackals,canine distemper virus (CDV),hosts,58605
Ehrlichia canis,black-backed jackals,infects,58605
black-backed jackals,Ehrlichia canis,hosts,58605
canine parvovirus (CPV-2),golden jackals,infects,58605
golden jackals,canine parvovirus (CPV-2),hosts,58605
canine parvovirus (CPV-2),side-striped jackals,infects,58605
side-striped jackals,canine parvovirus (CPV-2),hosts,58605
canine distemper virus (CDV),side-striped jackals,infects,58605
side-striped jackals,canine distemper virus (CDV),hosts,58605
rabies virus,34%,has prevalence,58605
canine parvovirus (CPV-2),9%,has prevalence,58605
canine distemper virus (CDV),3%,has prevalence,58605
Ehrlichia canis,2%,has prevalence,58605
Herpesvirus,Pacific harbor seals,is associated with,59830
Herpesvirus,adrenal necrosis,causes,59830
Herpesvirus,sepsis,causes,59830
Herpesvirus,bacterial omphalophlebitis,causes,59830
Herpesvirus,pneumonia,causes,59830
Herpesvirus,gastroenteritis,causes,59830
Herpesvirus,thymic atrophy,causes,59830
Herpesvirus,hepatic necrosis,causes,59830
Herpesvirus,lymphopenia,causes,59830
Herpesvirus,intranuclear inclusion bodies,causes,59830
Herpesvirus,phocine adrenal cell lines,is isolated using,59830
Herpesvirus,phocine kidney cell lines,is isolated using,59830
Herpesvirus,adrenal glands,affects,59830
Herpesvirus,liver,affects,59830
Herpesvirus,kidney,affects,59830
Herpesvirus,thymus,affects,59830
Herpesvirus,lymphocytes,affects,59830
canine adenovirus,island fox,infects,59699
island fox,canine adenovirus,hosts,59699
canine parvovirus,island fox,infects,59699
island fox,canine parvovirus,hosts,59699
canine herpesvirus,island fox,infects,59699
island fox,canine herpesvirus,hosts,59699
canine coronavirus,island fox,infects,59699
island fox,canine coronavirus,hosts,59699
leptospirosis,island fox,infects,59699
island fox,leptospirosis,hosts,59699
toxoplasmosis,island fox,infects,59699
island fox,toxoplasmosis,hosts,59699
canine distemper virus,island fox,does not infect,59699
island fox,canine distemper virus,does not host,59699
serologic survey,antibody prevalence,detected by,59699
antibody prevalence,97%,measurement of,59699
97%,canine adenovirus,measurement of,59699
antibody prevalence,59%,measurement of,59699
59%,canine parvovirus,measurement of,59699
pestivirus,Pyrenean Chamois,infects,59904
Pyrenean Chamois,pestivirus,hosts,59904
northeastern Spain,previously unreported disease,location of,59904
pestivirus,noncoding regions,found in,59904
pestivirus,border disease virus cluster,part of,59904
pestivirus,previously unreported disease,causes,59904
border disease virus,southern chamois,infects,59578
southern chamois,border disease virus,hosts,59578
southern chamois,depression,affected by,59578
southern chamois,weakness,affected by,59578
southern chamois,movement difficulties,affected by,59578
southern chamois,abnormal behaviour,affected by,59578
southern chamois,alopecia,affected by,59578
southern chamois,skin hyperpigmentation,affected by,59578
southern chamois,cachexia,affected by,59578
southern chamois,abscesses,affected by,59578
southern chamois,pneumonia,affected by,59578
southern chamois,subcutaneous infection,affected by,59578
southern chamois,orchitis,affected by,59578
southern chamois,edema,affected by,59578
southern chamois,gliosis,affected by,59578
southern chamois,espongiosis,affected by,59578
central Pyrenees,NE Spain,located in,59578
border disease virus,central Pyrenees,detected in,59578
southern chamois,42%,population decreased by,59578
southern chamois,20,examined count,59578
northern elephant seal,nephrolithiasis,hosts,59831
California sea lion,nephrolithiasis,hosts,59831
nephrolithiasis,northern elephant seal,found in,59831
nephrolithiasis,California sea lion,found in,59831
nephrolithiasis,renal pelvic dilation,associated with,59831
nephrolithiasis,pyelonephritis,associated with,59831
hydronephrosis,California sea lion,noted in,59831
nephroliths,uric acid,composed of,59831
nephroliths,ammonium urate,composed of,59831
northern elephant seal,1-10 mm,nephroliths size,59831
California sea lion,1-15 mm,nephroliths size,59831
routine necropsy examination,2004,diagnosed in,59831
routine necropsy examination,2005,diagnosed in,59831
white-tailed deer,white-tailed deer,no_relationship,59842
Buffalo,Bovine herpes virus types 1 and 2,has antibodies for,59912
Wildebeest,Foot-and-mouth disease,has antibodies for,59912
Topi,Foot-and-mouth disease,has antibodies for,59912
Zebra,Bovine ephemeral fever,has antibodies for,59912
Wart hog,African swine fever viruses,has antibodies for,59912
coagulase-positive Staphylococcus aureus,black bear,infects,59921
black bear,coagulase-positive Staphylococcus aureus,hosts,59921
coagulase-positive Staphylococcus aureus,Bacterial valvular endocarditis,causes,59921
Bacterial valvular endocarditis,coagulase-positive Staphylococcus aureus,is caused by,59921
black bear,northern Labrador,died in,59921
northern Labrador,Canada,is located in,59921
death,fall 1991,occurred in,59921
black bear,radio-collared,was,59921
infection dissemination,death,led to,59921
Bacterial valvular endocarditis,first reported case,is the,59921
parainfluenza 3 virus,Bison bison,infects,58455
Bison bison,parainfluenza 3 virus,hosts,58455
0%,Serum antibody prevalence,measurement of,58455
100%,Serum antibody prevalence,measurement of,58455
1977 to 1984,Serum antibody prevalence,time period of,58455
Domestic cattle,Infection,source of,58455
parainfluenza 3 virus,Clinical disease,does not cause,58455
parainfluenza 3 virus,Decrease in productivity,does not cause,58455
Delta bison,"Delta Junction, Alaska (USA)",found in,58455
Infection,Bison bison,present in,58455
feline immunodeficiency virus (FIV),Puma concolor,infects,59903
Puma concolor,feline immunodeficiency virus (FIV),hosts,59903
feline parvovirus (FPV),Puma concolor,infects,59903
Puma concolor,feline parvovirus (FPV),hosts,59903
feline coronavirus (FCoV),Puma concolor,does not infect,59903
Puma concolor,feline coronavirus (FCoV),does not host,59903
feline calicivirus (FCV),Puma concolor,does not infect,59903
Puma concolor,feline calicivirus (FCV),does not host,59903
canine distemper virus (CDV),Puma concolor,does not infect,59903
Puma concolor,canine distemper virus (CDV),does not host,59903
Yersinia pestis,Puma concolor,does not infect,59903
