source_text,target_text,relation_type,doc_id
Leptospirosis,domestic dogs,affects,59826
Leptospirosis,peridomestic wildlife,affects,59826
Leptospirosis,small wild mammals,affects,59826
Leptospirosis,raccoons,affects,59826
Leptospirosis,skunks,affects,59826
Leptospirosis,opossums,affects,59826
Leptospirosis,gray squirrels,affects,59826
Leptospirosis,Procyon lotor,affects,59826
Leptospirosis,Mephitis mephitis,affects,59826
Leptospirosis,Didelphis virginiana,affects,59826
Leptospirosis,Sciurus carolinensis,affects,59826
Leptospirosis,Leptospira,caused by,59826
Leptospira,Leptospira serovars,has,59826
Leptospira serovars,serovars pomona,includes,59826
Leptospira serovars,serovars icterohemorrhagiae,includes,59826
Leptospira serovars,serovars canicola,includes,59826
Leptospira serovars,serovars hardjo,includes,59826
Leptospira serovars,serovars grippotyphosa,includes,59826
Leptospirosis,serologic evidence,has,59826
Leptospirosis,exposure,has,59826
Leptospirosis,serosurvey,has,59826
Leptospirosis,antibody titers,has,59826
Leptospirosis,zoonotic disease,is,59826
Leptospirosis,February 27,has,59826
Leptospirosis,"September 17, 2001",has,59826
Leptospirosis,36%,has,59826
Leptospirosis,13%,has,59826
Leptospirosis,31,has,59826
Leptospirosis,30,has,59826
Leptospirosis,28,has,59826
Leptospirosis,20,has,59826
Leptospirosis,109,has,59826
Leptospirosis,5,has,59826
Serologic survey,Serologic survey,no_relationship,58605
Herpesvirus,Pacific harbor seals,infects,59830
Pacific harbor seals,Herpesvirus,hosts,59830
Pacific harbor seals,adrenal necrosis,has,59830
Pacific harbor seals,sepsis,has,59830
Pacific harbor seals,bacterial omphalophlebitis,has,59830
Pacific harbor seals,pneumonia,has,59830
Pacific harbor seals,gastroenteritis,has,59830
Pacific harbor seals,thymic atrophy,has,59830
Pacific harbor seals,hepatic necrosis,has,59830
Pacific harbor seals,lymphopenia,has,59830
adrenal cells,viral particles,contains,59830
adrenal cells,DNA,contains,59830
adrenal tissue homogenate,cytopathic effect,causes,59830
phocine adrenal and kidney cell lines,cytopathic effect,affected by,59830
male seals,adrenal necrosis,has,59830
female seals,adrenal necrosis,has,59830
adrenal necrosis,Herpesvirus,affected by,59830
adrenal necrosis,adrenal cells,found in,59830
adrenal necrosis,adrenal tissue homogenate,found in,59830
adrenal necrosis,phocine adrenal and kidney cell lines,found in,59830
adrenal necrosis,male seals,found in,59830
adrenal necrosis,female seals,found in,59830
adrenal necrosis,Pacific harbor seals,found in,59830
adrenal necrosis,Phoca vitulina richardsi,found in,59830
adrenal necrosis,central and northern California,found in,59830
adrenal necrosis,USA,found in,59830
adrenal necrosis,0 to 63 days,found in,59830
adrenal necrosis,45%,found in,59830
adrenal necrosis,74 of 162,found in,59830
adrenal necrosis,42 of 95,found in,59830
adrenal necrosis,32 of 67,found in,59830
adrenal necrosis,100 nm,found in,59830
adrenal necrosis,160 nm,found in,59830
adrenal necrosis,5 days,found in,59830
island fox,Urocyon littoralis,common name of,59699
Urocyon littoralis,island fox,common name of,59699
island fox,Channel Islands,lives in,59699
Channel Islands,California,located in,59699
California,USA,located in,59699
island fox,California,threatened species in,59699
serologic survey,island fox,conducted on,59699
194,island fox,number of,59699
canine adenovirus,island fox,infects,59699
island fox,canine adenovirus,hosts,59699
canine parvovirus,island fox,infects,59699
island fox,canine parvovirus,hosts,59699
canine herpesvirus,island fox,infects,59699
island fox,canine herpesvirus,hosts,59699
canine coronavirus,island fox,infects,59699
island fox,canine coronavirus,hosts,59699
leptospirosis,island fox,infects,59699
island fox,leptospirosis,hosts,59699
toxoplasmosis,island fox,infects,59699
island fox,toxoplasmosis,hosts,59699
canine distemper virus,island fox,does not infect,59699
island fox,canine distemper virus,does not host,59699
97%,canine adenovirus,prevalence of,59699
59%,canine parvovirus,prevalence of,59699
low,canine herpesvirus,prevalence of,59699
low,canine coronavirus,prevalence of,59699
low,leptospirosis,prevalence of,59699
low,toxoplasmosis,prevalence of,59699
not detected,canine distemper virus,prevalence of,59699
Rupicapra pyrenaica pyrenaica,Pestivirus,hosts,59904
Pestivirus,northeastern Spain,found in,59904
Pestivirus,disease,causes,59904
Pestivirus,Mortality,causes,59904
Pestivirus,border disease virus cluster,assigned to,59904
Pestivirus,82.1% to 88.1%,has similarity values ranging from,59904
Rupicapra pyrenaica pyrenaica,Pyrenean Chamois,common name of,59904
Rupicapra pyrenaica pyrenaica,Pyrenean Chamois,latin name of,59904
border disease virus,southern chamois,infects,59578
southern chamois,border disease virus,hosts,59578
southern chamois,central Pyrenees,lives in,59578
southern chamois,NE Spain,lives in,59578
southern chamois,depression,affected by,59578
southern chamois,weakness,affected by,59578
southern chamois,movement difficulties,affected by,59578
southern chamois,abnormal behaviour,affected by,59578
southern chamois,absence of flight reaction,affected by,59578
southern chamois,alopecia,affected by,59578
southern chamois,skin hyperpigmentation,affected by,59578
southern chamois,cachexia,affected by,59578
southern chamois,abscesses,affected by,59578
southern chamois,pneumonia,affected by,59578
southern chamois,subcutaneous infection,affected by,59578
southern chamois,orchitis,affected by,59578
southern chamois,edema,affected by,59578
southern chamois,gliosis,affected by,59578
southern chamois,espongiosis,affected by,59578
southern chamois,cariorrexis,affected by,59578
southern chamois,neuronal multifocal necrosis,affected by,59578
southern chamois,perivascular mononuclear inflammatory infiltrate,affected by,59578
southern chamois,follicular atrophy,affected by,59578
southern chamois,epidermal hyperplasia,affected by,59578
southern chamois,orthokeratotic hyperkeratosis,affected by,59578
southern chamois,follicular hyperkeratosis,affected by,59578
southern chamois,hypermelanosis,affected by,59578
southern chamois,haemosiderin deposits,affected by,59578
southern chamois,intraeritrocitic parasites,affected by,59578
border disease virus,RT-PCR,detected by,59578
border disease virus,monoclonal antibodies,characterized by,59578
border disease virus,high-mortality disease,causes,59578
southern chamois,Rupicapra pyrenaica,common name of,59578
Rupicapra pyrenaica,southern chamois,latin name of,59578
Urate nephrolithiasis,northern elephant seal,affects,59831
Urate nephrolithiasis,California sea lion,affects,59831
northern elephant seal,Mirounga angustirostris,common name of,59831
California sea lion,Zalophus californianus,common name of,59831
nephrolithiasis,nephroliths,causes,59831
nephroliths,northern elephant seal,found in,59831
nephroliths,California sea lion,found in,59831
Ehrlichia spp.,white-tailed deer,infects,59842
white-tailed deer,Ehrlichia spp.,hosts,59842
Ehrlichia chaffeensis,white-tailed deer,infects,59842
white-tailed deer,Ehrlichia chaffeensis,hosts,59842
human granulocytic ehrlichiosis (HGE) agent,white-tailed deer,infects,59842
white-tailed deer,human granulocytic ehrlichiosis (HGE) agent,hosts,59842
Ehrlichia-like organism,white-tailed deer,infects,59842
white-tailed deer,Ehrlichia-like organism,hosts,59842
Amblyomma americanum,white-tailed deer,found on,59842
Ixodes scapularis,white-tailed deer,found on,59842
Ehrlichia chaffeensis,indirect fluorescent antibody testing,detected by,59842
human granulocytic ehrlichiosis (HGE) agent,indirect fluorescent antibody testing,detected by,59842
16S rDNA fragments,nested polymerase chain reaction,detected by,59842
Ehrlichia chaffeensis,nested polymerase chain reaction,detected by,59842
human granulocytic ehrlichiosis (HGE) agent,nested polymerase chain reaction,detected by,59842
Ehrlichia-like organism,nested polymerase chain reaction,detected by,59842
Ehrlichia-type morula,neutrophil,identified in,59842
white-tailed deer,coastal Georgia,lives in,59842
white-tailed deer,southeastern United States,lives in,59842
white-tailed deer,Odocoileus virginianus,common name of,59842
Odocoileus virginianus,white-tailed deer,latin name of,59842
Syncerus caffer,buffalo,is,59912
Staphylococcus aureus,valvular endocarditis,causes,59921
Ursus americanus,Staphylococcus aureus,hosts,59921
Staphylococcus aureus,Ursus americanus,infects,59921
Ursus americanus,Labrador,lives in,59921
Ursus americanus,valvular endocarditis,died from,59921
valvular endocarditis,death,causes,59921
fall 1991,death,time of,59921
Ursus americanus,valvular endocarditis,first reported case of,59921
parainfluenza 3 virus,Bison bison,infects,58455
Bison bison,parainfluenza 3 virus,hosts,58455
Delta bison,Bison bison,common name of,58455
Bison bison,Delta bison,latin name of,58455
Delta bison,Delta Junction,found in,58455
