entity_id,entity,type,doc_id
1,Connecticut,State,59826
2,leptospirosis,Disease,59826
3,small wild mammals,small wild mammals,59826
4,raccoons,wildlife,59826
5,Procyon lotor,Host,59826
6,skunks,Wildlife,59826
7,Mephitis mephitis,Host,59826
8,opossums,marsupial,59826
9,Didelphis virginiana,Host,59826
10,gray squirrels,gray squirrel,59826
11,Sciurus carolinensis,Host,59826
12,Leptospira,Bacteria,59826
13,pomona,Leptospira serovar,59826
14,icterohemorrhagiae,Leptospira serovar,59826
15,canicola,Leptospira serovar Canicola,59826
16,hardjo,serovar,59826
17,grippotyphosa,serovar,59826
18,serologic evidence,Evidence,59826
19,February 27,Date,59826
20,September 17,Date of serosurvey,59826
21,2001,Year,59826
22,36%,Measurement,59826
23,13%,Measurement,59826
24,high antibody titers,Measurement,59826
25,negative,Measurement,59826
26,rabies virus,virus,58605
27,canine parvovirus (CPV-2),virus,58605
28,canine distemper virus (CDV),Virus,58605
29,Ehrlichia canis,bacterium,58605
30,jackals,Host,58605
31,black-backed jackals,Host,58605
32,Canis mesomelas,Host,58605
33,golden jackals,Host,58605
34,Canis aureus,Host,58605
35,side-striped jackals,Host,58605
36,Canis adustus,Host,58605
37,serum samples,serum sample,58605
38,76,Count,58605
39,free-ranging,status,58605
40,Kenya,Country,58605
41,April 1987,Date,58605
42,January 1988,Date,58605
43,34%,Measurement,58605
44,14 positive/55 sampled,Measurement,58605
45,9%,Measurement,58605
46,4/55,Measurement,58605
47,3%,Measurement,58605
48,1/28,Measurement,58605
49,2%,Measurement,58605
50,1/36,Measurement,58605
51,9/16,Measurement,58605
52,5/26,Measurement,58605
53,Herpesvirus,Virus genus,59830
54,Pacific harbor seals,Species,59830
55,Phoca vitulina richardsi,subspecies,59830
56,adrenal necrosis,Disease,59830
57,sepsis,Disease,59830
58,bacterial omphalophlebitis,Disease,59830
59,pneumonia,Disease,59830
60,gastroenteritis,Disease,59830
61,thymic atrophy,Disease,59830
