entity_id,entity,type,doc_id
1,Leptospira,Bacterium,59826
2,Connecticut,AdministrativeRegion,59826
3,peridomestic wildlife,Animal,59826
4,domestic dogs,Organism::Eukaryote::Opisthokonta::Animal::Chordate::Vertebrate::Mammal::Carnivora::Canidae::Canis::Canis lupus familiaris,59826
5,northeastern United States,GeographicRegion,59826
6,raccoons,Species,59826
7,Procyon lotor,Host,59826
8,skunks,Species,59826
9,Mephitis mephitis,Host,59826
10,opossums,Species,59826
11,Didelphis virginiana,Host,59826
12,gray squirrels,Species,59826
13,Sciurus carolinensis,Host,59826
14,Leptospira pomona,Bacterium species,59826
15,Leptospira icterohemorrhagiae,Bacterium species,59826
16,Leptospira canicola,Bacterium species,59826
17,Leptospira hardjo,Bacterium species,59826
18,Leptospira grippotyphosa,Bacterial species,59826
19,leptospirosis,Disease,59826
20,February 27,Date,59826
21,"September 17, 2001",Date,59826
22,36%,Prevalence,59826
23,13%,Percentage,59826
24,109,Count of small wild mammals,59826
25,31,Quantity,59826
26,30,Quantity,59826
27,28,Count of opossums,59826
28,20,Quantity,59826
29,Serologic survey,Research study,58605
30,canine pathogens,Organism,58605
31,jackals,Species,58605
32,Canis mesomelas,Host,58605
33,black-backed jackals,Species,58605
34,Canis aureus,Host,58605
35,golden jackals,Species,58605
36,Canis adustus,Host,58605
37,side-striped jackals,Species,58605
38,Kenya,Country,58605
39,rabies virus,Virus,58605
40,canine parvovirus (CPV-2),Virus,58605
41,canine distemper virus (CDV),Virus,58605
42,Ehrlichia canis,Bacterium species,58605
43,April 1987,Date,58605
44,January 1988,Date,58605
45,Serum samples,BiologicalSample,58605
46,antibodies,Immunoglobulin,58605
47,CPV-2,Virus,58605
48,CDV,Virus,58605
49,E. canis,Bacterium species,58605
50,African ecosystems,Biome,58605
51,rare and endangered canids,Organism Taxon,58605
52,canine diseases,DiseaseClass,58605
53,Herpesvirus,Virus,59830
54,Pacific harbor seal,Subspecies of Seal,59830
55,Phoca vitulina richardsi,Subspecies of mammal,59830
56,California,AdministrativeRegion,59830
57,USA,Country,59830
58,adrenal necrosis,Disease,59830
