entity_id,entity,type,doc_id
1,Leptospirosis,Disease,59826
2,Leptospira,Bacterium,59826
3,Leptospira pomona,Bacteria,59826
4,Leptospira icterohemorrhagiae,Bacterial species,59826
5,Leptospira canicola,Bacterium,59826
6,Leptospira hardjo,Bacteria,59826
7,Leptospira grippotyphosa,Bacterium,59826
8,domestic dogs,Host,59826
9,Connecticut,GeopoliticalEntity,59826
10,northeastern United States,Geopolitical Region,59826
11,wild mammals,Animal,59826
12,raccoons,Animal,59826
13,Procyon lotor,Host,59826
14,skunks,Animal,59826
15,Mephitis mephitis,Host,59826
16,opossums,Animal,59826
17,Didelphis virginiana,Species,59826
18,gray squirrels,hosts,59826
19,Sciurus carolinensis,Species,59826
20,serologic evidence,MedicalTest,59826
21,serovars,Bacterial strains,59826
22,serovar pomona,Leptospira serovar,59826
23,serovar icterohemorrhagiae,Leptospira serovar,59826
24,serovar canicola,Leptospira serovar,59826
25,serovar hardjo,Leptospira serovar,59826
26,serovar grippotyphosa,Leptospira serovar,59826
27,antibody titers,Biological Assay,59826
28,36%,Percentage,59826
29,13%,Percentage,59826
30,31,Year,59826
31,30,Year,59826
32,28,Age,59826
33,20,Year,59826
34,109,Year,59826
35,February 27,Date,59826
36,"September 17, 2001",Date,59826
37,2001,Year,59826
38,zoonotic disease,Disease,59826
39,humans,Host,59826
40,peridomestic wildlife,Animal Group,59826
41,epizootiology,Process,59826
42,epidemiology,Process,59826
43,serosurvey,Process,59826
44,Serologic survey,Scientific study,58605
45,canine pathogens,Bacterial and viral pathogens affecting dogs,58605
46,free-ranging jackals,Host,58605
47,Kenya,GeopoliticalEntity,58605
48,serum samples,Biological specimen,58605
49,rabies virus,virus,58605
50,canine parvovirus (CPV-2),Virus,58605
51,canine distemper virus (CDV),Virus,58605
52,Ehrlichia canis,Bacterial species,58605
53,black-backed jackals,Animal species,58605
54,Canis mesomelas,hosts,58605
55,golden jackals,Canis aureus,58605
56,C. aureus,Host,58605
57,side-striped jackals,Animal species,58605
58,C. adustus,hosts,58605
59,April 1987,Date,58605
60,January 1988,Date,58605
61,antibodies,Biological Molecules,58605
62,prevalence,Disease Prevalence,58605
63,34%,Percentage,58605
64,14,Number,58605
65,55,Number,58605
66,9%,Percentage,58605
67,4,Number,58605
68,3%,Percentage,58605
69,1,Number,58605
70,28,Number,58605
71,2%,Percentage,58605
72,36,Number,58605
73,9,Number,58605
74,16,Number,58605
75,5,Number,58605
76,26,Number,58605
77,3,Number,58605
78,antibodies to CPV-2,Biological Molecules,58605
79,antibodies to CDV,Biological molecule,58605
80,wild carnivore,Organism,58605
81,African ecosystems,Geographical region,58605
82,indicator species,Organism,58605
83,canids,Organism,58605
84,canine diseases,Disease,58605
85,Herpesvirus,causes,59830
86,Pacific harbor seal,Animal species,59830
87,Phoca vitulina richardsi,Host,59830
88,California,Geopolitical entity,59830
89,USA,Geopolitical entity,59830
90,adrenal necrosis,Pathological Condition,59830
91,adrenal cells,Cell Type,59830
92,DNA,Biological Molecule,59830
93,sepsis,Disease,59830
94,bacterial omphalophlebitis,Disease,59830
95,pneumonia,Disease,59830
96,gastroenteritis,Disease,59830
97,thymic atrophy,Disease,59830
98,hepatic necrosis,Disease,59830
99,lymphopenia,Pathological Condition,59830
