"","entity","deepseek","gemma2","llama","llama70b","mistral","models_present","n_entity_types"
"1","small wild mammals","small wild mammals",NA,NA,NA,NA,1,1
"2","skunks","Wildlife","Host",NA,"Species","Animal",4,4
"3","Mephitis mephitis","Host","Host","Host","Host","Host",5,1
"4","opossums","marsupial","Wildlife",NA,"Species","Animal",4,4
"5","Didelphis virginiana","Host","Host","Host","Host","Species",5,2
"6","gray squirrels","gray squirrel","hosts",NA,"Species","hosts",4,3
"7","Sciurus carolinensis","Host","Host","Host","Host","Species",5,2
"8","pomona","Leptospira serovar",NA,NA,NA,NA,1,1
"9","icterohemorrhagiae","Leptospira serovar",NA,NA,NA,NA,1,1
"10","canicola","Leptospira serovar Canicola",NA,NA,NA,NA,1,1
"11","hardjo","serovar",NA,NA,NA,NA,1,1
"12","grippotyphosa","serovar",NA,NA,NA,NA,1,1
"13","February 27","Date","DATE","Date","Date","Date",5,2
"14","September 17","Date of serosurvey","DATE","Date",NA,NA,3,3
"15","2001","Year","Year","Year","Year","Year",5,1
"16","13%","Measurement","Percentage","Percentage","Percentage","Percentage",5,2
"17","high antibody titers","Measurement",NA,"Immunological Response",NA,NA,2,2
"18","canine parvovirus (CPV-2)","virus","Virus","Viral pathogen","Virus","Virus",5,3
"19","Ehrlichia canis","bacterium","Bacterium","Bacterium","Bacterium species","Bacterial species",5,4
"20","jackals","Host",NA,NA,"Species",NA,2,2
"21","black-backed jackals","Host",NA,NA,"Species","Animal species",3,3
"22","Canis mesomelas","Host","hosts","Host","Host","hosts",5,2
"23","golden jackals","Host",NA,NA,"Species","Canis aureus",3,3
"24","Canis aureus","Host","hosts",NA,"Host",NA,3,2
"25","side-striped jackals","Host",NA,NA,"Species","Animal species",3,3
"26","Canis adustus","Host","hosts",NA,"Host",NA,3,2
"27","76","Count",NA,"Number: Sample Size",NA,NA,2,2
"28","free-ranging","status","Animal Habitat","Animal population",NA,"Animal behavior",4,4
"29","April 1987","Date","Date","Date","Date","Date",5,1
"30","January 1988","Date","Date","Date","Date","Date",5,1
