source_text,target_text,relation_type,doc_id
Connecticut,northeastern United States,is located in,59826
Canis mesomelas,black-backed jackal,is a,58605
Pacific harbor seal,Phoca vitulina richardsi,is,59830
island fox,Urocyon littoralis,is a,59699
border disease virus,pestivirus,is a,59904
Rupicapra pyrenaica,border disease virus,is affected by,59578
northern elephant seal,Mirounga angustirostris,is,59831
white-tailed deer,Amblyomma americanum,is a host for,59842
white-tailed deer,Ixodes scapularis,is a host for,59842
Amblyomma americanum,Ehrlichia chaffeensis,can transmit,59842
Ixodes scapularis,Ehrlichia chaffeensis,can transmit,59842
Ixodes scapularis,human granulocytic ehrlichiosis (HGE),can transmit,59842
Ehrlichia chaffeensis,human granulocytic ehrlichiosis (HGE),causes,59842
Ehrlichia equi,Ehrlichia-like organism,is a species of,59842
Ehrlichia-like organism,blood smears,can be found in,59842
human granulocytic ehrlichiosis (HGE),inguinal lymph node,can affect,59842
human granulocytic ehrlichiosis (HGE),neutrophil,can cause,59842
wildlife,eight species,reservoirs of infection,59912
black bear,Ursus americanus,is,59921
parainfluenza 3 virus,domestic cattle,infection,58455
Rocky Mountain cougars,Puma concolor,are also known as,59903
Hawaiian monk seal,viruses,is affected by,59836
Hawaiian monk seal,bacteria,is affected by,59836
Hawaiian monk seal,parasites,is affected by,59836
Hawaiian monk seal,phocine herpesvirus-1,is affected by,59836
Hawaiian monk seal,Leptospira bratislava,is affected by,59836
Hawaiian monk seal,L. hardjo,is affected by,59836
Hawaiian monk seal,L. icterohaemorrhagiae,is affected by,59836
Hawaiian monk seal,L. pomona,is affected by,59836
Hawaiian monk seal,Brucella spp.,is affected by,59836
Hawaiian monk seal,B. canis,is affected by,59836
Hawaiian monk seal,Chlamydophila abortus,is affected by,59836
Hawaiian monk seal,Toxoplasma gondii,is affected by,59836
Hawaiian monk seal,Dirofilaria immitis,is affected by,59836
Hawaiian monk seal,morbilliviruses,is affected by,59836
Hawaiian monk seal,influenza A virus,is affected by,59836
Hawaiian monk seal,canine adenovirus,is affected by,59836
Hawaiian monk seal,caliciviruses,is affected by,59836
Hawaiian monk seal,northwestern Hawaiian Islands,is found in,59836
conservation efforts,Hawaiian monk seal,are important for,59836
sampling,continuous surveillance,is used for,59836
continuous surveillance,diagnostic tools,is important for,59836
continuous surveillance,future conservation efforts,is important for,59836
Ehrlichia chaffeensis,Ehrlichia sp.,is a,59858
Ehrlichia chaffeensis,E. chaffeensis,is also known as,59858
Ehrlichia chaffeensis,human granulocytic ehrlichiosis (HGE),causes,59858
Amblyomma americanum,Ehrlichia spp.,transmits,59858
white-tailed deer,Odocoileus virginianus,is also known as,59858
deer Ehrlichia sp.-like organism,Ehrlichia spp.,is a,59858
Ehrlichia spp.,indirect fluorescence assays,can be detected by,59858
Ehrlichia spp.,16S rDNA,can be detected by,59858
DGA,Ehrlichia spp.,is a,59858
GA1UR,Ehrlichia spp.,is a,59858
DCH,Ehrlichia spp.,is a,59858
white blood cells,Ehrlichia spp.,are affected by,59858
Luangwa River valley,Zambia,is located in,56169
Borrelia burgdorferi,Dermacentor occidentalis,is transmitted by,59837
Borrelia burgdorferi,D. parumapertus,is transmitted by,59837
Borrelia burgdorferi,Ixodes neotomae,is transmitted by,59837
Borrelia burgdorferi,I. pacificus,is transmitted by,59837
Borrelia burgdorferi,Haemaphysalis leporispalustris,is transmitted by,59837
Borrelia burgdorferi,Lyme borreliosis,causes,59837
Spirochetes,Borrelia burgdorferi,includes,59837
black-tailed jackrabbit,lagomorph,is a,59837
black-tailed jackrabbit,Lepus californicus californicus,is a,59837
Columbian black-tailed deer,Odocoileus hemionus columbianus,is a,59837
ticks,Dermacentor occidentalis,includes,59837
ticks,D. parumapertus,includes,59837
ticks,Ixodes neotomae,includes,59837
ticks,I. pacificus,includes,59837
ticks,Haemaphysalis leporispalustris,includes,59837
wildlife,deer,includes,59837
wildlife,black-tailed jackrabbit,includes,59837
wildlife,ticks,includes,59837
European badger,Meles meles,is,59823
Clostridium perfringens,feces,is found in,57733
Amblyomma americanum,lone star tick,is also known as,59859
International Centre for Medical Research of Franceville,Gabon,is located in,56156
Leptospira licerasiae,Leptospira,is a,56805
Mycoplasma alligatoris sp. nov.,lethal pathogen,is a,57753
White-tailed deer,southeastern United States,is found in,59860
Brucella sp.,lymphoid tissues,is found in,59886
Brucella sp.,visceral tissues,is found in,59886
Brucella sp.,lung,is found in,59886
Brucella sp.,axillary lymph nodes,is found in,59886
Brucella sp.,inguinal lymph nodes,is found in,59886
Brucella sp.,prescapular lymph nodes,is found in,59886
harbor seals,pinnipeds,are a type of,59886
harp seals,pinnipeds,are a type of,59886
Brucella sp.,brucellosis card test,can be detected by,59886
Brucella sp.,buffered acidified plate antigen test,can be detected by,59886
Brucella sp.,livanol test,can be detected by,59886
Connecticut,southern New England,is in,59886
Rhode Island,southern New England,is in,59886
brown bear,Ursus arctos,is a,57730
Channel Islands,California,is located in,59832
Papio anubis,baboon,is,60194
Human,human-provided food,provided,60248
black howler monkey,Belize,is found in,60137
black howler monkey,Mexico,is found in,60137
black howler monkey,parasites,can be infected with,60137
parasites,Controrchis biliophilus,include,60137
parasites,Dicrocoeliidae,include,60137
parasites,Trypanoxyuris minutus,include,60137
parasites,Giardia sp.,include,60137
parasites,Hexamitidae,include,60137
parasites,Entamoeba sp.,include,60137
Entamoeba sp.,Endamoebidae,belongs to,60137
Giardia sp.,Giardia duodenalis,includes,60137
Giardia duodenalis,G. lamblia,is also known as,60137
Giardia duodenalis,G. intestinalis,is also known as,60137
Giardia duodenalis,Assemblages A,has,60137
Giardia duodenalis,Assemblages B,has,60137
black howler monkey,Trypanoxyuris minutus,can be infected with,60137
Trypanoxyuris minutus,Oxyuridae,belongs to,60137
black howler monkey,Giardia sp.,can be infected with,60137
black howler monkey,Entamoeba sp.,can be infected with,60137
human,Giardia sp.,can be infected with,60137
domestic animals,Giardia sp.,can be infected with,60137
fecal samples,parasites,can be used to detect,60137
fecal samples,Giardia sp.,can be used to detect,60137
fecal samples,Entamoeba sp.,can be used to detect,60137
fecal samples,Controrchis biliophilus,can be used to detect,60137
fecal samples,Dicrocoeliidae,can be used to detect,60137
fecal samples,Trypanoxyuris minutus,can be used to detect,60137
bright-field microscopy,parasites,can be used to detect,60137
phase microscopy,parasites,can be used to detect,60137
Antigen capture enzyme-linked immunosorbent assays (ELISAs),Giardia sp.,can be used to detect,60137
DNA,Giardia sp.,can be used to detect,60137
DNA,Entamoeba sp.,can be used to detect,60137
DNA,Controrchis biliophilus,can be used to detect,60137
DNA,Dicrocoeliidae,can be used to detect,60137
DNA,Trypanoxyuris minutus,can be used to detect,60137
