source_text,target_text,relation_type,doc_id
Leptospira,domestic dogs,infects,59826
domestic dogs,Leptospira,hosts,59826
Leptospira,raccoons,infects,59826
raccoons,Leptospira,hosts,59826
Leptospira icterohemorrhagiae,raccoons,infects,59826
raccoons,Leptospira icterohemorrhagiae,hosts,59826
Leptospira grippotyphosa,skunks,infects,59826
skunks,Leptospira grippotyphosa,hosts,59826
Leptospira grippotyphosa,gray squirrels,infects,59826
gray squirrels,Leptospira grippotyphosa,hosts,59826
Leptospira canicola,gray squirrels,infects,59826
gray squirrels,Leptospira canicola,hosts,59826
opossums,Leptospira,does not host,59826
Leptospira,opossums,does not infect,59826
Connecticut,peridomestic wildlife,lives in,59826
peridomestic wildlife,Connecticut,lives in,59826
northeastern United States,peridomestic wildlife,lives in,59826
peridomestic wildlife,northeastern United States,lives in,59826
domestic dogs,leptospirosis,affected by,59826
jackals,rabies virus,hosts,58605
jackals,canine parvovirus (CPV-2),hosts,58605
jackals,canine distemper virus (CDV),hosts,58605
jackals,Ehrlichia canis,hosts,58605
Canis mesomelas,CPV-2,hosts,58605
Canis mesomelas,CDV,hosts,58605
Canis mesomelas,rabies virus,hosts,58605
Canis mesomelas,E. canis,hosts,58605
Canis aureus,CPV-2,hosts,58605
Canis aureus,CDV,hosts,58605
Canis adustus,CPV-2,hosts,58605
Canis adustus,CDV,hosts,58605
rabies virus,jackals,infects,58605
canine parvovirus (CPV-2),jackals,infects,58605
canine distemper virus (CDV),jackals,infects,58605
Ehrlichia canis,jackals,infects,58605
CPV-2,Canis mesomelas,infects,58605
CPV-2,Canis aureus,infects,58605
CPV-2,Canis adustus,infects,58605
CDV,Canis mesomelas,infects,58605
CDV,Canis aureus,infects,58605
CDV,Canis adustus,infects,58605
rabies virus,Canis mesomelas,infects,58605
rabies virus,Canis aureus,infects,58605
rabies virus,Canis adustus,infects,58605
E. canis,Canis mesomelas,infects,58605
E. canis,Canis aureus,infects,58605
E. canis,Canis adustus,infects,58605
African ecosystems,jackals,lives in,58605
rare and endangered canids,canine diseases,affected by,58605
Herpesvirus,Phoca vitulina richardsi,infects,59830
Phoca vitulina richardsi,Herpesvirus,hosts,59830
Herpesvirus,adrenal necrosis,causes,59830
Herpesvirus,sepsis,causes,59830
Herpesvirus,bacterial omphalophlebitis,causes,59830
Herpesvirus,pneumonia,causes,59830
Herpesvirus,gastroenteritis,causes,59830
Herpesvirus,thymic atrophy,causes,59830
Herpesvirus,hepatic necrosis,causes,59830
Herpesvirus,lymphopenia,causes,59830
phocine adrenal cell line,Phoca vitulina richardsi,derived from,59830
phocine kidney cell line,Phoca vitulina richardsi,derived from,59830
adrenal tissue homogenate,Phoca vitulina richardsi,from,59830
intranuclear inclusion bodies,Phoca vitulina richardsi,found in,59830
male,Phoca vitulina richardsi,sex of,59830
female,Phoca vitulina richardsi,sex of,59830
average birth weight,Phoca vitulina richardsi,measurement of,59830
Urocyon littoralis,canine adenovirus,hosts,59699
canine adenovirus,Urocyon littoralis,infects,59699
Urocyon littoralis,canine parvovirus,hosts,59699
canine parvovirus,Urocyon littoralis,infects,59699
Urocyon littoralis,canine distemper virus,does not host,59699
canine distemper virus,Urocyon littoralis,does not infect,59699
island fox,Urocyon littoralis,common name of,59699
Urocyon littoralis,island fox,latin name of,59699
Channel Islands,Urocyon littoralis,location of,59699
California,Channel Islands,location of,59699
USA,California,location of,59699
serologic survey,antibody,detected,59699
antibody,97%,measurement of,59699
antibody,59%,measurement of,59699
194,Urocyon littoralis,number of,59699
Pestivirus,Rupicapra pyrenaica pyrenaica,infects,59904
Rupicapra pyrenaica pyrenaica,Pestivirus,hosts,59904
Pestivirus,disease,causes,59904
disease,mortality,associated with,59904
Rupicapra pyrenaica pyrenaica,mortality,suffered from,59904
Pestivirus,noncoding regions,found in,59904
noncoding regions,border disease virus,part of,59904
border disease virus,Pestivirus,is a,59904
Pyrenean Chamois,Rupicapra pyrenaica pyrenaica,common name of,59904
Rupicapra pyrenaica pyrenaica,Pyrenean Chamois,latin name of,59904
outbreak,Spain,occurred in,59904
outbreak,2001-02,occurred during,59904
border disease virus,southern chamois,infects,59578
southern chamois,border disease virus,hosts,59578
southern chamois,central Pyrenees,lives in,59578
southern chamois,NE Spain,found in,59578
border disease virus,RT-PCR,detected by,59578
border disease virus,monoclonal antibodies,detected by,59578
Mirounga angustirostris,Urate nephrolithiasis,hosts,59831
Zalophus californianus,Urate nephrolithiasis,hosts,59831
Urate nephrolithiasis,Nephroliths,causes,59831
Nephroliths,Mirounga angustirostris,found in,59831
Nephroliths,Zalophus californianus,found in,59831
Nephroliths,Renal pelvic dilation,associated with,59831
Nephroliths,Pyelonephritis,associated with,59831
Nephroliths,Hydronephrosis,associated with,59831
Uric acid,Nephroliths,component of,59831
Ammonium urate,Nephroliths,component of,59831
Amblyomma americanum,white-tailed deer,lives in,59842
Ixodes scapularis,white-tailed deer,lives in,59842
Ehrlichia chaffeensis,white-tailed deer,infects,59842
Ehrlichia equi,white-tailed deer,infects,59842
HGE agent,white-tailed deer,infects,59842
Ehrlichia-like organism,white-tailed deer,infects,59842
