entity_id,entity,doc_id,label
1,Batrachochytrium dendrobatidis,1,Pathogen
2,Eurycea neotenes,1,Host
3,Eurycea pterophila,1,Host
4,Eurycea nana,1,Host
5,Eurycea sosorum,1,Host
6,Eurycea tonkawae,1,Host
7,Central Texas,1,Location
8,USA,1,Location
9,5.8S rRNA gene,1,Sequence
10,ITS regions,1,Sequence
11,PCR products,1,Measurement
12,Nonconsumptive tail clippings,1,Sample
13,Historically collected samples,1,Sample
14,Endangered species,1,Category
15,Threatened species,1,Category
16,Spirometra erinacei,2,Pathogen
17,Cyclops,2,Host
18,Rana nigromaculata,2,Host
19,ICR mice,2,Host
20,Dogs,2,Host
21,Cats,2,Host
22,Mesocyclops leuckarti,2,Host
23,Eucyclops serrulatus,2,Host
24,Coracidium,2,Stage
25,Procercoids,2,Stage
26,Plerocercoids,2,Stage
27,Eggs,2,Stage
28,Laboratory,2,Location
29,29 degrees C,2,Temperature
30,8 to 14 days,2,Incubation period
31,43.8 x 36.9 microns,2,Size
32,Calcium corpuscles,2,Property
33,Cercomer,2,Property
34,Minute spines,2,Property
35,Anterior end,2,Location
36,Posterior end,2,Location
37,Body parenchyme,2,Location
38,amphibian,3,species
39,chytridiomycosis,3,disease
40,Batrachochytrium dendrobatidis,3,pathogen
41,Xenopus,3,genus
42,Xenopus laevis,3,species
43,southern Africa,3,location
44,interdigital webbing,3,anatomy
45,Xenopus laevis frog,3,organism
46,1938,3,date
47,1879,3,date
48,1999,3,date
49,mid-1930s,3,date
50,Protopolystoma xenopodis,4,Pathogen
51,Xenopus laevis,4,Host
52,African clawed toad,4,Host
53,Monogenea,4,Taxon
54,Polystomatidae,4,Family
55,South Wales,4,Location
56,U.K.,4,Location
57,Temperature,4,Property
58,Oviposition rate,4,Measurement
59,Egg production,4,Process
60,Urinary bladder,4,Location
61,20 degrees C,4,Temperature
62,8 degrees C,4,Temperature
63,6 degrees C,4,Temperature
64,20 degrees C,4,Temperature
65,11.9 eggs/worm/day,4,Measurement
66,0.9 eggs/worm/day,4,Measurement
67,4.1 eggs/worm/day,4,Measurement
68,0.2 eggs/worm/day,4,Measurement
69,12.7 eggs/worm/day,4,Measurement
70,130 days,4,Time
71,9 days,4,Time
72,141-150 days,4,Time
73,130 days,4,Time
74,9 days,4,Time
75,Polystoma,5,Species
76,anuran amphibians,5,Host
77,Pseudodiplorchis americanus,5,Parasite
78,Scaphiopus couchii,5,Host
79,Protopolystoma xenopodis,5,Parasite
80,Xenopus laevis,5,Host
81,temperature,5,Environmental Factor
82,behaviour,5,Host Factor
83,population density,5,Host Factor
84,intra-specific competitive interactions,5,Parasite Factor
85,inter-specific competitive interactions,5,Parasite Factor
86,survivorship,5,Parasite Factor
87,reproductive output,5,Parasite Factor
88,adult worms,5,Parasite
89,immuneresponse,5,Host Response
90,egg production,5,Parasite Characteristic
91,Xenopus laevis laevis,6,Species
92,Xenopus muelleri,6,Species
93,Protopolystoma spp.,6,Parasite
94,Protopolystoma xenopodis,6,Parasite
95,Xenopus laevis,6,Host
96,Xenopus muelleri,6,Host
97,F1 hybrids,6,Host
98,Parapatric zone,6,Location
99,Laboratory,6,Location
100,Allopolyploid speciation,6,Process
101,Infectivity,6,Property
102,Resistance,6,Property
103,Hybridisation,6,Process
104,Speciation,6,Process
105,Protopolystoma xenopodis,7,Pathogen
106,Xenopus laevis,7,Host
107,South Africa,7,Location
108,Wales,7,Location
109,1960s,7,Time
110,10°C,7,Temperature
111,12°C,7,Temperature
112,15°C,7,Temperature
113,18°C,7,Temperature
114,20°C,7,Temperature
115,25°C,7,Temperature
116,15·5°C,7,Temperature
117,May-mid-July,7,Time
118,July-September,7,Time
119,2008,7,Time
120,Global warming,7,Event
121,Trypanosoma avium,8,Pathogen
122,Raptors,8,Host
123,Falconiformes,8,Taxon
124,Sparrowhawk,8,Host
125,Buzzard,8,Host
126,Lesser-spotted eagle,8,Host
127,Kestrel,8,Host
128,Czech Republic,8,Location
129,Slovak Republic,8,Location
130,Black flies,8,Vector
131,Eusimulium spp.,8,Vector
132,Hippoboscid flies,8,Vector
133,Ornithomyia avicularia,8,Vector
134,Mosquitoes,8,Vector
135,Culex pipiens pipiens,8,Vector
136,Biting midges,8,Vector
137,Culicoides spp.,8,Vector
138,18S rRNA,8,Molecular sequence
139,Kinetoplast,8,Structure
140,Minicircle,8,Structure
141,T. avium complex,8,Pathogen complex
142,Mycoplasma gallisepticum,9,Pathogen
143,House finches,9,Host
144,Carpodacus mexicanus,9,Species
145,Blue jay,9,Host
146,Cyanocitta cristata,9,Species
147,American goldfinches,9,Host
148,Carduelis tristis,9,Species
149,North Carolina,9,Location
150,United States,9,Location
151,DNA,9,Measurement
152,RAPD,9,Process
153,Outbreak,9,Event
154,Conjunctivitis,9,Disease
155,Songbirds,9,Host
156,Commercial poultry,9,Host
157,Vaccine,9,Measurement
158,Reference strains,9,Measurement
159,Mycoplasma sturni,10,pathogen
160,blue jays,10,host
161,northern mockingbirds,10,host
162,Florida,10,location
163,Mimus polyglottos,10,host
164,Cyanocitta cristata,10,host
165,Mycoplasma gallisepticum,10,pathogen
166,house finches,10,host
167,American goldfinches,10,host
168,Carpodacus mexicanus,10,host
169,Carduelis tristis,10,host
170,conjunctivitis,10,disease
171,sinusitis,10,disease
172,epiphora,10,disease
173,wildlife care facility,10,location
174,USA,10,location
175,Mycoplasma gallisepticum,11,pathogen
176,House finches,11,host
177,Carpodacus mexicanus,11,species
178,Tompkins County,11,location
179,New York,11,location
180,USA,11,location
181,American goldfinches,11,host
182,Carduelis tristis,11,species
183,Purple finch,11,host
184,Carpodacus purpureus,11,species
185,Brown-headed cowbirds,11,host
186,Molothrus ater,11,species
187,Tufted titmice,11,host
188,Parus bicolor,11,species
189,Conjunctivitis,11,disease
190,February 1998,11,event
191,March 1998,11,event
192,February 1999,11,event
193,March 1999,11,event
194,Random amplification of polymorphic DNA (RAPD),11,technique
195,Plate agglutination (PA),11,technique
196,Mycoplasma gallisepticum,12,pathogen
197,house finch,12,host
198,Carpodacus mexicanus,12,scientific name
199,American goldfinch,12,host
200,Carduelis tristis,12,scientific name
201,house sparrow,12,host
202,Passer domesticus,12,scientific name
203,conjunctival sac,12,location
204,naive house finches,12,host
205,Mycoplasma gallisepticum,13,Pathogen
206,Mycoplasmosis,13,Disease
207,Evening grosbeak,13,Host
208,Pine grosbeak,13,Host
209,Coccothraustes vespertinus,13,Species
210,Pinicola enucleator,13,Species
211,Quebec,13,Location
212,Canada,13,Location
213,1998-99,13,Time
214,Winter,13,Season
215,Conjunctivitis,13,Disease
216,Rhinitis,13,Disease
217,Mucopurulent infra-orbital sinusitis,13,Disease
218,House finch,13,Host
219,American gold finch,13,Host
220,Carpodacus mexicanus,13,Species
221,Carduelis tristis,13,Species
222,Eastern North America,13,Location
223,Polymerase chain reaction,13,Process
224,Random amplified polymorphic DNA (RAPD) fingerprinting,13,Process
225,Direct immunofluorescence,13,Process
226,Mycoplasma gallisepticum,14,Pathogen
227,House finches,14,Host
228,Carpodacus mexicanus,14,Species
229,American goldfinches,14,Host
230,Carduelis tristis,14,Species
231,Purple finches,14,Host
232,Carpodacus purpureus,14,Species
233,House sparrows,14,Host
234,Passer domesticus,14,Species
235,North America,14,Location
236,House Finch Disease Survey,14,Event
237,Feeding stations,14,Location
238,Eastern North America,14,Location
239,Conjunctivitis,14,Disease
240,Myocoplasma conjunctivitis,14,Disease
241,Mycoplasma gallisepticum,15,pathogen
242,Mycoplasmal conjunctivitis,15,disease
243,wild house finches,15,host
244,Carpodacus mexicanus,15,species
245,American goldfinch,15,host
246,Carduelis tristis,15,species
247,mid-Atlantic region,15,location
248,eastern United States,15,location
249,Canada,15,location
250,wild songbirds,15,host population
251,European starling,16,Species
252,Mycoplasma sturni,16,Pathogen
253,Sturnus vulgaris,16,Species
254,Mycoplasma gallisepticum,16,Pathogen
255,Carpodacus mexicanus,16,Species
256,Conjunctivitis,16,Disease
257,Glucose,16,Measurement
258,Chicken erythrocytes,16,Measurement
259,37 C,16,Measurement
260,Passerine species,16,Group
261,house finches,17,species
262,Carpodacus mexicanus,17,scientific name
263,Mycoplasma gallisepticum,17,pathogen
264,Washington D.C.,17,location
265,USA,17,location
266,eastern North America,17,location
267,conjunctivitis,17,disease
268,epidemic,17,event
269,November 1994,17,date
270,March 1997,17,date
271,monthly data forms,17,measurement
272,"24,864",17,number
273,winter,17,season
274,fall,17,season
275,juveniles,17,life stage
276,cold winters,17,environmental condition
277,high conjunctivitis prevalence,17,environmental condition
278,house finches,18,species
279,Mycoplasma gallisepticum,18,pathogen
280,Carpodacus mexicanus,18,species
281,eastern USA,18,location
282,November 1994,18,date
283,October 1996,18,date
284,residential bird feeding sites,18,location
285,eight state region,18,location
286,questionnaires,18,tool
287,health status,18,property
288,bird feeders,18,object
289,neighborhood housing locale,18,property
290,altitude,18,property
291,conjunctivitis,18,disease
292,sympatric species,18,species
293,platform type feeders,18,object
294,hopper type feeders,18,object
295,tube type feeders,18,object
296,logistic regression model,18,tool
297,season,18,property
298,non-breeding periods,18,property
299,outbreak,18,event
300,House Finch,19,Species
301,Mycoplasma gallisepticum,19,Pathogen
302,Carpodacus mexicanus,19,Species
303,Conjunctivitis,19,Disease
304,Nasal discharge,19,Property
305,Ocular swelling,19,Property
306,Lymphoplasmacytic inflammation,19,Property
307,Epithelial hyperplasia,19,Property
308,Lymphoid hyperplasia,19,Property
309,Trachea,19,Location
310,Nasal turbinates,19,Location
311,Conjunctivae,19,Location
312,Polymerase chain reaction,19,Process
313,Culture,19,Process
314,Arbitrary primer PCR,19,Process
315,Serum plate agglutination,19,Process
316,Hemagglutination inhibition,19,Process
317,Enzyme-linked immunosorbent assay,19,Process
318,November 1995,19,Event
319,January 1996,19,Event
320,12 wk,19,Measurement
321,2 wk,19,Measurement
322,4 wk,19,Measurement
323,2 to 4 wk,19,Measurement
324,> or = 10 birds,19,Measurement
325,> 50% of birds,19,Measurement
326,89%,19,Measurement
327,43%,19,Measurement
328,House Finch,20,Species
329,Carpodacus mexicanus,20,Species
330,Mycoplasma gallisepticum,20,Pathogen
331,Alabama,20,Location
332,USA,20,Location
333,March 1998,20,Time
334,February 1999,20,Time
335,September,20,Time
336,November,20,Time
337,1996,20,Time
338,Serum plate agglutination (SPA) assay,20,Process
339,Polymerase chain reaction (PCR),20,Process
340,Conjunctivitis,20,Disease
341,Epizootic,20,Event
