source,target,relation_type,doc_id
Batrachochytrium dendrobatidis,Eurycea neotenes,infects,1
Batrachochytrium dendrobatidis,Eurycea pterophila,infects,1
Batrachochytrium dendrobatidis,Eurycea nana,infects,1
Batrachochytrium dendrobatidis,Eurycea sosorum,infects,1
Batrachochytrium dendrobatidis,Eurycea tonkawae,infects,1
Central Texas,Eurycea neotenes,found in,1
Central Texas,Eurycea pterophila,found in,1
Central Texas,Eurycea nana,found in,1
Central Texas,Eurycea sosorum,found in,1
Central Texas,Eurycea tonkawae,found in,1
USA,Eurycea neotenes,found in,1
USA,Eurycea pterophila,found in,1
USA,Eurycea nana,found in,1
USA,Eurycea sosorum,found in,1
USA,Eurycea tonkawae,found in,1
Batrachochytrium dendrobatidis,PCR products,detected by,1
Batrachochytrium dendrobatidis,5.8S rRNA gene,confirmed by,1
Batrachochytrium dendrobatidis,ITS regions,confirmed by,1
Nonconsumptive tail clippings,Batrachochytrium dendrobatidis detection,used for,1
Historically collected samples,Batrachochytrium dendrobatidis examination,used for,1
Spirometra erinacei,Cyclops,infects,2
Spirometra erinacei,Rana nigromaculata,infects,2
Spirometra erinacei,ICR mice,infects,2
Spirometra erinacei,Dogs,infects,2
Spirometra erinacei,Cats,infects,2
Spirometra erinacei,Mesocyclops leuckarti,infects,2
Spirometra erinacei,Eucyclops serrulatus,infects,2
Cyclops,Spirometra erinacei,hosts,2
Rana nigromaculata,Spirometra erinacei,hosts,2
ICR mice,Spirometra erinacei,hosts,2
Dogs,Spirometra erinacei,hosts,2
Cats,Spirometra erinacei,hosts,2
Mesocyclops leuckarti,Spirometra erinacei,hosts,2
Eucyclops serrulatus,Spirometra erinacei,hosts,2
Procercoids,Cyclops,develops in,2
Plerocercoids,Rana nigromaculata,develops in,2
Plerocercoids,ICR mice,develops in,2
Eggs,Spirometra erinacei,develops in,2
Spirometra erinacei,Laboratory,found in,2
Spirometra erinacei,29 degrees C,detected in,2
Spirometra erinacei,8 to 14 days,detected in,2
Spirometra erinacei,43.8 x 36.9 microns,detected in,2
Spirometra erinacei,Calcium corpuscles,has,2
Spirometra erinacei,Cercomer,has,2
Spirometra erinacei,Minute spines,has,2
Spirometra erinacei,Anterior end,located in,2
Spirometra erinacei,Posterior end,located in,2
Spirometra erinacei,Body parenchyme,located in,2
Batrachochytrium dendrobatidis,Xenopus laevis,infects,3
Batrachochytrium dendrobatidis,chytridiomycosis,causes,3
Xenopus laevis,Batrachochytrium dendrobatidis,hosts,3
Xenopus,southern Africa,found in,3
Xenopus laevis,southern Africa,collected from,3
Batrachochytrium dendrobatidis,affected regions,introduced into,3
Xenopus laevis,mid-1930s,traded internationally,3
Africa,Batrachochytrium dendrobatidis,origin of,3
1938,chytridiomycosis,date of first case,3
1879,Xenopus,start of collection,3
1999,Xenopus,end of collection,3
Protopolystoma xenopodis,Xenopus laevis,infects,4
Protopolystoma xenopodis,Urinary bladder,lives in,4
Protopolystoma xenopodis,African clawed toad,found in,4
Protopolystoma xenopodis,South Wales,detected in,4
Protopolystoma xenopodis,U.K.,detected in,4
Temperature,Oviposition rate,affects,4
Temperature,Egg production,affects,4
Protopolystoma xenopodis,Eggs,produces,4
Protopolystoma xenopodis,Xenopus laevis,hosts,4
Protopolystoma xenopodis,African clawed toad,hosts,4
20 degrees C,Protopolystoma xenopodis,found at,4
8 degrees C,Protopolystoma xenopodis,found at,4
6 degrees C,Protopolystoma xenopodis,found at,4
20 degrees C,Protopolystoma xenopodis,found at,4
11.9 eggs/worm/day,Protopolystoma xenopodis,measured in,4
0.9 eggs/worm/day,Protopolystoma xenopodis,measured in,4
4.1 eggs/worm/day,Protopolystoma xenopodis,measured in,4
0.2 eggs/worm/day,Protopolystoma xenopodis,measured in,4
12.7 eggs/worm/day,Protopolystoma xenopodis,measured in,4
130 days,Protopolystoma xenopodis,measured in,4
9 days,Protopolystoma xenopodis,measured in,4
141-150 days,Protopolystoma xenopodis,measured in,4
130 days,Protopolystoma xenopodis,measured in,4
9 days,Protopolystoma xenopodis,measured in,4
Polystoma,anuran amphibians,infects,5
Pseudodiplorchis americanus,Scaphiopus couchii,infects,5
Protopolystoma xenopodis,Xenopus laevis,infects,5
temperature,Protopolystoma xenopodis,affects,5
behaviour,Protopolystoma xenopodis,affects,5
population density,Protopolystoma xenopodis,affects,5
intra-specific competitive interactions,Protopolystoma xenopodis,affects,5
inter-specific competitive interactions,Protopolystoma xenopodis,affects,5
survivorship,Protopolystoma xenopodis,affects,5
reproductive output,Protopolystoma xenopodis,affects,5
adult worms,Protopolystoma xenopodis,are regulated by,5
immuneresponse,Xenopus laevis,is acquired by,5
egg production,Protopolystoma xenopodis,is affected by,5
Protopolystoma spp.,Xenopus laevis laevis,infects,6
Protopolystoma spp.,Xenopus muelleri,infects,6
Protopolystoma xenopodis,Xenopus laevis laevis,infects,6
Protopolystoma xenopodis,F1 hybrids,infects,6
F1 hybrids,Protopolystoma spp.,hosts,6
F1 hybrids,Protopolystoma xenopodis,hosts,6
Xenopus laevis laevis,Parapatric zone,lives in,6
Xenopus muelleri,Parapatric zone,lives in,6
Protopolystoma xenopodis,Xenopus laevis laevis,found in,6
Protopolystoma xenopodis,F1 hybrids,found in,6
Host genotypexparasite genotype interactions,Host compatibility,affects,6
Hybridisation,Allopolyploid speciation,contributes to,6
Refractoriness,Selective advantage,contributes to,6
Protopolystoma xenopodis,Xenopus laevis,infects,7
Xenopus laevis,Protopolystoma xenopodis,hosts,7
Protopolystoma xenopodis,Wales,lives in,7
Protopolystoma xenopodis,Xenopus laevis,introduced with,7
Xenopus laevis,South Africa,originates from,7
Protopolystoma xenopodis,temperature,affected by,7
Protopolystoma xenopodis,global warming,affected by,7
Eggs,controlled conditions,developed in,7
Eggs,25°C,hatch at,7
Eggs,20°C,hatch at,7
Eggs,15°C,hatch at,7
Field temperature records,transmission schedules,calibrate,7
Trypanosoma avium,Raptors,infects,8
Trypanosoma avium,Black flies,transmitted by,8
Trypanosoma avium,Eusimulium spp.,transmitted by,8
Trypanosoma avium,Hippoboscid flies,transmitted by,8
Trypanosoma avium,Ornithomyia avicularia,transmitted by,8
Trypanosoma avium,Mosquitoes,transmitted by,8
Trypanosoma avium,Culex pipiens pipiens,transmitted by,8
Trypanosoma avium,Biting midges,transmitted by,8
Trypanosoma avium,Culicoides spp.,transmitted by,8
Raptors,Trypanosoma avium,hosts,8
Black flies,Trypanosoma avium,vector,8
Eusimulium spp.,Trypanosoma avium,vector,8
Hippoboscid flies,Trypanosoma avium,vector,8
Ornithomyia avicularia,Trypanosoma avium,vector,8
Mosquitoes,Trypanosoma avium,vector,8
Culex pipiens pipiens,Trypanosoma avium,vector,8
Biting midges,Trypanosoma avium,vector,8
Culicoides spp.,Trypanosoma avium,vector,8
18S rRNA,Trypanosoma avium,detected in,8
Kinetoplast,Trypanosoma avium,found in,8
Minicircle,Trypanosoma avium,found in,8
T. avium complex,Trypanosoma avium,includes,8
Mycoplasma gallisepticum,House finches,infects,9
Mycoplasma gallisepticum,Blue jay,infects,9
Mycoplasma gallisepticum,American goldfinches,infects,9
House finches,Mycoplasma gallisepticum,hosts,9
Blue jay,Mycoplasma gallisepticum,hosts,9
American goldfinches,Mycoplasma gallisepticum,hosts,9
Mycoplasma gallisepticum,Lesions of infected birds,found in,9
Mycoplasma gallisepticum,Blue jay,isolated from,9
Mycoplasma gallisepticum,Free-ranging American goldfinches,isolated from,9
Mycoplasma gallisepticum,Free-ranging house finches,isolated from,9
Mycoplasma gallisepticum,DNA fingerprints,detected by,9
Mycoplasma gallisepticum,Vaccine and reference strains,compared to,9
Mycoplasma gallisepticum,Contemporary MG isolates from commercial poultry,compared to,9
Mycoplasma sturni,blue jays,infects,10
Mycoplasma sturni,northern mockingbirds,infects,10
Mycoplasma gallisepticum,house finches,infects,10
Mycoplasma gallisepticum,American goldfinches,infects,10
blue jays,Mycoplasma sturni,hosts,10
northern mockingbirds,Mycoplasma sturni,hosts,10
house finches,Mycoplasma gallisepticum,hosts,10
American goldfinches,Mycoplasma gallisepticum,hosts,10
Florida,Mycoplasma sturni,found in,10
Florida,Mycoplasma gallisepticum,found in,10
wildlife care facility,Mycoplasma sturni,found in,10
wildlife care facility,Mycoplasma gallisepticum,found in,10
Mycoplasma gallisepticum,House finches,infects,11
Mycoplasma gallisepticum,American goldfinches,infects,11
Mycoplasma gallisepticum,Purple finch,infects,11
Mycoplasma gallisepticum,Brown-headed cowbirds,infects,11
Mycoplasma gallisepticum,Tufted titmice,infects,11
House finches,Mycoplasma gallisepticum,hosts,11
American goldfinches,Mycoplasma gallisepticum,hosts,11
Purple finch,Mycoplasma gallisepticum,hosts,11
Brown-headed cowbirds,Mycoplasma gallisepticum,hosts,11
Tufted titmice,Mycoplasma gallisepticum,hosts,11
Tompkins County,House finches,found in,11
New York,House finches,found in,11
USA,House finches,found in,11
February 1998,study,occurred during,11
March 1998,study,occurred during,11
February 1999,study,occurred during,11
March 1999,study,occurred during,11
Mycoplasma gallisepticum,Random amplification of polymorphic DNA (RAPD),detected by,11
Mycoplasma gallisepticum,Plate agglutination (PA),detected by,11
Mycoplasma gallisepticum,house finch,infects,12
Mycoplasma gallisepticum,American goldfinch,infects,12
Mycoplasma gallisepticum,house sparrow,infects,12
American goldfinch,Mycoplasma gallisepticum,hosts,12
house sparrow,Mycoplasma gallisepticum,hosts,12
house finch,Mycoplasma gallisepticum,hosts,12
American goldfinch,naive house finches,infects,12
Mycoplasma gallisepticum,conjunctival sac,found in,12
Mycoplasma gallisepticum,Evening grosbeak,infects,13
Mycoplasma gallisepticum,Pine grosbeak,infects,13
Mycoplasma gallisepticum,House finch,infects,13
Mycoplasma gallisepticum,American gold finch,infects,13
Mycoplasma gallisepticum,Eastern North America,found in,13
Evening grosbeak,Mycoplasma gallisepticum,hosts,13
Pine grosbeak,Mycoplasma gallisepticum,hosts,13
House finch,Mycoplasma gallisepticum,hosts,13
American gold finch,Mycoplasma gallisepticum,hosts,13
Quebec,Canada,located in,13
1998-99,Winter,occurred during,13
Mycoplasma gallisepticum,Polymerase chain reaction,detected by,13
Mycoplasma gallisepticum,Random amplified polymorphic DNA (RAPD) fingerprinting,detected by,13
Mycoplasma gallisepticum,Direct immunofluorescence,detected by,13
Mycoplasma gallisepticum,House finches,infects,14
House finches,Mycoplasma gallisepticum,hosts,14
House finches,North America,lives in,14
American goldfinches,Mycoplasma gallisepticum,hosts,14
Purple finches,Mycoplasma gallisepticum,hosts,14
House sparrows,Mycoplasma gallisepticum,hosts,14
House Finch Disease Survey,Conjunctivitis,detects,14
Feeding stations,North America,found in,14
Eastern North America,North America,found in,14
Conjunctivitis,House finches,affects,14
Conjunctivitis,American goldfinches,affects,14
Conjunctivitis,Purple finches,affects,14
Conjunctivitis,House sparrows,affects,14
Mycoplasma gallisepticum,House finches,transmitted by,14
Mycoplasma gallisepticum,Mycoplasmal conjunctivitis,causes,15
Mycoplasma gallisepticum,wild house finches,infects,15
Mycoplasma gallisepticum,American goldfinch,infects,15
Mycoplasma gallisepticum,mid-Atlantic region,found in,15
Mycoplasma gallisepticum,eastern United States,found in,15
Mycoplasma gallisepticum,Canada,found in,15
Mycoplasma gallisepticum,American goldfinch,spreads to,15
wild house finches,Mycoplasma gallisepticum,hosts,15
American goldfinch,Mycoplasma gallisepticum,hosts,15
Mycoplasma sturni,European starling,infects,16
Mycoplasma sturni,Glucose,ferments,16
Mycoplasma sturni,Chicken erythrocytes,does not hemadsorb,16
Mycoplasma sturni,Chicken erythrocytes,does not hemagglutinate,16
Mycoplasma sturni,37 C,grows rapidly,16
Mycoplasma sturni,Conjunctiva,is isolated from,16
Mycoplasma sturni,Mycoplasma gallisepticum,is similar to,16
Mycoplasma gallisepticum,House finches,infects,16
Carpodacus mexicanus,Mycoplasma gallisepticum,hosts,16
Mycoplasma sturni,Passerine species,is found in,16
house finches,Mycoplasma gallisepticum,hosts,17
Mycoplasma gallisepticum,house finches,infects,17
house finches,eastern North America,lives in,17
house finches,Washington D.C.,found in,17
house finches,USA,found in,17
conjunctivitis,house finches,affects,17
epidemic,eastern house finch population,spreads,17
epidemic,house finches,carried by,17
juveniles,eastern North America,disperse,17
cold winters,house finch numbers,affects,17
high conjunctivitis prevalence,house finch numbers,affects,17
house finches,Mycoplasma gallisepticum,hosts,18
Mycoplasma gallisepticum,house finches,infects,18
house finches,eastern USA,lives in,18
Carpodacus mexicanus,eastern USA,lives in,18
house finches,residential bird feeding sites,found in,18
Mycoplasma gallisepticum,questionnaires,detected by,18
health status,Mycoplasma gallisepticum,affected by,18
bird feeders,Mycoplasma gallisepticum,associated with,18
neighborhood housing locale,Mycoplasma gallisepticum,associated with,18
altitude,Mycoplasma gallisepticum,associated with,18
conjunctivitis,Mycoplasma gallisepticum,affected by,18
sympatric species,Mycoplasma gallisepticum,not affected by,18
platform type feeders,Mycoplasma gallisepticum,associated with,18
hopper type feeders,Mycoplasma gallisepticum,associated with,18
tube type feeders,Mycoplasma gallisepticum,associated with,18
logistic regression model,Mycoplasma gallisepticum,used to analyze,18
season,Mycoplasma gallisepticum,associated with,18
non-breeding periods,Mycoplasma gallisepticum,associated with,18
outbreak,Mycoplasma gallisepticum,affected by,18
House Finch,Mycoplasma gallisepticum,hosts,19
Mycoplasma gallisepticum,House Finch,infects,19
House Finch,Captive flock,lives in,19
Captive flock,Captivity,maintained in,19
Mycoplasma gallisepticum,Polymerase chain reaction,detected by,19
Mycoplasma gallisepticum,Culture,detected by,19
Mycoplasma gallisepticum,Arbitrary primer PCR,detected by,19
Mycoplasma gallisepticum,Polymerase chain reaction,confirmed by,19
Mycoplasma gallisepticum,Culture,confirmed by,19
Mycoplasma gallisepticum,Arbitrary primer PCR,confirmed by,19
House Finch,Conjunctivitis,develops,19
Conjunctivitis,Mild to severe ocular swelling,characterized by,19
Conjunctivitis,Conjunctivitis,characterized by,19
Conjunctivitis,Ocular and nasal discharge,characterized by,19
Mycoplasma gallisepticum,Conjunctivitis,causes,19
House Finch,Antibody response,develops,19
Antibody response,Serum plate agglutination,detectable by,19
Antibody response,Hemagglutination inhibition,detectable by,19
Antibody response,Enzyme-linked immunosorbent assay,detectable by,19
Mycoplasma gallisepticum,Free-flying house finch populations,may have a negative impact on,19
House Finch,Mycoplasma gallisepticum,hosts,20
House Finch,Alabama,lives in,20
House Finch,USA,lives in,20
Mycoplasma gallisepticum,House Finch,infects,20
Epidemiological study,Prevalence,detects,20
Serum plate agglutination (SPA) assay,Mycoplasma gallisepticum,detects,20
Polymerase chain reaction (PCR),Mycoplasma gallisepticum,detects,20
House Finch,Conjunctivitis,affected by,20
House Finch,Epizootic,affected by,20
Mycoplasma gallisepticum,House Finch,found in,20
House Finch,Serum plate agglutination (SPA) assay,has,20
House Finch,Polymerase chain reaction (PCR),has,20
Host-parasite relationship,over time,changes,20
Mycoplasma gallisepticum,House finches,infects,21
Mycoplasma gallisepticum,Poultry production facilities,found in,21
House finches,Mycoplasma gallisepticum,hosts,21
Poultry production facilities,Mycoplasma gallisepticum,associated with,21
Northeast Georgia,Poultry farms,location of,21
Poultry farms,Feeder stations,location of,21
Feeder stations,Poultry farms,location of,21
Mycoplasma gallisepticum,Serum plate agglutination (SPA),detected by,21
Mycoplasma gallisepticum,Polymerase chain reaction (PCR),detected by,21
Mycoplasma gallisepticum,Hemagglutination inhibition,detected by,21
Mycoplasma gallisepticum,Histopathology,detected by,21
Tufted titmice,Mycoplasma gallisepticum,hosts,21
Tufted titmice,Mycoplasma gallisepticum,may be nonclinical carriers of,21
Wild birds,Mycoplasma gallisepticum,hosts,21
Domestic birds,Mycoplasma gallisepticum,hosts,21
Biosecurity recommendations,minimize risks of transmission between wild and domestic birds,aim to,21
Mycoplasma gallisepticum,house finch,infects,22
Mycoplasma gallisepticum,United States,found in,22
house finch,Mycoplasma gallisepticum,hosts,22
pvpA gene,PvpA protein,encodes for,22
PvpA protein,Mycoplasma gallisepticum,putative cytadhesin protein,22
polymerase chain reaction,pvpA gene,detects,22
restriction fragment length polymorphism,pvpA gene,detects,22
