entity_id,entity,doc_id,label
1,Batrachochytrium dendrobatidis,1,Pathogen
2,Salamander,1,Host
3,Central Texas,1,Location
4,Texas,1,Location
5,USA,1,Location
6,Eurycea neotenes,1,Host
7,E. pterophila,1,Host
8,E. nana,1,Host
9,E. sosorum,1,Host
10,E. tonkawae,1,Host
11,Jollyville Plateau,1,Location
12,Blanco River Springs,1,Location
13,San Marcos,1,Location
14,Barton Springs,1,Location
15,PCR protocol,1,Method
16,5.8S rRNA gene,1,Gene
17,ITS regions,1,Region
18,Nonconsumptive tail clippings,1,Sample
19,Spirometra erinacei,2,Pathogen
20,Cyclops,2,Host
21,Rana nigromaculata,2,Host
22,ICR mice,2,Host
23,Dogs,2,Host
24,Cats,2,Host
25,Mesocyclops leuckarti,2,Host
26,Eucyclops serrulatus,2,Host
27,Coracidium,2,Stage
28,Procercoids,2,Stage
29,Plerocercoids,2,Stage
30,Larval worms,2,Stage
31,Adult worms,2,Stage
32,Laboratory,2,Location
33,Amphibian Chytrid Fungus,3,Pathogen
34,Batrachochytrium dendrobatidis,3,Pathogen
35,Xenopus,3,Host
36,Southern Africa,3,Location
37,Xenopus laevis,3,Host
38,Chytridiomycosis,3,Disease
39,Interdigital Webbing,3,Anatomy
40,Protopolystoma xenopodis,4,Pathogen
41,Monogenea,4,Group
42,Polystomatidae,4,Family
43,Xenopus laevis,4,Host
44,African clawed toad,4,Host
45,Environmental temperature,4,Condition
46,Urinary bladder,4,Location
47,South Wales,4,Location
48,U.K.,4,Country
49,Polystomatid Monogeneans,5,Pathogen
50,Worms,5,Pathogen
51,Host factors,5,Host
52,Pseudodiplorchis americanus,5,Pathogen
53,Desert toad,5,Host
54,Scaphiopus couchii,5,Host
55,Protopolystoma xenopodis,5,Pathogen
56,Aquatic Xenopus laevis,5,Host
57,Xenopus laevis,5,Host
58,Adult worms,5,Pathogen
59,Environmental factors,5,Host
60,Behaviour,5,Host
61,Population density,5,Host
62,Parasite factors,5,Pathogen
63,Intra-specific competitive interactions,5,Pathogen
64,Inter-specific competitive interactions,5,Pathogen
65,Survivorship,5,Pathogen
66,Reproductive output,5,Pathogen
67,Immune response,5,Host
68,Parasite,6,Pathogen
69,Host species,6,Host
70,Xenopus laevis laevis,6,Host
71,Xenopus muelleri,6,Host
72,Protopolystoma spp.,6,Pathogen
73,Protopolystoma xenopodis,6,Pathogen
74,Xenopus spp.,6,Host
75,Allopolyploid,6,Type
76,Hybrid,6,Type
77,Monogenean,6,Type
78,Polystome,6,Type
79,Anurans,6,Host
80,F1 hybrids,6,Host
81,Laboratory-raised,6,Type
82,Geographical,6,Type
83,Full-sib,6,Type
84,Local areas,6,Location
85,Spatially distant,6,Type
86,Kilometers,6,Unit
87,Genotype,6,Type
88,Selective advantage,6,Concept
89,Pathogens,6,Pathogen
90,Protopolystoma xenopodis,7,Parasite
91,Xenopus laevis,7,Host
92,South Africa,7,Region
93,Wales,7,Region
94,North Temperate Habitat,7,Environment
95,Africa,7,Region
96,Global Warming,7,Event
97,Transmission Schedules,7,Schedule
98,Habitat Temperatures,7,Temperature
99,Trypanosoma avium,8,Pathogen
100,Raptors,8,Host
101,Falconiformes,8,Taxon
102,Birds,8,Host
103,Sparrowhawk,8,Host
104,Buzzard,8,Host
105,Lesser-spotted eagle,8,Host
106,Kestrel,8,Host
107,Czech Republic,8,Location
108,Slovak Republic,8,Location
109,Black flies,8,Vector
110,Hippoboscid flies,8,Vector
111,Mosquitoes,8,Vector
112,Biting midges,8,Vector
113,Eusimulium spp.,8,Vector
114,Ornithomyia avicularia,8,Vector
115,Culex pipiens pipiens,8,Vector
116,Culicoides spp.,8,Vector
117,18S rRNA,8,Molecule
118,Kinetoplast,8,Structure
119,Mycoplasma gallisepticum,9,Pathogen
120,Songbirds,9,Host
121,House Finches,9,Host
122,Blue Jay,9,Host
123,American Goldfinches,9,Host
124,North Carolina,9,Location
125,United States,9,Location
126,Carpodacus mexicanus,9,Species
127,Cyanocitta cristata,9,Species
128,Carduelis tristis,9,Species
129,Random Amplified Polymorphic DNA,9,Technique
130,DNA Fingerprints,9,Data
131,Host Species,9,Category
132,Vaccine Strains,9,Category
133,Reference Strains,9,Category
134,Commercial Poultry,9,Category
135,Mycoplasma sturni,10,Bacterium
136,Blue Jays,10,Host
137,Northern Mockingbirds,10,Host
138,Conjunctivitis,10,Disease
139,Florida,10,Location
140,USA,10,Location
141,House Finches,10,Host
142,American Goldfinches,10,Host
143,Mycoplasma gallisepticum,10,Bacterium
144,Sinusitis,10,Disease
145,Epiphora,10,Disease
146,Indirect Immunofluorescence,10,Diagnostic_Test
147,Mycoplasmal Conjunctivitis,11,Disease
148,Songbirds,11,Host
149,New York,11,Location
150,Mycoplasma gallisepticum,11,Pathogen
151,House Finches,11,Host
152,American Goldfinches,11,Host
153,Purple Finches,11,Host
154,Brown-headed Cowbirds,11,Host
155,Tufted Titmice,11,Host
156,Tompkins County,11,Location
157,USA,11,Location
158,February 1998,11,Time
159,March 1998,11,Time
160,February 1999,11,Time
161,March 1999,11,Time
162,Mycoplasma gallisepticum,12,Pathogen
163,Passerine bird species,12,Host
164,House finch,12,Host
165,American goldfinch,12,Host
166,House sparrow,12,Host
167,Conjunctival sac,12,Location
168,House finches,12,Host
169,Mycoplasmosis,13,Disease
170,Evening Grosbeaks,13,Host
171,Pine Grosbeaks,13,Host
172,Conjunctivitis,13,Disease
173,Quebec,13,Location
174,Canada,13,Country
175,Mycoplasma gallisepticum,13,Pathogen
176,House Finches,13,Host
177,American Gold Finches,13,Host
178,Eastern North America,13,Region
179,Polymerase Chain Reaction,13,Test
180,Random Amplified Polymorphic DNA (RAPD) fingerprinting,13,Test
181,Mycoplasma gallisepticum,14,Pathogen
182,House Finches,14,Host
183,American Goldfinches,14,Host
184,Purple Finches,14,Host
185,House Sparrows,14,Host
186,North America,14,Location
187,Eastern North America,14,Location
188,House Finch Disease Survey,14,Monitoring Project
189,Mycoplasma gallisepticum,15,Pathogen
190,House Finches,15,Host
191,American Goldfinch,15,Host
192,Wild Songbirds,15,Host
193,House Finches,15,Species
194,American Goldfinch,15,Species
195,Wild Songbirds,15,Species
196,Poultry,15,Host
197,Eastern United States,15,Location
198,Canada,15,Location
199,Mid-Atlantic region,15,Location
200,Mycoplasmal Conjunctivitis,16,Disease
201,European Starling,16,Host
202,Mycoplasma sturni,16,Pathogen
203,Conjunctiva,16,Anatomy
204,Eyes,16,Anatomy
205,House Finches,16,Host
206,Mycoplasma gallisepticum,16,Pathogen
207,Glucose,16,Chemical
208,Chicken Erythrocytes,16,Biological
209,37 C,16,Temperature
210,Passerine Species,16,Host
211,House Finches,17,Host
212,Mycoplasma gallisepticum,17,Pathogen
213,Washington D.C.,17,Location
214,Eastern North America,17,Location
215,Suburban,17,Location
216,USA,17,Country
217,November 1994,17,Time
218,March 1997,17,Time
219,Eastern House Finch Population,17,Population
220,Conjunctivitis,17,Disease
221,Fall,17,Season
222,Winter,17,Season
223,Mycoplasma gallisepticum,18,Pathogen
224,House Finches,18,Host
225,Eastern House Finches,18,Host
226,Carpodacus mexicanus,18,Host
227,Passerine species,18,Host
228,Bird feeders,18,Environment
229,Residential bird feeding sites,18,Environment
230,Eight state region,18,Location
231,Eastern USA,18,Location
232,November 1994,18,Time
233,October 1996,18,Time
234,Year of the study,18,Time
235,Season,18,Time
236,Platform type feeders,18,Environment
237,Hopper type feeders,18,Environment
238,Tube type feeders,18,Environment
239,Raised platform type feeders,18,Environment
240,Conjunctivitis,18,Disease
241,Mycoplasma gallisepticum,19,Pathogen
242,House Finches,19,Host
243,Carpodacus mexicanus,19,Species
244,Conjunctivitis,19,Disease
245,Lesions,19,Disease
246,Lymphoplasmacytic inflammation,19,Disease
247,Epithelial and lymphoid hyperplasia,19,Disease
248,Trachea,19,Anatomy
249,Nasal turbinates,19,Anatomy
250,Conjunctivae,19,Anatomy
251,Polymerase chain reaction (PCR),19,Technique
252,Arbitrary primer PCR,19,Technique
253,Serum plate agglutination (SPA),19,Technique
254,Hemagglutination inhibition (HI),19,Technique
255,Enzyme-linked immunosorbent assay (ELISA),19,Technique
256,Field strain,19,Pathogen
257,November 1995,19,Date
258,January 1996,19,Date
259,House Finch,20,Host
260,Mycoplasma gallisepticum,20,Pathogen
261,Alabama,20,Location
262,USA,20,Location
263,Auburn,20,Location
264,March 1998,20,Time
265,February 1999,20,Time
266,September,20,Time
267,November,20,Time
268,1996,20,Time
269,Serum Plate Agglutination,20,Assay
270,Polymerase Chain Reaction,20,Assay
271,Central Nervous System,20,CellType
272,Mycoplasma gallisepticum,21,Pathogen
